drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
cannabidiol,TGA,Swissmedic,145,4.763469119579501,2020-09-18,2021-02-10,TGA -> Swissmedic
cannabidiol,Swissmedic,HealthCanada,1008,33.11432325886991,2021-02-10,2023-11-15,Swissmedic -> HealthCanada
capecitabine,FDA,EMA,1009,33.14717477003942,1998-04-30,2001-02-02,FDA -> EMA
capecitabine,EMA,HealthCanada,4774,156.83311432325885,2001-02-02,2014-02-28,EMA -> HealthCanada
capivasertib,FDA,HealthCanada,71,2.3324572930354797,2023-11-16,2024-01-26,FDA -> HealthCanada
capivasertib,HealthCanada,Swissmedic,53,1.7411300919842312,2024-01-26,2024-03-19,HealthCanada -> Swissmedic
capivasertib,Swissmedic,EMA,37,1.2155059132720105,2024-03-19,2024-04-25,Swissmedic -> EMA
capivasertib,EMA,TGA,12,0.39421813403416556,2024-04-25,2024-05-07,EMA -> TGA
caplacizumab,EMA,TGA,581,19.086727989487514,2018-06-28,2020-01-30,EMA -> TGA
caplacizumab,TGA,Swissmedic,525,17.24704336399474,2020-01-30,2021-07-08,TGA -> Swissmedic
caplacizumab,Swissmedic,PMDA,413,13.567674113009199,2021-07-08,2022-08-25,Swissmedic -> PMDA
capmatinib,Swissmedic,EMA,361,11.85939553219448,2021-04-26,2022-04-22,Swissmedic -> EMA
capsaicin,EMA,FDA,242,7.9500657030223385,2009-03-19,2009-11-16,EMA -> FDA
captopril,FDA,HealthCanada,10489,344.5795006570302,1995-03-31,2023-12-18,FDA -> HealthCanada
carbamazepine,FDA,HealthCanada,281,9.231274638633376,1996-03-25,1996-12-31,FDA -> HealthCanada
carbetocin,TGA,HealthCanada,448,14.71747700394218,2018-03-16,2019-06-07,TGA -> HealthCanada
carbon dioxide,HealthCanada,FDA,6396,210.11826544021025,1995-12-31,2013-07-05,HealthCanada -> FDA
carboplatin,HealthCanada,FDA,2175,71.4520367936925,1997-07-30,2003-07-14,HealthCanada -> FDA
carfilzomib,FDA,EMA,1161,38.14060446780552,2012-07-20,2015-09-24,FDA -> EMA
carfilzomib,EMA,HealthCanada,113,3.712220762155059,2015-09-24,2016-01-15,EMA -> HealthCanada
carfilzomib,HealthCanada,PMDA,101,3.3180026281208934,2016-01-15,2016-04-25,HealthCanada -> PMDA
carfilzomib,PMDA,TGA,2489,81.76741130091983,2016-04-25,2023-02-17,PMDA -> TGA
carglumic acid,FDA,TGA,1779,58.44283837056504,2010-03-18,2015-01-30,FDA -> TGA
carglumic acid,TGA,HealthCanada,70,2.299605781865966,2015-01-30,2015-04-10,TGA -> HealthCanada
carglumic acid,HealthCanada,EMA,742,24.375821287779235,2015-04-10,2017-04-21,HealthCanada -> EMA
cariprazine hydrochloride,FDA,TGA,1883,61.859395532194476,2015-09-17,2020-11-12,FDA -> TGA
carmustine,FDA,EMA,7885,259.03416557161626,1996-09-23,2018-04-26,FDA -> EMA
carmustine,EMA,HealthCanada,1639,53.843626806833115,2018-04-26,2022-10-21,EMA -> HealthCanada
carvedilol,FDA,HealthCanada,2878,94.54664914586071,1995-09-14,2003-08-01,FDA -> HealthCanada
carvedilol,HealthCanada,PMDA,4361,143.26544021024966,2003-08-01,2015-07-10,HealthCanada -> PMDA
catridecacog,EMA,HealthCanada,56,1.8396846254927726,2012-05-24,2012-07-19,EMA -> HealthCanada
catridecacog,HealthCanada,TGA,473,15.538764783180026,2012-07-19,2013-11-04,HealthCanada -> TGA
catridecacog,TGA,PMDA,486,15.965834428383705,2013-11-04,2015-03-05,TGA -> PMDA
