Iodine deficiency,"""Endocrine, nutritional, and metabolic diseases"""
Vitamin A deficiency,"""Endocrine, nutritional, and metabolic diseases"""
Dietary iron deficiency,"""Endocrine, nutritional, and metabolic diseases"""
Gastroesophageal reflux disease,Diseases of the digestive system
Turner syndrome,Congenital malformations and chomosomal abnormalities
Klinefelter syndrome,Congenital malformations and chomosomal abnormalities
Dermatitis,Diseases of the skin
Psoriasis,Diseases of the skin
Scabies,"Diseases of the skin, Infectious and parasitic diseases"
Fungal skin diseases,"Infectious and parasitic diseases, Diseases of the skin"
Viral skin diseases,"Infectious and parasitic diseases, Diseases of the skin"
Trichomoniasis,"Infectious and parasitic diseases, Diseases of the genitourinary system"
Genital herpes,"Infectious and parasitic diseases, Diseases of the genitourinary system"
Leprosy,Infectious and parasitic diseases
Guinea worm disease,Infectious and parasitic diseases
Migraine,"Diseases of the blood and blood-forming organs, Diseases of the nervous system"
Tension-type headache,Other
Schizophrenia,Mental and behavioural disorders
Depressive disorders,Mental and behavioural disorders
Acne vulgaris,Diseases of the skin
Alopecia areata,Diseases of the skin
Pruritus,Diseases of the skin
Urticaria,Diseases of the skin
Age-related and other hearing loss,Diseases of the ear and mastoid process
Other sense organ diseases,"Diseases of the eye and adnexa, Diseases of the ear and mastoid process"
Oral disorders,Diseases of the digestive system
