Year,Disease_class,Prevalence
2007,Diseases of the genitourinary system,3380564633.6578116
2007,Diseases of the musculoskeletal system and connective tissue,1486815581.6124399
2007,Diseases of the nervous system,1092320149.9911215
2007,Diseases of the respiratory system,2400004634.3518305
2007,Diseases of the skin,1155853996.8102221
2007,"Injury, poisoning and certain other consequences of external causes",2219866006.4328604
2007,Mental and behavioural disorders,1007300304.5838095
2007,Neoplasms,280348217.2216505
2007,Other,4092847900.79259
2007,Pregnancy and childbirth,234643023.89023143
2008,Diseases of the blood and blood-forming organs,1296548509.605411
2008,Diseases of the circulatory system,646842557.5566908
2008,Diseases of the digestive system,6722137310.916254
2008,Diseases of the ear,1372381760.3234026
2008,Diseases of the eye and adnexa,636215090.84062
2008,Diseases of the genitourinary system,3421804777.7803073
2008,Diseases of the musculoskeletal system and connective tissue,1525596716.0198414
2008,Diseases of the nervous system,1109161232.4231176
2008,Diseases of the respiratory system,2423018816.5305905
2008,Diseases of the skin,1168906561.7076557
2008,"Injury, poisoning and certain other consequences of external causes",2283066255.4336715
2008,Mental and behavioural disorders,1020399182.3390348
2008,Neoplasms,286943283.2246759
2008,Other,4159969862.962814
2008,Pregnancy and childbirth,236657805.17198557
2009,Diseases of the blood and blood-forming organs,1308777957.2946136
2009,Diseases of the circulatory system,642535201.2158558
2009,Diseases of the digestive system,6764871362.67156
2009,Diseases of the ear,1405379285.7939298
2009,Diseases of the eye and adnexa,651660982.5979269
2009,Diseases of the genitourinary system,3465855029.6207223
2009,Diseases of the musculoskeletal system and connective tissue,1564903172.3195484
2009,Diseases of the nervous system,1126224949.177858
2009,Diseases of the respiratory system,2445927845.4480543
2009,Diseases of the skin,1182904229.291354
2009,"Injury, poisoning and certain other consequences of external causes",2343536655.888051
2009,Mental and behavioural disorders,1035937080.7672181
2009,Neoplasms,293043678.3094336
2009,Other,4227549621.2600193
2009,Pregnancy and childbirth,238792415.92450544
2010,Diseases of the blood and blood-forming organs,1322804835.8397458
2010,Diseases of the circulatory system,645941226.7397069
2010,Diseases of the digestive system,6825363822.213202
2010,Diseases of the ear,1439551478.8866582
2010,Diseases of the eye and adnexa,668023660.643015
2010,Diseases of the genitourinary system,3517709909.829016
2010,Diseases of the musculoskeletal system and connective tissue,1603677847.816458
2010,Diseases of the nervous system,1142797374.858965
2010,Diseases of the respiratory system,2466041933.7633295
2010,Diseases of the skin,1197870377.93958
2010,"Injury, poisoning and certain other consequences of external causes",2397132132.2232285
2010,Mental and behavioural disorders,1050675972.8209758
2010,Neoplasms,299371220.97427
2010,Other,4295355612.593207
2010,Pregnancy and childbirth,241273912.44489962
2011,Diseases of the blood and blood-forming organs,1333889705.49833
2011,Diseases of the circulatory system,653987411.574472
2011,Diseases of the digestive system,6893870089.612198
2011,Diseases of the ear,1474739581.2442439
2011,Diseases of the eye and adnexa,684939003.7418954
2011,Diseases of the genitourinary system,3570077156.6936026
2011,Diseases of the musculoskeletal system and connective tissue,1642476519.054685
2011,Diseases of the nervous system,1158057780.8951983
2011,Diseases of the respiratory system,2483405977.62418
2011,Diseases of the skin,1212871077.716012
2011,"Injury, poisoning and certain other consequences of external causes",2442344742.373108
2011,Mental and behavioural disorders,1066896975.2266304
2011,Neoplasms,305199913.86837196
2011,Other,4359112856.409211
2011,Pregnancy and childbirth,245721941.5583914
2012,Diseases of the blood and blood-forming organs,1340000155.3435552
2012,Diseases of the circulatory system,661995910.172533
2012,Diseases of the digestive system,6959892035.510738
2012,Diseases of the ear,1511703819.2717862
2012,Diseases of the eye and adnexa,701992294.5339118
2012,Diseases of the genitourinary system,3617858320.0376515
2012,Diseases of the musculoskeletal system and connective tissue,1683525010.8920536
2012,Diseases of the nervous system,1172896769.7261517
2012,Diseases of the respiratory system,2501219732.3984733
2012,Diseases of the skin,1228021683.2326255
2012,"Injury, poisoning and certain other consequences of external causes",2485558995.7537665
2012,Mental and behavioural disorders,1084033445.6003828
2012,Neoplasms,311381514.6861559
2012,Other,4421152166.796304
2012,Pregnancy and childbirth,252707263.8976809
2013,Diseases of the blood and blood-forming organs,1344038420.7532554
2013,Diseases of the circulatory system,670271902.416293
2013,Diseases of the digestive system,7025982321.487385
2013,Diseases of the ear,1549599525.027488
2013,Diseases of the eye and adnexa,719198393.7333949
2013,Diseases of the genitourinary system,3664013116.45794
2013,Diseases of the musculoskeletal system and connective tissue,1725625470.5562947
2013,Diseases of the nervous system,1187811530.2872534
2013,Diseases of the respiratory system,2519616227.0333524
2013,Diseases of the skin,1243602433.8860166
2013,"Injury, poisoning and certain other consequences of external causes",2524278596.2774544
2013,Mental and behavioural disorders,1101889798.8048422
2013,Neoplasms,317601927.3841217
2013,Other,4479924585.024993
2013,Pregnancy and childbirth,260720562.4529857
2014,Diseases of the blood and blood-forming organs,1349478676.9057066
2014,Diseases of the circulatory system,680182166.254438
2014,Diseases of the digestive system,7094257256.580956
2014,Diseases of the ear,1588134149.853631
2014,Diseases of the eye and adnexa,737123947.5977616
2014,Diseases of the genitourinary system,3711112499.8400145
2014,Diseases of the musculoskeletal system and connective tissue,1767774301.0649648
2014,Diseases of the nervous system,1202760207.223011
2014,Diseases of the respiratory system,2537602682.0497255
2014,Diseases of the skin,1259300963.909045
2014,"Injury, poisoning and certain other consequences of external causes",2556747213.5291452
2014,Mental and behavioural disorders,1121787631.0406115
2014,Neoplasms,323940970.50539464
2014,Other,4534143452.411204
