drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
prograf,HealthCanada,FDA,7953,261.26806833114324,1996-08-14,2018-05-24,HealthCanada -> FDA
prolastin-c,HealthCanada,TGA,7277,239.0604467805519,1996-11-11,2016-10-14,HealthCanada -> TGA
prolensa,FDA,HealthCanada,719,23.62023653088042,2013-04-05,2015-03-25,FDA -> HealthCanada
prolia,EMA,HealthCanada,141,4.6320630749014455,2010-03-18,2010-08-06,EMA -> HealthCanada
prolia,HealthCanada,TGA,81,2.6609724047306176,2010-08-06,2010-10-26,HealthCanada -> TGA
prometrium,HealthCanada,FDA,865,28.416557161629434,1995-12-31,1998-05-14,HealthCanada -> FDA
propecia,FDA,HealthCanada,189,6.2089356110381075,1997-12-19,1998-06-26,FDA -> HealthCanada
protopic,FDA,HealthCanada,199,6.5374507227332455,2000-12-08,2001-06-25,FDA -> HealthCanada
pyrukynd,FDA,EMA,210,6.898817345597897,2022-02-17,2022-09-15,FDA -> EMA
pyzchiva,EMA,FDA,127,4.1721419185282524,2024-02-22,2024-06-28,EMA -> FDA
qalsody,FDA,EMA,303,9.95400788436268,2023-04-25,2024-02-22,FDA -> EMA
qalsody,EMA,HealthCanada,372,12.220762155059132,2024-02-22,2025-02-28,EMA -> HealthCanada
qarziba,TGA,Swissmedic,1493,49.0473061760841,2020-03-17,2024-04-18,TGA -> Swissmedic
qdenga,EMA,Swissmedic,655,21.517739816031536,2022-10-13,2024-07-29,EMA -> Swissmedic
qinlock,FDA,HealthCanada,35,1.149802890932983,2020-05-15,2020-06-19,FDA -> HealthCanada
qinlock,HealthCanada,TGA,21,0.6898817345597897,2020-06-19,2020-07-10,HealthCanada -> TGA
qinlock,TGA,EMA,433,14.224704336399475,2020-07-10,2021-09-16,TGA -> EMA
qinlock,EMA,Swissmedic,21,0.6898817345597897,2021-09-16,2021-10-07,EMA -> Swissmedic
qtern,EMA,TGA,148,4.862023653088042,2016-05-26,2016-10-21,EMA -> TGA
qtern,TGA,FDA,129,4.23784494086728,2016-10-21,2017-02-27,TGA -> FDA
quinsair,EMA,HealthCanada,173,5.683311432325887,2014-12-18,2015-06-09,EMA -> HealthCanada
qulipta,FDA,HealthCanada,450,14.783180026281208,2021-09-28,2022-12-22,FDA -> HealthCanada
qutenza,EMA,FDA,242,7.9500657030223385,2009-03-19,2009-11-16,EMA -> FDA
quviviq,FDA,EMA,48,1.5768725361366622,2022-01-07,2022-02-24,FDA -> EMA
quviviq,EMA,Swissmedic,280,9.198423127463863,2022-02-24,2022-12-01,EMA -> Swissmedic
quviviq,Swissmedic,HealthCanada,148,4.862023653088042,2022-12-01,2023-04-28,Swissmedic -> HealthCanada
radicava,FDA,EMA,749,24.605781865965834,2017-05-05,2019-05-24,FDA -> EMA
radicava,EMA,HealthCanada,1264,41.52431011826544,2019-05-24,2022-11-08,EMA -> HealthCanada
radicava,HealthCanada,TGA,70,2.299605781865966,2022-11-08,2023-01-17,HealthCanada -> TGA
ramelteon,EMA,FDA,1883,61.859395532194476,2008-05-30,2013-07-26,EMA -> FDA
ramipril,FDA,HealthCanada,872,28.64651773981603,2005-10-24,2008-03-14,FDA -> HealthCanada
ranexa,FDA,TGA,3758,123.45597897503285,2006-01-27,2016-05-12,FDA -> TGA
rapamune,FDA,HealthCanada,478,15.703022339027594,1999-09-15,2001-01-05,FDA -> HealthCanada
rapivab,FDA,TGA,1183,38.86333771353482,2014-12-19,2018-03-16,FDA -> TGA
rasilamlo,EMA,TGA,113,3.712220762155059,2011-02-17,2011-06-10,EMA -> TGA
ravicti,FDA,EMA,965,31.701708278580814,2013-02-01,2015-09-24,FDA -> EMA
ravicti,EMA,HealthCanada,176,5.781865965834428,2015-09-24,2016-03-18,EMA -> HealthCanada
raxone,EMA,TGA,1153,37.877792378449406,2015-06-25,2018-08-21,EMA -> TGA
raxone,TGA,Swissmedic,2019,66.32720105124835,2018-08-21,2024-03-01,TGA -> Swissmedic
reagila,EMA,TGA,1274,41.85282522996058,2017-05-18,2020-11-12,EMA -> TGA
rebetol,FDA,EMA,463,15.210249671484888,1998-06-03,1999-09-09,FDA -> EMA
rebetol,EMA,PMDA,6210,204.00788436268067,1999-09-09,2016-09-09,EMA -> PMDA
rebif,HealthCanada,FDA,1491,48.98160315374507,1998-02-05,2002-03-07,HealthCanada -> FDA
rebif,FDA,TGA,4087,134.26412614980288,2002-03-07,2013-05-15,FDA -> TGA
reblozyl,FDA,EMA,174,5.716162943495401,2019-11-08,2020-04-30,FDA -> EMA
reblozyl,EMA,HealthCanada,148,4.862023653088042,2020-04-30,2020-09-25,EMA -> HealthCanada
reblozyl,HealthCanada,TGA,336,11.038107752956636,2020-09-25,2021-08-27,HealthCanada -> TGA
