drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
vyvanse,FDA,HealthCanada,727,23.88304862023653,2007-02-23,2009-02-19,FDA -> HealthCanada
vyvanse,HealthCanada,TGA,1607,52.79237844940867,2009-02-19,2013-07-15,HealthCanada -> TGA
vyvgart,PMDA,FDA,21,0.6898817345597897,2021-11-26,2021-12-17,PMDA -> FDA
vyvgart,FDA,EMA,188,6.176084099868594,2021-12-17,2022-06-23,FDA -> EMA
vyvgart,EMA,HealthCanada,453,14.88173455978975,2022-06-23,2023-09-19,EMA -> HealthCanada
vyvgart,HealthCanada,Swissmedic,380,12.483574244415243,2023-09-19,2024-10-03,HealthCanada -> Swissmedic
vyxeos,FDA,EMA,329,10.808147174770038,2017-08-03,2018-06-28,FDA -> EMA
vyxeos,EMA,HealthCanada,1036,34.03416557161629,2018-06-28,2021-04-29,EMA -> HealthCanada
vyxeos,HealthCanada,TGA,393,12.910643889618921,2021-04-29,2022-05-27,HealthCanada -> TGA
wakix,EMA,FDA,1790,58.80420499342969,2015-11-19,2020-10-13,EMA -> FDA
wakix,FDA,HealthCanada,224,7.35873850197109,2020-10-13,2021-05-25,FDA -> HealthCanada
wegovy,FDA,EMA,160,5.256241787122208,2021-06-04,2021-11-11,FDA -> EMA
wegovy,EMA,TGA,134,4.402102496714849,2021-11-11,2022-03-25,EMA -> TGA
wegovy,TGA,HealthCanada,97,3.1865965834428382,2022-03-25,2022-06-30,TGA -> HealthCanada
wegovy,HealthCanada,PMDA,211,6.931668856767411,2022-06-30,2023-01-27,HealthCanada -> PMDA
welireg,FDA,HealthCanada,332,10.90670170827858,2021-08-13,2022-07-11,FDA -> HealthCanada
welireg,HealthCanada,TGA,162,5.321944809461235,2022-07-11,2022-12-20,HealthCanada -> TGA
welireg,TGA,Swissmedic,457,15.013140604467806,2022-12-20,2024-03-21,TGA -> Swissmedic
welireg,Swissmedic,EMA,266,8.73850197109067,2024-03-21,2024-12-12,Swissmedic -> EMA
wezlana,FDA,HealthCanada,57,1.8725361366622864,2023-10-31,2023-12-27,FDA -> HealthCanada
wezlana,HealthCanada,TGA,22,0.7227332457293035,2023-12-27,2024-01-18,HealthCanada -> TGA
winlevi,FDA,HealthCanada,1023,33.60709592641261,2020-08-26,2023-06-15,FDA -> HealthCanada
winlevi,HealthCanada,TGA,267,8.771353482260183,2023-06-15,2024-03-08,HealthCanada -> TGA
winrevair,FDA,EMA,93,3.055190538764783,2024-03-26,2024-06-27,FDA -> EMA
winrevair,EMA,HealthCanada,62,2.0367936925098555,2024-06-27,2024-08-28,EMA -> HealthCanada
winrevair,HealthCanada,Swissmedic,16,0.5256241787122208,2024-08-28,2024-09-13,HealthCanada -> Swissmedic
xadago,EMA,FDA,824,27.069645203679368,2014-12-18,2017-03-21,EMA -> FDA
xadago,FDA,TGA,588,19.316688567674113,2017-03-21,2018-10-30,FDA -> TGA
xalkori,FDA,PMDA,187,6.14323258869908,2011-08-26,2012-02-29,FDA -> PMDA
xalkori,PMDA,HealthCanada,56,1.8396846254927726,2012-02-29,2012-04-25,PMDA -> HealthCanada
xalkori,HealthCanada,EMA,85,2.7923784494086727,2012-04-25,2012-07-19,HealthCanada -> EMA
xalkori,EMA,TGA,432,14.19185282522996,2012-07-19,2013-09-24,EMA -> TGA
xarelto,HealthCanada,EMA,15,0.49277266754270693,2008-09-15,2008-09-30,HealthCanada -> EMA
xarelto,EMA,FDA,1004,32.98291721419185,2008-09-30,2011-07-01,EMA -> FDA
xarelto,FDA,TGA,277,9.099868593955321,2011-07-01,2012-04-03,FDA -> TGA
xarelto,TGA,PMDA,3165,103.97503285151116,2012-04-03,2020-12-02,TGA -> PMDA
xeljanz,FDA,PMDA,127,4.1721419185282524,2012-11-06,2013-03-13,FDA -> PMDA
xeljanz,PMDA,HealthCanada,400,13.140604467805518,2013-03-13,2014-04-17,PMDA -> HealthCanada
xeljanz,HealthCanada,TGA,271,8.902759526938238,2014-04-17,2015-01-13,HealthCanada -> TGA
xeljanz,TGA,EMA,744,24.441524310118265,2015-01-13,2017-01-26,TGA -> EMA
xenical,FDA,HealthCanada,41,1.3469119579500657,1999-04-23,1999-06-03,FDA -> HealthCanada
xenical,HealthCanada,EMA,1484,48.75164257555847,1999-06-03,2003-06-26,HealthCanada -> EMA
xenpozyme,PMDA,EMA,83,2.726675427069645,2022-02-25,2022-05-19,PMDA -> EMA
xenpozyme,EMA,FDA,104,3.416557161629435,2022-05-19,2022-08-31,EMA -> FDA
xenpozyme,FDA,TGA,355,11.662286465177397,2022-08-31,2023-08-21,FDA -> TGA
xenpozyme,TGA,Swissmedic,120,3.9421813403416555,2023-08-21,2023-12-19,TGA -> Swissmedic
xenpozyme,Swissmedic,HealthCanada,71,2.3324572930354797,2023-12-19,2024-02-28,Swissmedic -> HealthCanada
xeomin,HealthCanada,FDA,504,16.557161629434955,2009-03-13,2010-07-30,HealthCanada -> FDA
