DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
102728,02538563,akeega,niraparib (niraparib tosylate); abiraterone acetate,tablet,oral,approved,12.06.2023,approved,janssen inc,2023,janssen,small molecule,HealthCanada
102729,02538571,bioré uv aqua rich weightless moisturizer hydratant léger,avobenzone; octisalate; octocrylene; homosalate,lotion,topical,approved,05.06.2023,approved,kao canada inc.,2023,kao,small molecule,HealthCanada
102730,02538598,revitalizing supreme+ youth power creme,octisalate; octocrylene; homosalate; avobenzone,cream,topical,approved,05.06.2023,approved,estee lauder dist.,2023,estee lauder,small molecule,HealthCanada
102731,02538601,odan-amantadine syrup,amantadine hydrochloride,syrup,oral,approved,09.06.2023,approved,odan laboratories ltd,2023,odan,small molecule,HealthCanada
102732,02538628,mint-famotidine,famotidine,tablet,oral,approved,23.06.2023,approved,mint pharmaceuticals inc,2023,mint,small molecule,HealthCanada
102733,02538636,mint-famotidine,famotidine,tablet,oral,approved,23.06.2023,approved,mint pharmaceuticals inc,2023,mint,small molecule,HealthCanada
102735,02538652,xcopri,cenobamate,tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102736,02538660,xcopri,cenobamate,tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102737,02538679,apo-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,apotex inc,2024,apotex,small molecule,HealthCanada
102738,02538725,xcopri,cenobamate,tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102739,02538687,apo-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,apotex inc,2024,apotex,small molecule,HealthCanada
102740,02538695,apo-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,apotex inc,2024,apotex,small molecule,HealthCanada
102741,02538709,apo-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,apotex inc,2024,apotex,small molecule,HealthCanada
102742,02538717,apo-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,apotex inc,2024,apotex,small molecule,HealthCanada
102743,02538733,xcopri,cenobamate,tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102744,02538741,xcopri,cenobamate,tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102745,02538768,xcopri,cenobamate,tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102746,02538776,xcopri,cenobamate,tablet; kit,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102747,02538784,xcopri,cenobamate,kit; tablet,oral,approved,12.06.2023,approved,endo operations ltd.,2023,endo,small molecule,HealthCanada
102752,02538830,silk hydration weightless sunscreen spray spf 30,homosalate; octocrylene; avobenzone; octisalate,spray,topical,approved,09.06.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
