Non_proprietary_name,n_agencies,drug_names,has_globally_consistent_name
ad26.cov2.s,1,['covid-19 vaccine janssen'],True
adagrasib,2,['krazati'],True
adalimumab,5,"['abrilada', 'amgevita', 'amsparity', 'ardalicip/ciptunec', 'cyltezo', 'hadlima', 'hadlima pushtouch', 'halimatoz', 'hefiya', 'hukyndra', 'hulio', 'humira', 'hyrimoz', 'idacio', 'imraldi', 'kromeya', 'libmyris', 'simlandi', 'solymbic', 'yuflyma']",False
adalimumab-aacf,1,['idacio'],True
adalimumab-aaty,1,['yuflyma'],True
adalimumab-adaz,1,['hyrimoz'],True
adalimumab-adbm,1,['cyltezo'],True
adalimumab-afzb,1,['abrilada'],True
adalimumab-aqvh,1,['yusimry'],True
adalimumab-atto,1,['amjevita'],True
adalimumab-bwwd,1,['hadlima'],True
adalimumab-fkjp,1,['hulio'],True
adalimumab-ryvk,1,['simlandi'],True
adapalene,2,"['adapalene', 'adapalene and benzoyl peroxide', 'cabtreo', 'differin', 'differin xp', 'epiduo', 'epiduo forte']",True
adapalene; benzoyl peroxide,1,"['sandoz adapalene / benzoyl peroxide', 'sandoz adapalene / benzoyl peroxide forte', 'tactupump', 'tactupump forte', 'taro-adapalene/benzoyl peroxide']",True
adefovir dipivoxil,2,"['adefovir dipivoxil', 'hepsera']",True
adenosine,2,"['adenoscan', 'adenosine', 'adenosine injection']",False
adenovirus serotype 26 encoding the sars-cov-2 spike glycoprotein,1,['covid-19 vaccine janssen'],True
adenovirus-mediated herpes simplex virus-thymidine kinase gene,1,['cerepro'],True
ado-trastuzumab emtansine,1,['kadcyla'],True
adsorbed cell culture-derived influenza vaccine,1,['adsorbed cell culture-derived influenza vaccine h5n1'],True
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,1,"['quattrovac', 'tetrabik']",True
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (salk vaccine) combined vaccine,1,['squarekids'],True
adsorbed influenza vaccine,1,['adsorbed influenza vaccine'],True
adsorbed influenza vaccine (h5n1),1,['adsorbed influenza vaccine (h5n1) “hokken”'],True
aducanumab,1,['aduhelm'],True
