Non_proprietary_name,Drug_name,n_agencies_per_name,n_agencies,is_globally_consistent
acetaminophen; doxylamine succinate; dextromethorphan hydrobromide,nyquil cold & flu liquicaps,1,1,True
acetaminophen; doxylamine succinate; phenylephrine hydrochloride,nyquil sinus liquicaps,1,1,True
acetaminophen; doxylamine succinate; pseudoephedrine hydrochloride,sinus medication,1,1,True
acetaminophen; guaifenesin; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,cold and flu-in-one extra strength,1,1,True
acetaminophen; guaifenesin; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,"benylin all-in-one cold, flu & cough liquid gels",1,1,True
acetaminophen; menthol,buckley's complete,1,1,True
acetaminophen; methocarbamol,extra strength muscle & back pain relief,1,1,True
acetaminophen; methocarbamol,muscle & back pain relief caplets,1,1,True
acetaminophen; methocarbamol,muscle and back pain relief,1,1,True
acetaminophen; pheniramine maleate; phenylephrine hydrochloride,neocitran cold & sore throat night,1,1,True
acetaminophen; phenylephrine hydrochloride,benylin extra strength cold & sinus day,1,1,True
acetaminophen; phenylephrine hydrochloride,dayquil sinus liquicaps,1,1,True
acetaminophen; phenylephrine hydrochloride; dextromethorphan hydrobromide,daytime cold,1,1,True
acetaminophen; phenylephrine hydrochloride; diphenhydramine hydrochloride,extra strength total symptom relief sugar-free,1,1,True
acetaminophen; phenylephrine hydrochloride; diphenhydramine hydrochloride,neocitran extra strength total cold night,1,1,True
acetaminophen; phenylephrine hydrochloride; guaifenesin; dextromethorphan hydrobromide,"mucinex multi-action congestion, cold & cough",1,1,True
acetaminophen; phenylephrine hydrochloride; pheniramine maleate,neocitran extra strength cold & sinus night - apple cinnamon,1,1,True
acetaminophen; pseudoephedrine hydrochloride,children's tylenol cold & stuffy nose,1,1,True
acetaminophen; pseudoephedrine hydrochloride,extra strength sudafed head cold & sinus,1,1,True
acetaminophen; pseudoephedrine hydrochloride,extra strength tylenol cold & sinus daytime,1,1,True
acetaminophen; pseudoephedrine hydrochloride,extra strength tylenol sinus pressure & pain,1,1,True
acetaminophen; pseudoephedrine hydrochloride; chlorpheniramine maleate,extra strength tylenol cold & sinus nighttime,1,1,True
acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,extra strength flu relief daytime,1,1,True
acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide; doxylamine succinate,buckley's cold & sinus 24 hour pack,1,1,True
acetaminophen; pseudoephedrine hydrochloride; diphenhydramine hydrochloride,"extra strength tylenol complete cold, cough & flu nighttime",1,1,True
acetaminophen; pseudoephedrine hydrochloride; doxylamine succinate,cold and sinus relief combo,1,1,True
acetaminophen; pseudoephedrine hydrochloride; guaifenesin; dextromethorphan hydrobromide,"benylin extra strength all-in-one cold, flu & cough",1,1,True
acetaminophen; pseudoephedrine hydrochloride; guaifenesin; dextromethorphan hydrobromide; doxylamine succinate,complete liquid capsules,1,1,True
