Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
alteplase,['actilyse'],,,['cathflo'],,,2
alteplase; water,,,,['activase rt-pa'],,,1
aluminum hydroxide-sucrose dried gel; simethicone; magnesium hydroxide,,,,['gelusil antacid and anti-gas'],,,1
aluminum hydroxide; dimethicone; magnesium hydroxide,,,,['almagel plus sus'],,,1
alvimopan,,,"['alvimopan', 'entereg']",,,,2
amantadine hydrochloride,,,"['amantadine hydrochloride', 'gocovri', 'osmolex er']",['odan-amantadine syrup'],,,4
amantadine; amantadine hydrochloride,,,['amantadine; amantadine hydrochloride'],,,,1
ambrisentan,['volibris'],"['ambrisentan mylan', 'volibris']","['ambrisentan', 'letairis']","['apo-ambrisentan', 'jamp ambrisentan', 'sandoz ambrisentan tablets', 'volibris']",['volibris'],,7
amcinonide,,,['amcinonide'],['taro-amcinonide'],,,2
amenamevir,,,,,['amenalief'],,1
american house dust mite / european house dust mite,['actair initiation treatment and actair continuation treatment'],,,,,,1
american house dust mite extract; european house dust mite extract,['acarizax'],,,,,,1
amifampridine,['ruzurgi'],"['amifampridine serb', 'zenas']",['ruzurgi'],['ruzurgi'],,,3
amifampridine (amifampridine phosphate),,,,['firdapse'],,,1
amifampridine phosphate,,,['firdapse'],,,,1
amifostine,,,"['amifostine', 'ethyol']",,,,2
amikacin,,"['arikayce', 'arikayce liposomal']",,,,,2
amikacin (amikacin sulfate),,,,"['amikacin sulfate injection', 'amikacin sulfate injection usp']",,,2
amikacin sulfate,,,"['amikacin sulfate', 'amikacin sulfate in sodium chloride 0.9% in plastic container', 'arikayce kit']",,,,3
amiloride hydrochloride,,,['amiloride hydrochloride'],['midamor'],,,2
