Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
fexofenadine hydrochloride; pseudoephedrine hydrochloride,,,,['allegra-d'],,,1
fezolinetant,['veoza'],['veoza'],['veozah'],['veozah'],,,2
fibrin adhesive/sealant,['artiss'],,,,,,1
fibrin haemostatic agent/sealant,['evicel'],,,,,,1
fibrin sealant,"['artiss', 'tisseel vh/sd']",,,,,,2
fibrin sealant/adhesive/haemostatic agent,['tisseel vh/sd'],,,,,,1
fibrinogen (human),,,,"['fibryga', 'riastap']",,,2
fibrinogen (human); thrombin (human),,,,['vistaseal'],,,1
fidanacogene elaparvovec,,['durveqtix'],,,,,1
fidaxomicin,['dificid'],['dificlir'],"['dificid', 'fidaxomicin']",['dificid'],,,3
filgotinib,,['jyseleca'],,,,,1
filgotinib maleate,,,,,['jyseleca'],,1
filgrastim,"['nivestim', 'tevagrastim', 'zarzio']","['accofil', 'biograstim', 'filgrastim hexal', 'filgrastim ratiopharm', 'grastofil', 'nivestim', 'ratiograstim', 'tevagrastim', 'zarzio', 'zefylti']",,"['grastofil', 'neupogen', 'nivestym', 'nypozi']",,,13
filgrastim-aafi,,,['nivestym'],,,,1
filgrastim-ayow,,,['releuko'],,,,1
filgrastim-sndz,,,['zarxio'],,,,1
filgrastim-txid,,,['nypozi'],,,,1
fimbriae types 2 and 3 (fim); poliovirus type 1 mahoney (inactivated); diphtheria toxoid; pertactin; pertussis toxoid; poliovirus type 3 saukett (inactivated); tetanus toxoid; poliovirus type 2 mef1 (inactivated); filamentous haemagglutinin,,,,['quadracel'],,,1
finafloxacin,,,['xtoro'],,,,1
finasteride,,,"['entadfi', 'finasteride', 'finasteride and tadalafil', 'propecia']","['ach-finasteride', 'ag-finasteride', 'auro-finasteride', 'auro-finasteride 1mg', 'bio-finasteride', 'finasteride', 'jamp-finasteride', 'm-finasteride', 'mint-finasteride', 'pms-finasteride', 'propecia', 'riva-finasteride', 'sandoz finasteride', 'sandoz finasteride a', 'teva-finasteride']",,,17
finerenone,['kerendia'],['kerendia'],['kerendia'],['kerendia'],['kerendia'],['kerendia'],1
fingolimod,"['gilenya, fynefta & filosir']","['fingolimod accord', 'fingolimod mylan', 'gilenya']",['fingolimod'],,,,5
fingolimod (fingolimod hydrochloride),,,,"['ach-fingolimod', 'apo-fingolimod', 'gilenya', 'jamp fingolimod', 'mylan-fingolimod', 'pms-fingolimod', 'sandoz fingolimod', 'taro-fingolimod', 'teva-fingolimod']",,,9
fingolimod hydrochloride,,,"['fingolimod hydrochloride', 'gilenya']",,,,2
fingolimod lauryl sulfate,,,['tascenso odt'],,,,1
fish oil,,,['smoflipid 20%'],,,,1
fish oil triglycerides,,,['omegaven'],,,,1
fitusiran sodium,,,['qfitlia'],,,,1
flavoxate hydrochloride,,,['flavoxate hydrochloride'],,,,1
flecainide acetate,,,['flecainide acetate'],"['ag-flecainide', 'apo-flecainide', 'auro-flecainide', 'flecainide', 'jamp flecainide', 'nra-flecainide']",,,7
flibanserin,,,['addyi'],['addyi'],,,1
florbetaben (18f),,['neuraceq'],,['neuraceq'],,,1
florbetaben f-18,,,['neuraceq'],,,,1
florbetapir (18f),,['amyvid'],,,,,1
florbetapir f-18,,,['amyvid'],,,,1
flortaucipir (18f),,['tauvid'],,,,,1
flortaucipir f-18,,,['tauvid'],,,,1
flotufolastat f-18 gallium,,,['posluma'],,,,1
floxuridine,,,['floxuridine'],,,,1
fluciclovine (18f),,['axumin'],,,,,1
fluciclovine f-18,,,['axumin'],,,,1
fluconazole,,,"['fluconazole', 'fluconazole in dextrose 5% in plastic container', 'fluconazole in sodium chloride 0.9%', 'fluconazole in sodium chloride 0.9% in plastic container']","['act fluconazole', 'apo-fluconazole', 'apo-fluconazole-150', 'bio-fluconazole', 'canesoral', 'diflucan', 'diflucan one', 'fluconazole', 'fluconazole 150', 'fluconazole in sodium chloride injection usp', 'fluconazole injection sdz', 'fluconazole-150', 'jamp fluconazole 150 mg', 'jamp-fluconazole', 'mar-fluconazole-150', 'mylan-fluconazole', 'nra-fluconazole-150', 'pms-fluconazole', 'pro-fluconazole', 'riva-fluconazole', 'teva-fluconazole']",,,24
fluconazole; clotrimazole,,,,"['clotrimazole-fluconazole combi', 'extra strength clotrimazole extra fort -fluconazole combi']",,,2
flucytosine,,,['flucytosine'],,,,1
fludarabine phosphate,,,"['fludarabine phosphate', 'oforta']","['fludara', 'fludarabine phosphate for injection', 'fludarabine phosphate injection, usp']",,,5
fludeoxyglucose 18f,,,,"['18f-fludeoxyglucose (18f-fdg)', '[f-18]-fludeoxyglucose (fdg) injection', 'atlantiscan', 'cyclodx', 'fludeoxyglucose (18f) injection', 'fludeoxyglucose (f-18)', 'fludeoxyglucose [f-18] fdg injection', 'fluglucoscan']",,,8
fludeoxyglucose f-18,,,['fludeoxyglucose f18'],,,,1
fludrocortisone 21-acetate,,,,"['florinef', 'jamp fludrocortisone']",,,2
fludrocortisone acetate,,,['fludrocortisone acetate'],,,,1
flumazenil,,,['flumazenil'],"['flumazenil injection', 'flumazenil injection, usp']",,,3
flunarizine (flunarizine hydrochloride),,,,['flunarizine'],,,1
flunisolide,,,"['aerospan hfa', 'flunisolide', 'nasarel']",,,,3
fluocinolone acetonide,,,"['flac', 'flucinolone acetonide', 'fluocinolone acetonide', 'fluocinonide acetonide', 'iluvien', 'retisert', 'tri-luma', 'yutiq']",['dermotic oil ear drops'],,,9
fluocinonide,,,"['fluocinonide', 'fluocinonide emulsified base', 'vanos']",['lyderm'],,,4
fluorescein sodium,,,"['ak-fluor 10%; ak-fluor 25%', 'fluorescein sodium', 'fluorescite']","['diofluor strips', 'minims fluorescein sodium']",,,5
fluoride (sodium fluoride); copper (cupric chloride); chromium (chromic chloride); iron (ferric chloride); molybdenum (sodium molybdate); iodine (potassium iodide); selenium (sodium selenite); manganese (manganese chloride); zinc (zinc chloride),,,,['addnutriv'],,,1
fluorodopa f-18,,,['fluorodopa f18'],,,,1
fluoroestradiol f-18,,,['cerianna'],,,,1
fluorometholone,,,['fluorometholone'],['sandoz fluorometholone'],,,2
fluorouracil,,,"['carac', 'fluorouracil', 'tolak']","['fluorouracil injection', 'fluorouracil injection usp']",,,5
fluorouracil (fluorouracil sodium),,,,['tolak'],,,1
fluorouracil; salicylic acid,,,,['actikerall'],,,1
fluoxetine (fluoxetine hydrochloride),,,,"['ach-fluoxetine', 'ag-fluoxetine', 'apo-fluoxetine', 'auro-fluoxetine', 'bio-fluoxetine', 'fluoxetine', 'jamp fluoxetine solution', 'jamp-fluoxetine', 'm-fluoxetine', 'mar-fluoxetine', 'mint-fluoxetine', 'nra-fluoxetine', 'odan-fluoxetine', 'pms-fluoxetine', 'pro-fluoxetine', 'riva-fluoxetine', 'teva-fluoxetine']",,,17
fluoxetine hydrochloride,,,"['fluoxetine', 'fluoxetine hydrochloride', 'olanzapine and fluoxetine hydrochloride', 'prozac', 'prozac weekly', 'sarafem', 'selfemra', 'symbyax']",,,,8
flupentixol (flupentixol dihydrochloride),,,,"['fluanxol 0.5mg - tab', 'fluanxol 3mg - tab']",,,2
flupentixol decanoate,,,,"['fluanxol depot 10%- liq im 100mg/ml', 'fluanxol depot 2% -liq im 20mg/ml']",,,2
fluphenazine decanoate,,,['fluphenazine decanoate'],,,,1
fluphenazine hydrochloride,,,['fluphenazine hydrochloride'],,,,1
flurandrenolide,,,['flurandrenolide'],,,,1
flurbiprofen,,,['flurbiprofen'],,,,1
flurbiprofen sodium,,,['flurbiprofen sodium'],,,,1
flurpiridaz f-18,,,['flyrcado'],,,,1
flutamide,,,['flutamide'],['flutamide'],,,1
flutemetamol (18f),,['vizamyl'],,,,,1
flutemetamol f-18,,,['vizamyl'],,,,1
fluticasone furoate,,"['avamys', 'fluticasone furoate gsk']","['arnuity ellipta', 'breo ellipta', 'flonase sensimist allergy relief', 'trelegy ellipta']","['arnuity ellipta', 'avamys']",,,6
fluticasone furoate / umeclidinium / vilanterol,['trelegy ellipta'],"['elebrato ellipta', 'temybric ellipta', 'trelegy ellipta']",,,,,3
fluticasone furoate / vilanterol,,"['relvar ellipta', 'revinty ellipta']",,,,,2
fluticasone furoate/vilanterol trifenatate,['breo ellipta'],,,,,,1
fluticasone furoate; umeclidinium (umeclidinium bromide); vilanterol (vilanterol trifenatate),,,,['trelegy ellipta'],,,1
fluticasone furoate; vilanterol (vilanterol trifenatate),,,,['breo ellipta'],,,1
fluticasone propionate,,,"['advair diskus 100/50; advair diskus 250/50; advair diskus 500/50', 'advair hfa', 'airduo digihaler; airduo respiclick', 'armonair digihaler; armonair respiclick', 'cutivate', 'flonase allergy relief', 'flovent', 'flovent diskus 100; flovent diskus 250; flovent diskus 50', 'flovent hfa', 'fluticasone propionate', 'fluticasone propionate and salmeterol xinafoate', 'wixela inhub', 'xhance']","['24hr nasal allergy relief', 'aermony respiclick', 'apo-fluticasone', 'apo-fluticasone hfa', 'flonase allergy relief', 'flovent diskus', 'flovent hfa', 'pms-fluticasone hfa', 'teva-fluticasone']",,,20
fluticasone propionate / eformoterol fumarate dihydrate,['flutiform'],,,,,,1
fluticasone propionate and azelastine hydrochloride,['dymista/dylastine'],,,,,,1
fluticasone propionate; azelastine hydrochloride,,,,"['dymista', 'mylan-azelastine/fluticasone']",,,2
fluticasone propionate; salmeterol (salmeterol xinafoate),,,,"['advair', 'advair 100 diskus', 'advair 250 diskus', 'pms-fluticasone propionate/salmeterol dpi', 'wixela inhub']",,,5
fluvastatin (fluvastatin sodium),,,,['teva-fluvastatin'],,,1
fluvastatin sodium,,,"['fluvastatin sodium', 'lescol xl']",,,,2
fluvoxamine maleate,,,"['fluvoxamine maleate', 'luvox', 'luvox cr']","['apo-fluvoxamine', 'teva-fluvoxamine']",,,5
folic acid,,['neocepri'],['folic acid'],['jamp-folic acid'],,,3
folic acid (sodium folate),,,,"['folic acid injection, usp']",,,1
follitropin alfa,"['bemfola, afolia', 'ovaleap']","['bemfola', 'ovaleap']",,"['gonal-f', 'gonal-f pen']",,,5
follitropin alfa/beta,,,"['follistim', 'follistim aq', 'gonal-f', 'gonal-f rff redi-ject', 'gonal-f; gonal-f rff']",,,,5
follitropin alfa/lutropin alfa,,['pergoveris'],,,,,1
follitropin alfa; lutropin alfa,['pergoveris'],,,,,,1
follitropin beta,,['fertavid'],,['puregon'],,,2
follitropin delta,['rekovelle'],['rekovelle'],,['rekovelle'],,,1
fomepizole,['antizol'],,"['antizol', 'fomepizole']","['antizol', 'fomepizole for injection']",,,3
fomivirsen sodium,,,['vitravene preservative free'],,,,1
fondaparinux,['arixtra'],,,,,,1
fondaparinux sodium,,,"['arixtra', 'fondaparinux sodium']","['arixtra', 'fondaparinux sodium injection']",,,3
formoterol / glycopyrronium bromide/ budesonide,,['trixeo aerosphere'],,,,,1
formoterol fumarate,,,"['bevespi aerosphere', 'dulera', 'foradil', 'foradil certihaler', 'formoterol fumarate', 'perforomist']",,,,6
formoterol fumarate dihydrate,,,,['oxeze turbuhaler'],,,1
formoterol fumarate dihydrate; mometasone furoate,,,,['zenhale'],,,1
formoterol/ glycopyrronium bromide / budesonide,,['riltrava aerosphere'],,,,,1
forodesine hydrochloride,,,,,['mundesine'],,1
fosamprenavir calcium,,,"['fosamprenavir calcium', 'lexiva']",,,,2
fosaprepitant (fosaprepitant dimeglumine),,,,['emend iv'],,,1
fosaprepitant dimeglumine,,['ivemend'],"['emend', 'focinvez', 'fosaprepitant dimeglumine']",,,,4
fosaprepitant meglumine,,,,,['proemend'],,1
foscarbidopa,,,['vyalev'],,,,1
foscarnet sodium,,,['foscarnet sodium'],['vocarvi'],,,2
fosdenopterin,,['nulibry'],,,,,1
fosdenopterin hydrobromide,,,['nulibry'],,,,1
fosfomycin (fosfomycin sodium),,,,['ivozfo'],,,1
fosfomycin (fosfomycin tromethamine),,,,"['jamp-fosfomycin', 'monurol']",,,2
fosfomycin trometamol,['monurol'],,,,,,1
fosfomycin tromethamine,,,"['fosfomycin tromethamine', 'monurol']",,,,2
fosinopril sodium,,,"['fosinopril sodium', 'fosinopril sodium and hydrochlorothiazide']","['apo-fosinopril', 'fosinopril', 'teva-fosinopril']",,,5
foslevodopa / foscarbidopa,['vyalev'],,,,,,1
foslevodopa; foscarbidopa,,,,['vyalev'],,,1
fosnetupitant / palonosetron,['akynzeo iv'],,,,,,1
fosnetupitant chloride hydrochloride,,,['akynzeo'],,,,1
fosphenytoin sodium,,,"['cerebyx', 'fosphenytoin sodium', 'sesquient']",['cerebyx'],,,3
fospropofol disodium,,,['lusedra'],,,,1
fostamatinib,,['tavlesse'],,,,,1
fostamatinib (fostamatinib disodium),,,,['tavalisse'],,,1
fostamatinib disodium,,,['tavalisse'],,,,1
fostemsavir,,['rukobia'],,,,['rukobia'],1
fostemsavir (fostemsavir tromethamine),,,,['rukobia'],,,1
fostemsavir trometamol,['rukobia'],,,,,,1
fostemsavir tromethamine,,,['rukobia'],,,,1
framycetin sulfate; esculin; hydrocortisone; dibucaine hydrochloride,,,,['proctol ointment'],,,1
freeze-dried smallpox vaccine prepared in cell culture,,,,,['freeze-dried smallpox vaccine prepared in cell culture lc16 “kmb”'],,1
fremanezumab,['ajovy'],['ajovy'],,['ajovy'],,,1
fremanezumab-vfrm,,,['ajovy'],,,,1
frovatriptan (frovatriptan succinate monohydrate),,,,"['apo-frovatriptan', 'jamp frovatriptan']",,,2
frovatriptan (frovatriptan succinate),,,,"['frova', 'frovatriptan', 'mint-frovatriptan', 'teva-frovatriptan']",,,4
frovatriptan succinate,,,"['frova', 'frovatriptan succinate']",,,,2
fruquintinib,,['fruzaqla'],['fruzaqla'],['fruzaqla'],,['fruzaqla'],1
fulvestrant,,['fulvestrant mylan'],"['faslodex', 'fulvestrant']","['faslodex', 'fulvestrant injectable', 'fulvestrant injection', 'teva-fulvestrant injection']",,,6
furosemide,,,"['furoscix', 'furosemide']","['furosemide', 'furosemide injection sdz', 'furosemide injection usp', 'furosemide special injection', 'lasix oral solution', 'lasix special', 'mint-furosemide', 'pro-furosemide']",,,9
furosemide injection,,,['lasix onyu'],,,,1
fusidic acid,,,,['fucithalmic'],,,1
fusidic acid (fusidic acid hemihydrate),,,,['taro-fusidic acid'],,,1
fusidic acid; hydrocortisone acetate,,,,['fucidin h'],,,1
futibatinib,,['lytgobi'],['lytgobi'],,['lytgobi'],['lytgobi'],1
gabapentin,,,"['gabapentin', 'gralise', 'neurontin']","['apo-gabapentin', 'auro-gabapentin', 'auro-gabapentin tablets', 'gabapentin', 'gabapentin capsules usp', 'gabapentin tablets usp', 'gln-gabapentin', 'jamp gabapentin capsules', 'jamp-gabapentin', 'mint-gabapentin', 'neurontin', 'pms-gabapentin', 'pro-gabapentin', 'riva-gabapentin', 'teva-gabapentin']",,,16
gabapentin enacarbil,,,['horizant'],,,,1
gabapentin encarbil,,,['gabapentin encarbil'],,,,1
gadobenate dimeglumine,,,"['multihance', 'multihance multipack']",['multihance'],,,2
gadobutrol,"['gadovist', 'gadovist 1.0']",,"['gadavist', 'gadobutrol']","['gadovist 1.0', 'pixxoscan']",,,5
gadodiamide,,,['omniscan'],['omniscan'],,,1
gadofosveset trisodium,,,['ablavar'],,,,1
gadopentetate dimeglumine,,,['magnevist'],,,,1
gadopiclenol,,"['elucirem', 'vueway']",['elucirem'],,,['elucirem'],2
gadoterate meglumine,,,"['clariscan', 'dotarem', 'gadoterate meglumine']",['dotarem'],,,3
gadoteridol,,,"['gadoteridol', 'prohance multipack']",['prohance'],,,3
gadoversetamide,,,"['optimark', 'optimark in plastic container']",,,,2
gadoxetate disodium,,,['eovist'],['primovist'],,,2
galantamine (galantamine hydrobromide),,,,"['auro-galantamine er', 'galantamine er', 'mylan-galantamine er', 'pat-galantamine er']",,,4
galantamine hydrobromide,,,"['galantamine hydrobromide', 'razadyne', 'razadyne er']",,,,3
galcanezumab,['emgality'],['emgality'],,['emgality'],['emgality'],,1
galcanezumab-gnlm,,,['emgality'],,,,1
gallium (68ga) gozetotide,,,,"['illuccix', 'locametz']",,,2
gallium 68 ga chloride,,,,"['galli eo', 'galliapharm']",,,2
gallium citrate ga 67,,,,['gallium (ga67) citrate injection'],,,1
gallium dotatate ga-68,,,['netspot'],,,,1
gallium ga-68 edotreotide,,,['gallium ga 68 edotreotide'],,,,1
gallium ga-68 gozetotide,,,"['gallium ga 68 gozetotide', 'gozellix', 'illuccix', 'locametz']",,,,4
galsulfase,,['naglazyme'],['naglazyme'],['naglazyme'],,,1
ganaxolone,,['ztalmy'],['ztalmy'],,,,1
ganciclovir,,,"['ganzyk-rtu', 'vitrasert', 'zirgan']",['eyezirgan'],,,4
ganciclovir (ganciclovir sodium),,,,"['cytovene', 'ganciclovir for injection', 'ganciclovir for injection usp']",,,3
ganciclovir sodium,,,['ganciclovir sodium'],,,,1
ganirelix,,['ganirelix gedeon richter'],,,,,1
ganirelix (ganirelix acetate),,,,['orgalutran'],,,1
ganirelix acetate,,,"['fyremadel', 'ganirelix acetate']",,,,2
garadacimab,['andembry'],['andembry'],,,,,1
garenoxacin mesilate hydrate,,,,,['geninax'],,1
gatifloxacin,,,"['gatifloxacin', 'zymar', 'zymaxid']","['jamp gatifloxacin', 'zymar']",,,4
gatifloxacin (gatifloxacin hemihydrate),,,,['apo-gatifloxacin'],,,1
gbp510,,['skycovion'],,,,,1
gefapixant,,"['gefzuris', 'lyfnua']",,,,['lyfnua'],2
gefapixant citrate,,,,,['lyfnua'],,1
gefitinib,['iressa'],"['gefitinib mylan', 'iressa']","['gefitinib', 'iressa']","['apo-gefitinib', 'iressa', 'jamp gefitinib', 'nat-gefitinib', 'sandoz gefitinib']",,,7
gemcitabine,,,['gemcitabine'],,,,1
gemcitabine (gemcitabine hydrochloride),,,,"['gemcitabine for injection', 'gemcitabine injection']",,,2
gemcitabine hydrochloride,,,"['gemcitabine hydrochloride', 'gemzar', 'infugem']",,,,3
gemfibrozil,,,['gemfibrozil'],['teva-gemfibrozil'],,,2
gemifloxacin,,['factive'],,,,,1
gemifloxacin mesylate,,,"['factive', 'gemifloxacin mesylate']",,,,2
gemtuzumab ozogamicin,['mylotarg'],['mylotarg'],['mylotarg'],['mylotarg'],,,1
gentamicin (gentamicin sulfate),,,,"['gentamicin injection usp', 'gentamicin(e)']",,,2
gentamicin sulfate,,,"['gentak', 'gentamicin sulfate']",,,,2
gepirone hydrochloride,,,['exxua'],,,,1
gepotidacin mesylate,,,['blujepa'],,,,1
germanium (68ge) chloride / gallium (68ga) chloride,,"['galliapharm', 'gegant']",,,,,2
gilteritinib,['xospata'],['xospata'],,,['xospata'],,1
gilteritinib (gilteritinib fumarate),,,,['xospata'],,,1
gilteritinib fumarate,,,['xospata'],,,,1
"gilteritinib, gilteritinib hemifumarate",,,,,,['xospata'],1
givinostat hydrochloride,,,['duvyzat'],,,,1
givosiran,['givlaari'],['givlaari'],,,,['givlaari'],1
givosiran (givosiran sodium),,,,['givlaari'],,,1
givosiran sodium,,,['givlaari'],,,,1
glasdegib,,['daurismo'],,,,['daurismo'],1
glasdegib (glasdegib maleate),,,,['daurismo'],,,1
glasdegib maleate,,,['daurismo'],,,,1
glatiramer acetate,,,"['copaxone', 'glatiramer acetate', 'glatopa']","['copaxone', 'glatect', 'glatiramer acetate injection']",,,5
glecaprevir,,,['mavyret'],,,,1
glecaprevir / pibrentasvir,['maviret'],['maviret'],,,,,1
glecaprevir hydrate/pibrentasvir,,,,,['maviret'],,1
glecaprevir/pibrentasvir,['maviret'],,,,,,1
glibenclamide,,['amglidia'],,,,,1
gliclazide,['gliclazide gppl mr 30; gliclazide gxp mr 60; gliclazide genpar mr 60'],,,"['ag-gliclazide mr', 'apo-gliclazide', 'apo-gliclazide mr', 'diamicron mr', 'gliclazide', 'gliclazide mr', 'jamp gliclazide-mr', 'mint-gliclazide mr', 'mylan-gliclazide mr', 'sandoz gliclazide mr', 'taro-gliclazide mr', 'teva-gliclazide']",,,13
glimepiride,,,"['amaryl', 'avandaryl', 'duetact', 'glimepiride', 'pioglitazone hydrochloride and glimepiride', 'rosiglitazone maleate and glimepiride']",['sandoz glimepiride'],,,7
glipizide,,,"['glipizide', 'glipizide and metformin hydrochloride', 'metaglip']",,,,3
glofitamab,['columvi'],['columvi'],,['columvi'],,['columvi'],1
glofitamab-gxbm,,,['columvi'],,,,1
glu-urea-lys(ahx)-hbed-cc,['illuccix'],,,,,,1
glucagon,,"['baqsimi', 'ogluo']","['baqsimi', 'glucagon', 'gvoke hypopen; gvoke kit; gvoke pfs; gvoke vialdx']",['baqsimi'],,,4
glucagon (recombinant dna origin) (glucagon hydrochloride),,,,['glucagen hypokit'],,,1
glucagon hydrochloride,,,"['glucagen', 'glucagon']",,,,2
glucarpidase,,['voraxaze'],['voraxaze'],,,,1
glutamine,,['xyndari'],,,,,1
glyburide,,,"['glucovance', 'glyburide', 'glyburide (micronized)', 'glyburide and metformin hydrochloride']",['glyburide'],,,4
glycerine; carboxymethylcellulose sodium,,,,"['refresh optive fusion', 'refresh optive gel drops']",,,2
glycerine; hypromellose,,,,['dry eye tears'],,,1
glycerine; naphazoline hydrochloride,,,,['clear eyes extra strength redness relief'],,,1
glycerine; polysorbate 80; carboxymethylcellulose sodium,,,,"['refresh optive advanced', 'refresh optive advanced sensitive']",,,2
glycerine; zinc sulfate; naphazoline hydrochloride,,,,['clear eyes allergy'],,,1
glycerol phenylbutyrate,,['ravicti'],"['glycerol phenylbutyrate', 'ravicti']",['ravicti'],,,2
glycine; histidine; threonine; tyrosine; arginine; phenylalanine; tryptophan; alanine; methionine; leucine; taurine; proline; isoleucine; lysine (l-lysine acetate); serine; valine,,,,['essepna'],,,1
glycine; methionine; valine; leucine; dextrose; histidine; tryptophan; fish oil; alanine; proline; phenylalanine; taurine; arginine; threonine; tyrosine; lysine (lysine acetate); soybean oil; olive oil; isoleucine; medium chain triglycerides (mct); serine,,,,['smofkabiven extra nitrogen electrolyte free'],,,1
glycopyrrolate,,,"['cuvposa', 'dartisla odt', 'glycopyrrolate', 'glyrx-pf', 'lonhala magnair kit', 'prevduo', 'seebri', 'utibron']","['cuvposa', 'glycopyrrolate injection', 'glycopyrrolate injection multidose', 'glycopyrrolate injection usp']",,,11
glycopyrronium,['seebri breezhaler/tovanor breezhaler'],,,,,,1
glycopyrronium (glycopyrronium bromide),,,,['seebri breezhaler'],,,1
glycopyrronium (glycopyrronium bromide); formoterol fumarate dihydrate; budesonide,,,,['breztri aerosphere'],,,1
glycopyrronium (glycopyrronium bromide); indacaterol (indacaterol maleate),,,,['ultibro breezhaler'],,,1
glycopyrronium bromide,,"['enurev breezhaler', 'seebri breezhaler', 'sialanar', 'tovanor breezhaler']",,,['seebri'],,5
glycopyrronium bromide / formoterol,,['bevespi aerosphere'],,,,,1
glycopyrronium bromide /formoterol fumarate hydrate,,,,,['bevespi aerosphere'],,1
glycopyrronium tosylate,,,['qbrexza'],,,,1
golimumab,"['simponi', 'simponi and simponi smartject injector']",['simponi'],"['simponi', 'simponi aria']","['simponi', 'simponi i.v.']",,,4
golodirsen,,,['vyondys 53'],,,,1
gonadotrophin - human menopausal,['menopur'],,,,,,1
goserelin (goserelin acetate),,,,['zoladex la'],,,1
goserelin acetate,,,['zoladex'],,,,1
gozetotide,,['locametz'],,,,['locametz'],1
gramicidin,,,['neomycin and polymyxin b sulfates and gramicidin'],,,,1
gramicidin; framycetin sulfate; dexamethasone (dexamethasone sodium metasulphobenzoate),,,,['sofracort'],,,1
gramicidin; lidocaine hydrochloride; polymyxin b (polymyxin b sulfate),,,,['polysporin for kids'],,,1
gramicidin; lidocaine hydrochloride; polymyxin b sulfate,,,,['antibiotic plus pain relief cream'],,,1
gramicidin; polymyxin b (polymyxin b sulfate),,,,['polysporin antibiotic cream'],,,1
gramicidin; polymyxin b (polymyxin b sulfate); bacitracin zinc,,,,['triple antibiotic ointment'],,,1
gramicidin; polymyxin b sulfate,,,,['original antibiotic cream'],,,1
gramicidin; polymyxin b sulfate; lidocaine hydrochloride,,,,['antibiotic cream for kids'],,,1
granisetron,['sancuso'],['sancuso'],"['sancuso', 'sustol']",,,,2
granisetron (granisetron hydrochloride),,,,"['apo-granisetron', 'granisetron hydrochloride injection', 'nat-granisetron']",,,3
granisetron hydrochloride,,,"['granisetron hydrochloride', 'granisetron hydrochloride preservative free', 'granisetron hydrochloride; granisetron hydrochloride preservative free', 'granisol', 'kytril']",,,,5
grass pollen allergen extract,,,,['oralair'],,,1
grazoprevir,,,,,['grazyna'],,1
grazoprevir / elbasvir,['zepatier'],,,,,,1
grepafloxacin hydrochloride,,,['raxar'],,,,1
"griseofulvin, microsize",,,['griseofulvin'],,,,1
"griseofulvin, ultramicrosize",,,"['griseofulvin, ultramicrosize', 'griseofulvin,ultramicrosize']",,,,2
guaifenesin,,,"['flowtuss', 'guaifenesin', 'guaifenesin and pseudoephedrine hydrochloride', 'hycofenix', 'mucinex', 'mucinex d', 'obredon', 'xtrelus']","['bronchophan expectorant (sans sucrose)', 'mucinex chest congestion', 'mucus & phlegm relief extra strength', 'robitussin extra strength mucus and phlegm']",,,12
guaifenesin; acetaminophen; dextromethorphan hydrobromide,,,,['coricidin cold & flu liquid gels'],,,1
guaifenesin; chlorpheniramine maleate; dextromethorphan hydrobromide; acetaminophen; pseudoephedrine hydrochloride,,,,"['benylin extra strength all-in-one cough, cold & flu night']",,,1
guaifenesin; codeine phosphate; pseudoephedrine hydrochloride,,,,['calmylin pse with codeine'],,,1
guaifenesin; dextromethorphan hydrobromide,,,,"['cough & chest congestion extra strength', 'mucinex multi-action wet & dry cough liquid', 'mucus & phlegm relief with cough control extra strength', 'robitussin extra strength cough control', 'robitussin extra strength honey cough & congestion', 'robitussin sugar free cough control']",,,6
guaifenesin; dextromethorphan hydrobromide; acetaminophen; diphenhydramine hydrochloride; pseudoephedrine hydrochloride,,,,['total cold & flu combo'],,,1
guaifenesin; dextromethorphan hydrobromide; acetaminophen; pseudoephedrine hydrochloride,,,,['total cold and flu'],,,1
guaifenesin; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; acetaminophen,,,,"['extra strength tylenol complete cold, cough & flu plus mucus relief']",,,1
guaifenesin; menthol,,,,['benylin extra strength sore throat & cough'],,,1
guaifenesin; menthol; acetaminophen,,,,"[""buckley's complete plus extra strength mucus relief""]",,,1
guaifenesin; pheniramine maleate; codeine phosphate,,,,['calmylin ace'],,,1
guaifenesin; phenylephrine hydrochloride; acetaminophen; dextromethorphan hydrobromide,,,,['dayquil complete + vicks vapocool'],,,1
guaifenesin; phenylephrine hydrochloride; dextromethorphan hydrobromide,,,,['dayquil cough dm + congestion'],,,1
guaifenesin; pseudoephedrine hydrochloride; acetaminophen; dextromethorphan hydrobromide,,,,"['cold and sinus complete liquid gels', 'extra strength tylenol complete cold, cough & flu', 'flu, cough & cold complete']",,,3
guanabenz acetate,,,['guanabenz acetate'],,,,1
guanfacine,['intuniv'],"['intuniv', 'paxneury']",,,['intuniv'],,2
guanfacine (guanfacine hydrochloride),,,,"['apo-guanfacine xr', 'intuniv xr', 'jamp guanfacine xr']",,,3
guanfacine hydrochloride,,,"['guanfacine hydrochloride', 'intuniv']",,,,2
guselkumab,"['tremfya', 'tremfya / janssen guselkumab']",['tremfya'],['tremfya'],"['tremfya', 'tremfya one-press']",['tremfya'],,3
gusperimus,,['spanidin'],,,,,1
haemagglutinin-strain a (h1n1); haemagglutinin-strain a (h3n2); haemagglutinin-strain b,,,,['fluad'],,,1
haemagglutinin-strain a (h1n1); haemagglutinin-strain b (victoria); haemagglutinin-strain b (yamagata); haemagglutinin-strain a (h3n2),,,,"['fluzone high-dose quadrivalent', 'fluzone quadrivalent']",,,2
