Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,MARKETED,78661,APPROVED,25.10.2007,2007,PMS-ISMN,PHARMASCIENCE INC,Pharmascience,02301288,ISOSORBIDE-5-MONONITRATE,Small molecule,TABLET (EXTENDED-RELEASE),78661,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78661
OPHTHALMIC,MARKETED,78666,MARKETED,15.07.2008,2008,BRIMONIDINE P,AA PHARMA INC,AA,02301334,BRIMONIDINE TARTRATE,Small molecule,SOLUTION,78666,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78666
OPHTHALMIC,MARKETED,78699,MARKETED,26.03.2008,2008,CLEAR EYES TRIPLE ACTION RELIEF,PRESTIGE BRANDS INC,Prestige,02301687,POVIDONE; TETRAHYDROZOLINE HYDROCHLORIDE; POLYVINYL ALCOHOL,Small molecule,SOLUTION,78699,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78699
TOPICAL,MARKETED,78703,MARKETED,30.05.2008,2008,DIMETHICONE PROTECTANT,SMITH & NEPHEW INC,Smith & Nephew,02301725,DIMETHICONE,Other,CREAM,78703,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78703
ORAL,MARKETED,78704,APPROVED,24.04.2009,2009,ALEVE CAPLETS,BAYER INC,Bayer,02301733,NAPROXEN SODIUM,Small molecule,TABLET,78704,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78704
ORAL,MARKETED,78710,MARKETED,21.11.2007,2007,TEVA-LISINOPRIL/HCTZ (TYPE Z),TEVA CANADA LIMITED,Teva,02301768,LISINOPRIL (LISINOPRIL DIHYDRATE); HYDROCHLOROTHIAZIDE,Small molecule,TABLET,78710,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78710
ORAL,MARKETED,78711,MARKETED,21.11.2007,2007,TEVA-LISINOPRIL/HCTZ (TYPE Z),TEVA CANADA LIMITED,Teva,02301776,HYDROCHLOROTHIAZIDE; LISINOPRIL (LISINOPRIL DIHYDRATE),Small molecule,TABLET,78711,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78711
ORAL,MARKETED,78712,MARKETED,21.11.2007,2007,TEVA-LISINOPRIL/HCTZ (TYPE Z),TEVA CANADA LIMITED,Teva,02301784,HYDROCHLOROTHIAZIDE; LISINOPRIL (LISINOPRIL DIHYDRATE),Small molecule,TABLET,78712,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78712
ORAL,MARKETED,78722,APPROVED,27.11.2007,2007,ISENTRESS,MERCK CANADA INC,Merck,02301881,RALTEGRAVIR (RALTEGRAVIR POTASSIUM),Small molecule,TABLET,78722,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78722
ORAL,MARKETED,78744,MARKETED,22.11.2007,2007,TEVA-LISINOPRIL/HCTZ (TYPE P),TEVA CANADA LIMITED,Teva,02302136,HYDROCHLOROTHIAZIDE; LISINOPRIL (LISINOPRIL DIHYDRATE),Small molecule,TABLET,78744,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78744
ORAL,MARKETED,78745,MARKETED,22.11.2007,2007,TEVA-LISINOPRIL/HCTZ (TYPE P),TEVA CANADA LIMITED,Teva,02302144,HYDROCHLOROTHIAZIDE; LISINOPRIL (LISINOPRIL DIHYDRATE),Small molecule,TABLET,78745,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78745
ORAL,MARKETED,78746,MARKETED,22.11.2007,2007,TEVA-LISINOPRIL/HCTZ (TYPE P),TEVA CANADA LIMITED,Teva,02302152,LISINOPRIL (LISINOPRIL DIHYDRATE); HYDROCHLOROTHIAZIDE,Small molecule,TABLET,78746,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78746
ORAL,MARKETED,78754,APPROVED,27.07.2010,2010,PMS-RISEDRONATE,PHARMASCIENCE INC,Pharmascience,02302209,RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMIPENTAHYDRATE),Small molecule,TABLET,78754,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78754
ORAL,MARKETED,78769,APPROVED,21.11.2007,2007,SANDOZ LISINOPRIL HCT,SANDOZ CANADA INCORPORATED,Sandoz,02302365,HYDROCHLOROTHIAZIDE; LISINOPRIL (LISINOPRIL DIHYDRATE),Small molecule,TABLET,78769,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78769
ORAL,MARKETED,78770,APPROVED,21.11.2007,2007,SANDOZ LISINOPRIL HCT,SANDOZ CANADA INCORPORATED,Sandoz,02302373,LISINOPRIL (LISINOPRIL DIHYDRATE); HYDROCHLOROTHIAZIDE,Small molecule,TABLET,78770,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78770
ORAL,MARKETED,78771,APPROVED,21.11.2007,2007,SANDOZ LISINOPRIL HCT,SANDOZ CANADA INCORPORATED,Sandoz,02302381,HYDROCHLOROTHIAZIDE; LISINOPRIL (LISINOPRIL DIHYDRATE),Small molecule,TABLET,78771,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78771
BLOCK/INFILTRATION,MARKETED,78773,MARKETED,23.01.2009,2009,XYLOCAINE 1%,ASPEN PHARMACARE CANADA INC.,Aspen,02302411,LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION,78773,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78773
BLOCK/INFILTRATION,MARKETED,78774,MARKETED,29.01.2009,2009,XYLOCAINE 2%,ASPEN PHARMACARE CANADA INC.,Aspen,02302438,LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION,78774,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78774
INTRAVENOUS; INTRAMUSCULAR,MARKETED,78786,APPROVED,23.11.2007,2007,WINRHO SDF,KI BIOPHARMA LLC,KI,02302594,ANTI-D (RH) IMMUNOGLOBULIN (HUMAN),Biologics,SOLUTION,78786,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78786
INTRAVENOUS; INTRAMUSCULAR,MARKETED,78787,APPROVED,23.11.2007,2007,WINRHO SDF,KI BIOPHARMA LLC,KI,02302551,ANTI-D (RH) IMMUNOGLOBULIN (HUMAN),Biologics,SOLUTION,78787,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78787
INTRAMUSCULAR; INTRAVENOUS,MARKETED,78788,APPROVED,23.11.2007,2007,WINRHO SDF,KI BIOPHARMA LLC,KI,02302578,ANTI-D (RH) IMMUNOGLOBULIN (HUMAN),Biologics,SOLUTION,78788,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78788
ORAL,MARKETED,78791,APPROVED,29.11.2007,2007,PMS-DICLOFENAC,PHARMASCIENCE INC,Pharmascience,02302616,DICLOFENAC SODIUM,Small molecule,TABLET (DELAYED-RELEASE),78791,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78791
ORAL,MARKETED,78792,APPROVED,29.11.2007,2007,PMS-DICLOFENAC,PHARMASCIENCE INC,Pharmascience,02302624,DICLOFENAC SODIUM,Small molecule,TABLET (DELAYED-RELEASE),78792,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78792
ORAL,MARKETED,78808,APPROVED,27.11.2007,2007,TEVA-MORPHINE SR,TEVA CANADA LIMITED,Teva,02302764,MORPHINE SULFATE,Small molecule,TABLET (EXTENDED-RELEASE),78808,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78808
ORAL,MARKETED,78809,APPROVED,27.11.2007,2007,TEVA-MORPHINE SR,TEVA CANADA LIMITED,Teva,02302772,MORPHINE SULFATE,Small molecule,TABLET (EXTENDED-RELEASE),78809,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78809
ORAL,MARKETED,78810,APPROVED,27.11.2007,2007,TEVA-MORPHINE SR,TEVA CANADA LIMITED,Teva,02302780,MORPHINE SULFATE,Small molecule,TABLET (EXTENDED-RELEASE),78810,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78810
ORAL,MARKETED,78811,APPROVED,27.11.2007,2007,TEVA-MORPHINE SR,TEVA CANADA LIMITED,Teva,02302799,MORPHINE SULFATE,Small molecule,TABLET (EXTENDED-RELEASE),78811,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78811
ORAL,MARKETED,78812,APPROVED,27.11.2007,2007,TEVA-MORPHINE SR,TEVA CANADA LIMITED,Teva,02302802,MORPHINE SULFATE,Small molecule,TABLET (EXTENDED-RELEASE),78812,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78812
TOPICAL,MARKETED,78813,MARKETED,25.04.2008,2008,MOISTURIZING UV CREAM,VICHY CANADA,Vichy,02302810,TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID; DROMETRIZOLE TRISILOXANE; OCTOCRYLENE; TITANIUM DIOXIDE; AVOBENZONE,Other,CREAM,78813,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78813
TRANSDERMAL,MARKETED,78816,APPROVED,29.11.2007,2007,EXELON PATCH 5,KNIGHT THERAPEUTICS INC.,Knight,02302845,RIVASTIGMINE,Small molecule,PATCH,78816,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78816
TRANSDERMAL,MARKETED,78817,APPROVED,29.11.2007,2007,EXELON PATCH 10,KNIGHT THERAPEUTICS INC.,Knight,02302853,RIVASTIGMINE,Small molecule,PATCH,78817,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78817
ORAL,MARKETED,78818,APPROVED,05.12.2007,2007,ACT PIOGLITAZONE,TEVA CANADA LIMITED,Teva,02302861,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),Small molecule,TABLET,78818,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78818
ORAL,MARKETED,78819,APPROVED,05.12.2007,2007,ACT PIOGLITAZONE,TEVA CANADA LIMITED,Teva,02302888,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),Small molecule,TABLET,78819,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78819
ORAL,MARKETED,78820,APPROVED,05.12.2007,2007,ACT PIOGLITAZONE,TEVA CANADA LIMITED,TEVA,02302896,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),Small molecule,TABLET,78820,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78820
ORAL,MARKETED,78824,APPROVED,05.12.2007,2007,APO-PIOGLITAZONE,APOTEX INC,Apotex,02302942,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),Small molecule,TABLET,78824,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78824
ORAL,MARKETED,78825,APPROVED,05.12.2007,2007,APO-PIOGLITAZONE,APOTEX INC,Apotex,02302950,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),Small molecule,TABLET,78825,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78825
ORAL,MARKETED,78826,APPROVED,18.01.2008,2008,LAMOTRIGINE-25,PRO DOC LIMITEE,PRO DOC,02302969,LAMOTRIGINE,Small molecule,TABLET,78826,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78826
ORAL,MARKETED,78827,APPROVED,05.12.2007,2007,APO-PIOGLITAZONE,APOTEX INC,Apotex,02302977,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),Small molecule,TABLET,78827,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78827
ORAL,MARKETED,78830,APPROVED,18.01.2008,2008,LAMOTRIGINE-100,PRO DOC LIMITEE,PRO DOC,02302985,LAMOTRIGINE,Small molecule,TABLET,78830,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78830
ORAL,MARKETED,78831,APPROVED,18.01.2008,2008,LAMOTRIGINE-150,PRO DOC LIMITEE,PRO DOC,02302993,LAMOTRIGINE,Small molecule,TABLET,78831,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78831
ORAL,MARKETED,78834,APPROVED,06.12.2011,2011,ACT CLOPIDOGREL,TEVA CANADA LIMITED,TEVA,02303027,CLOPIDOGREL (CLOPIDOGREL BISULFATE),Small molecule,TABLET,78834,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78834
ORAL,MARKETED,78840,APPROVED,11.07.2008,2008,ALENDRONATE-70,PRO DOC LIMITEE,PRO DOC,02303078,ALENDRONIC ACID (ALENDRONATE SODIUM),Small molecule,TABLET,78840,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78840
INTRAVENOUS; SUBCUTANEOUS,MARKETED,78841,MARKETED,19.05.2008,2008,HEPARIN SODIUM INJECTION USP    (MULTIDOSE VIAL-WITH PRESERVATIVE),SANDOZ CANADA INCORPORATED,Sandoz,02303086,HEPARIN SODIUM,Peptides and proteins,SOLUTION,78841,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78841
ORAL,APPROVED,78844,MARKETED,02.04.2008,2008,PMS-OLANZAPINE,PHARMASCIENCE INC,Pharmascience,02303116,OLANZAPINE,Small molecule,TABLET,78844,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78844
ORAL,APPROVED,78848,MARKETED,02.04.2008,2008,PMS-OLANZAPINE,PHARMASCIENCE INC,Pharmascience,02303159,OLANZAPINE,Small molecule,TABLET,78848,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78848
ORAL,APPROVED,78849,MARKETED,02.04.2008,2008,PMS-OLANZAPINE,PHARMASCIENCE INC,Pharmascience,02303167,OLANZAPINE,Small molecule,TABLET,78849,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78849
ORAL,APPROVED,78850,MARKETED,02.04.2008,2008,PMS-OLANZAPINE,PHARMASCIENCE INC,Pharmascience,02303175,OLANZAPINE,Small molecule,TABLET,78850,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78850
ORAL,MARKETED,78851,APPROVED,02.04.2008,2008,PMS-OLANZAPINE,PHARMASCIENCE INC,Pharmascience,02303183,OLANZAPINE,Small molecule,TABLET,78851,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78851
ORAL,MARKETED,78852,APPROVED,15.10.2009,2009,PMS-OLANZAPINE ODT,PHARMASCIENCE INC,Pharmascience,02303191,OLANZAPINE,Small molecule,TABLET (ORALLY DISINTEGRATING),78852,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78852
ORAL,MARKETED,78853,APPROVED,15.10.2009,2009,PMS-OLANZAPINE ODT,PHARMASCIENCE INC,Pharmascience,02303205,OLANZAPINE,Small molecule,TABLET (ORALLY DISINTEGRATING),78853,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78853
ORAL,MARKETED,78854,APPROVED,15.10.2009,2009,PMS-OLANZAPINE ODT,PHARMASCIENCE INC,Pharmascience,02303213,OLANZAPINE,Small molecule,TABLET (ORALLY DISINTEGRATING),78854,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78854
ORAL,MARKETED,78858,APPROVED,18.01.2008,2008,RIVA-CITALOPRAM,LABORATOIRE RIVA INC.,Riva,02303256,CITALOPRAM (CITALOPRAM HYDROBROMIDE),Small molecule,TABLET,78858,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78858
ORAL,MARKETED,78859,APPROVED,18.01.2008,2008,RIVA-CITALOPRAM,LABORATOIRE RIVA INC.,Riva,02303264,CITALOPRAM (CITALOPRAM HYDROBROMIDE),Small molecule,TABLET,78859,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78859
ORAL,MARKETED,78860,APPROVED,18.01.2008,2008,RIVA-CITALOPRAM,LABORATOIRE RIVA INC.,Riva,02303272,CITALOPRAM (CITALOPRAM HYDROBROMIDE),Small molecule,TABLET,78860,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78860
ORAL,MARKETED,78897,APPROVED,21.12.2007,2007,SANDOZ RISPERIDONE,SANDOZ CANADA INCORPORATED,Sandoz,02303655,RISPERIDONE,Small molecule,TABLET,78897,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78897
ORAL,MARKETED,78898,APPROVED,21.12.2007,2007,SANDOZ RISPERIDONE,SANDOZ CANADA INCORPORATED,Sandoz,02303663,RISPERIDONE,Small molecule,TABLET,78898,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78898
NASAL,MARKETED,78899,APPROVED,10.12.2007,2007,OMNARIS,COVIS PHARMA GMBH,Covis,02303671,CICLESONIDE,Small molecule,"SPRAY, METERED DOSE",78899,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78899
ORAL,MARKETED,78902,APPROVED,24.12.2007,2007,TARO-CIPROFLOX,SUN PHARMA CANADA INC,Sun,02303728,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),Small molecule,TABLET,78902,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78902
ORAL,MARKETED,78903,APPROVED,24.12.2007,2007,TARO-CIPROFLOX,SUN PHARMA CANADA INC,Sun,02303736,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),Small molecule,TABLET,78903,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78903
ORAL,MARKETED,78904,APPROVED,24.12.2007,2007,TARO-CIPROFLOX,SUN PHARMA CANADA INC,Sun,02303744,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),Small molecule,TABLET,78904,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78904
ORAL,MARKETED,78913,MARKETED,11.03.2008,2008,EXTRA STRENGTH ALLERGY TOTAL,VITA HEALTH PRODUCTS INC,Vita Health,02303833,DIPHENHYDRAMINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE; ACETAMINOPHEN,Small molecule,TABLET,78913,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78913
ORAL,MARKETED,78924,APPROVED,14.12.2007,2007,JANUVIA,MERCK CANADA INC,Merck,02303922,SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE),Small molecule,TABLET,78924,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78924
ORAL,MARKETED,78926,APPROVED,10.09.2014,2014,PMSC-ESCITALOPRAM,PHARMASCIENCE INC,Pharmascience,02303949,ESCITALOPRAM (ESCITALOPRAM OXALATE),Small molecule,TABLET,78926,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78926
OPHTHALMIC,MARKETED,78932,MARKETED,13.03.2008,2008,REFRESH CONTACTS,ABBVIE CORPORATION,AbbVie,02304015,CARBOXYMETHYLCELLULOSE SODIUM,Other,SOLUTION,78932,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78932
INTRAMUSCULAR; INTRAVENOUS,MARKETED,78939,MARKETED,29.02.2008,2008,"PHENOBARBITAL SODIUM INJECTION, USP",SANDOZ CANADA INCORPORATED,Sandoz,02304082,PHENOBARBITAL SODIUM,Small molecule,SOLUTION,78939,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78939
INTRAVENOUS; INTRAMUSCULAR,MARKETED,78940,MARKETED,29.02.2008,2008,"PHENOBARBITAL SODIUM INJECTION, USP",SANDOZ CANADA INCORPORATED,Sandoz,02304090,PHENOBARBITAL SODIUM,Small molecule,SOLUTION,78940,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78940
INTRAVENOUS,MARKETED,78941,APPROVED,21.12.2007,2007,TORISEL,PFIZER CANADA ULC,Pfizer,02304104,TEMSIROLIMUS,Small molecule,SOLUTION,78941,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78941
TOPICAL,MARKETED,78942,MARKETED,22.04.2008,2008,WET ONES,"EDGEWELL PERSONAL CARE CANADA, ULC",Edgewell,02304112,BENZETHONIUM CHLORIDE,Small molecule,WIPE,78942,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78942
ORAL,MARKETED,78947,APPROVED,07.01.2008,2008,TEVA-CLONIDINE,TEVA CANADA LIMITED,Teva,02304163,CLONIDINE HYDROCHLORIDE,Small molecule,TABLET,78947,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78947
ORAL,MARKETED,78954,MARKETED,05.05.2008,2008,BENADRYL ALLERGY LIQUIGELS,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,Johnson & Johnson,02304252,DIPHENHYDRAMINE HYDROCHLORIDE,Small molecule,CAPSULE,78954,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78954
ORAL,MARKETED,78960,APPROVED,25.01.2008,2008,ACT VENLAFAXINE XR,TEVA CANADA LIMITED,Teva,02304317,VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE),Small molecule,CAPSULE (EXTENDED RELEASE),78960,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78960
ORAL,MARKETED,78961,APPROVED,25.01.2008,2008,ACT VENLAFAXINE XR,TEVA CANADA LIMITED,Teva,02304325,VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE),Small molecule,CAPSULE (EXTENDED RELEASE),78961,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78961
ORAL,MARKETED,78962,APPROVED,25.01.2008,2008,ACT VENLAFAXINE XR,TEVA CANADA LIMITED,Teva,02304333,VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE),Small molecule,CAPSULE (EXTENDED RELEASE),78962,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78962
INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,78963,MARKETED,06.06.2008,2008,0.9% SODIUM CHLORIDE INJECTION USP,HIKMA CANADA LIMITED,Hikma,02304341,SODIUM CHLORIDE,Other,SOLUTION,78963,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78963
ORAL,MARKETED,78965,APPROVED,15.01.2008,2008,PMS-DESMOPRESSIN,PHARMASCIENCE INC,Pharmascience,02304368,DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE),Peptides and proteins,TABLET,78965,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78965
ORAL,MARKETED,78966,APPROVED,15.01.2008,2008,PMS-DESMOPRESSIN,PHARMASCIENCE INC,Pharmascience,02304376,DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE),Peptides and proteins,TABLET,78966,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78966
TOPICAL,MARKETED,78974,MARKETED,30.07.2009,2009,ANTIBIOTIC PLUS PAIN RELIEF CREAM,TARO PHARMACEUTICALS INC,Taro,02304457,GRAMICIDIN; LIDOCAINE HYDROCHLORIDE; POLYMYXIN B SULFATE,Small molecule,CREAM,78974,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78974
TOPICAL,MARKETED,78975,MARKETED,23.01.2009,2009,COMPLETE ANTIBIOTIC OINTMENT,TARO PHARMACEUTICALS INC,Taro,02304465,LIDOCAINE; POLYMYXIN B SULFATE; GRAMICIDIN; BACITRACIN ZINC,Small molecule,OINTMENT,78975,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78975
INTRAVENOUS,MARKETED,78988,APPROVED,10.01.2008,2008,PRIVIGEN,CSL BEHRING CANADA INC,CSL Behring,02304619,IMMUNOGLOBULIN (HUMAN),Biologics,SOLUTION,78988,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78988
ORAL,MARKETED,78993,APPROVED,08.07.2008,2008,SANDOZ ALFUZOSIN,SANDOZ CANADA INCORPORATED,Sandoz,02304678,ALFUZOSIN HYDROCHLORIDE,Small molecule,TABLET (EXTENDED-RELEASE),78993,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=78993
INTRAVENOUS,MARKETED,79003,APPROVED,27.03.2008,2008,CIPROFLOXACIN INTRAVENOUS INFUSION BP,SANDOZ CANADA INCORPORATED,Sandoz,02304759,CIPROFLOXACIN,Small molecule,SOLUTION,79003,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79003
ORAL,MARKETED,79011,APPROVED,15.01.2008,2008,TAMIFLU,HOFFMANN-LA ROCHE LIMITED,Hoffmann-La Roche,02304848,OSELTAMIVIR (OSELTAMIVIR PHOSPHATE),Small molecule,CAPSULE,79011,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79011
ORAL,MARKETED,79012,APPROVED,15.01.2008,2008,TAMIFLU,HOFFMANN-LA ROCHE LIMITED,Hoffmann-La Roche,02304856,OSELTAMIVIR (OSELTAMIVIR PHOSPHATE),Small molecule,CAPSULE,79012,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79012
ORAL,MARKETED,79016,APPROVED,17.01.2008,2008,REVLIMID,BRISTOL-MYERS SQUIBB CANADA,Bristol-Myers Squibb,02304899,LENALIDOMIDE,Small molecule,CAPSULE,79016,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79016
ORAL,MARKETED,79017,APPROVED,17.01.2008,2008,REVLIMID,BRISTOL-MYERS SQUIBB CANADA,Bristol-Myers Squibb,02304902,LENALIDOMIDE,Small molecule,CAPSULE,79017,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79017
ORAL,MARKETED,79038,APPROVED,23.01.2008,2008,GEN-CLOZAPINE,MYLAN PHARMACEUTICALS ULC,Mylan,02305003,CLOZAPINE,Small molecule,TABLET,79038,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79038
ORAL,MARKETED,79039,APPROVED,23.01.2008,2008,GEN-CLOZAPINE,MYLAN PHARMACEUTICALS ULC,Mylan,02305011,CLOZAPINE,Small molecule,TABLET,79039,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79039
ORAL,MARKETED,79041,APPROVED,25.01.2008,2008,TARO-PANTOPRAZOLE,SUN PHARMA CANADA INC,SUN,02305046,PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE),Small molecule,TABLET (DELAYED-RELEASE),79041,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79041
ORAL,MARKETED,79043,APPROVED,04.02.2010,2010,APO-METFORMIN ER,APOTEX INC,Apotex,02305062,METFORMIN HYDROCHLORIDE,Small molecule,TABLET (EXTENDED-RELEASE),79043,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79043
TOPICAL,MARKETED,79066,MARKETED,31.05.2009,2009,COMPLIMENTS WHITE PETROLEUM JELLY,GEMINI PACKAGING LTD,GEMINI,02305178,WHITE PETROLATUM,Other,OINTMENT,79066,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79066
ORAL,MARKETED,79079,APPROVED,28.03.2008,2008,MINT-ONDANSETRON,MINT PHARMACEUTICALS INC,MINT,02305259,ONDANSETRON (ONDANSETRON HYDROCHLORIDE),Small molecule,TABLET,79079,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79079
ORAL,MARKETED,79080,APPROVED,28.03.2008,2008,MINT-ONDANSETRON,MINT PHARMACEUTICALS INC,MINT,02305267,ONDANSETRON (ONDANSETRON HYDROCHLORIDE),Small molecule,TABLET,79080,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79080
ORAL,MARKETED,79084,MARKETED,01.03.2009,2009,NIGHTTIME TOTAL COLD AND FLU,VITA HEALTH PRODUCTS INC,Vita Health,02305305,DIPHENHYDRAMINE HYDROCHLORIDE; ACETAMINOPHEN; PSEUDOEPHEDRINE HYDROCHLORIDE,Small molecule,TABLET,79084,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=79084
