Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,MARKETED,88592,APPROVED,14.02.2013,2013,ADVIL FLU,HALEON CANADA ULC,Haleon,02401193,DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN,Small molecule,CAPSULE,88592,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88592
ORAL,MARKETED,88596,APPROVED,31.01.2013,2013,TRANEXAMIC ACID TABLETS,STERIMAX INC,Sterimax,02401231,TRANEXAMIC ACID,Small molecule,TABLET,88596,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88596
ORAL,MARKETED,88618,APPROVED,05.02.2013,2013,AURO-MONTELUKAST,AURO PHARMA INC,Auro,02401274,MONTELUKAST (MONTELUKAST SODIUM),Small molecule,TABLET,88618,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88618
INTRAVENOUS,MARKETED,88626,APPROVED,01.02.2013,2013,ADCETRIS,SEAGEN INC.,Seagen,02401347,BRENTUXIMAB VEDOTIN,Biologics,POWDER FOR SOLUTION,88626,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88626
TOPICAL,MARKETED,88633,MARKETED,17.06.2013,2013,BROAD SPECTRUM 50 SPF FPS SUNSCREEN LOTION,DEGIL SAFETY PRODUCTS (1989) INC.,DEGIL SAFETY PRODUCTS,02401436,OCTISALATE; OXYBENZONE; HOMOSALATE; OCTOCRYLENE; AVOBENZONE,Small molecule,LOTION,88633,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88633
INTRAVENOUS,MARKETED,88636,APPROVED,08.02.2013,2013,VINBLASTINE SULPHATE INJECTION,TEVA CANADA LIMITED,Teva,02401460,VINBLASTINE SULFATE,Small molecule,SOLUTION,88636,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88636
ORAL,MARKETED,88640,APPROVED,13.02.2013,2013,AMOXICILLIN,SIVEM PHARMACEUTICALS ULC,SIVEM,02401509,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),Small molecule,CAPSULE,88640,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88640
ORAL,MARKETED,88644,APPROVED,13.02.2013,2013,AMOXICILLIN,SIVEM PHARMACEUTICALS ULC,SIVEM,02401541,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),Small molecule,GRANULES FOR SUSPENSION,88644,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88644
INTRAVENOUS,MARKETED,88649,APPROVED,15.02.2013,2013,ZOLEDRONIC ACID - Z,SANDOZ CANADA INCORPORATED,Sandoz,02401606,ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE),Small molecule,SOLUTION,88649,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88649
ORAL,MARKETED,88650,APPROVED,22.02.2013,2013,MED-RIVASTIGMINE,GENERIC MEDICAL PARTNERS INC,Generic Medical Partners,02401614,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE,88650,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88650
ORAL,MARKETED,88651,APPROVED,22.02.2013,2013,MED-RIVASTIGMINE,GENERIC MEDICAL PARTNERS INC,Generic Medical Partners,02401622,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE,88651,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88651
ORAL,MARKETED,88652,APPROVED,22.02.2013,2013,MED-RIVASTIGMINE,GENERIC MEDICAL PARTNERS INC,Generic Medical Partners,02401630,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE,88652,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88652
ORAL,MARKETED,88653,APPROVED,22.02.2013,2013,MED-RIVASTIGMINE,GENERIC MEDICAL PARTNERS INC,Generic Medical Partners,02401649,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE,88653,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88653
ORAL,MARKETED,88654,APPROVED,08.02.2013,2013,PMS-TRAMADOL-ACET,PHARMASCIENCE INC,Pharmascience,02401657,TRAMADOL HYDROCHLORIDE; ACETAMINOPHEN,Small molecule,TABLET,88654,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88654
SUBCUTANEOUS,MARKETED,88659,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401703,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88659,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88659
SUBCUTANEOUS,MARKETED,88660,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401711,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88660,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88660
SUBCUTANEOUS,MARKETED,88662,APPROVED,06.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401746,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88662,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88662
SUBCUTANEOUS,MARKETED,88663,APPROVED,06.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401754,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88663,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88663
SUBCUTANEOUS,MARKETED,88664,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401762,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88664,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88664
SUBCUTANEOUS,MARKETED,88665,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401770,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88665,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88665
SUBCUTANEOUS,MARKETED,88666,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401789,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88666,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88666
SUBCUTANEOUS,MARKETED,88667,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401797,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88667,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88667
SUBCUTANEOUS,MARKETED,88668,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401800,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88668,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88668
SUBCUTANEOUS,MARKETED,88669,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401819,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88669,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88669
SUBCUTANEOUS,MARKETED,88670,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401827,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88670,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88670
SUBCUTANEOUS,MARKETED,88671,APPROVED,07.02.2013,2013,GENOTROPIN,PFIZER CANADA ULC,Pfizer,02401835,SOMATROPIN,Peptides and proteins,POWDER FOR SOLUTION,88671,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88671
