DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year
73430,02249472,PREVACID FASTAB,LANSOPRAZOLE,TABLET (DELAYED-RELEASE),ORAL,APPROVED,01.04.2004,MARKETED,TAKEDA PHARMACEUTICALS AMERICA INC,2004
73432,02249499,ANDROGEL,TESTOSTERONE,GEL,TRANSDERMAL,MARKETED,20.09.2004,MARKETED,BGP PHARMA ULC,2004
73433,02249510,MIDAMOR,AMILORIDE HYDROCHLORIDE,TABLET,ORAL,APPROVED,14.06.2004,MARKETED,AA PHARMA INC,2004
73439,02249561,FLUMAZENIL INJECTION,FLUMAZENIL,SOLUTION,INTRAVENOUS,APPROVED,22.03.2004,MARKETED,SANDOZ CANADA INCORPORATED,2004
73448,02249677,PAMIDRONATE DISODIUM OMEGA 6 MG/ML,PAMIDRONATE DISODIUM,SOLUTION,INTRAVENOUS,APPROVED,09.03.2004,MARKETED,OMEGA LABORATORIES LIMITED,2004
73449,02249685,PAMIDRONATE DISODIUM OMEGA 9 MG/ML,PAMIDRONATE DISODIUM,SOLUTION,INTRAVENOUS,APPROVED,09.03.2004,MARKETED,OMEGA LABORATORIES LIMITED,2004
73463,02249790,NEULASTA,PEGFILGRASTIM,SOLUTION,SUBCUTANEOUS,APPROVED,12.03.2004,MARKETED,AMGEN CANADA INC,2004
73487,02250055,APO-DEXAMETHASONE,DEXAMETHASONE,TABLET,ORAL,MARKETED,08.03.2004,MARKETED,APOTEX INC,2004
73489,02250071,ELIZABETH ARDEN LIP PROTECTANT STICK SPF 15,PADIMATE O; OXYBENZONE,STICK,TOPICAL,MARKETED,15.05.2005,MARKETED,ELIZABETH ARDEN (CANADA) LIMITED,2005
73495,02250144,TEVA-SIMVASTATIN,SIMVASTATIN,TABLET,ORAL,APPROVED,19.03.2004,MARKETED,TEVA CANADA LIMITED,2004
73496,02250152,TEVA-SIMVASTATIN,SIMVASTATIN,TABLET,ORAL,APPROVED,19.03.2004,MARKETED,TEVA CANADA LIMITED,2004
73497,02250160,TEVA-SIMVASTATIN,SIMVASTATIN,TABLET,ORAL,APPROVED,19.03.2004,MARKETED,TEVA CANADA LIMITED,2004
73498,02250179,TEVA-SIMVASTATIN,SIMVASTATIN,TABLET,ORAL,APPROVED,19.03.2004,MARKETED,TEVA CANADA LIMITED,2004
73499,02250187,TEVA-SIMVASTATIN,SIMVASTATIN,TABLET,ORAL,APPROVED,19.03.2004,MARKETED,TEVA CANADA LIMITED,2004
73505,02250241,CONCERTA,METHYLPHENIDATE HYDROCHLORIDE,TABLET (EXTENDED-RELEASE),ORAL,APPROVED,30.06.2004,MARKETED,JANSSEN INC,2004
