Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda040447,,codrix,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,26.02.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040452,,acetaminophen and codeine phosphate,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,01.08.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040459,,acetaminophen and codeine phosphate,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,01.08.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040464,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,23.10.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040468,,anexsia,acetaminophen,mallinckrodt,small molecule,tablet,oral,approved,discontinued,31.10.2002,2002,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040469,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,25.10.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040473,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,06.11.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040474,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,02.01.2003,2003,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040476,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,23.10.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040477,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,06.11.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
