Origin,Marketing authorisation Number,Drug name,Non proprietary name,Marketing authorisation holder/ applicant,Pharmaceutical form,Administration route,Decision,Decision date,Current status,Non-clinical abridge,Referral
FDA,ANDA090146,CICLOPIROX,CICLOPIROX,FOUGERA PHARMS,SHAMPOO,TOPICAL,Approved,25.05.2010,authorised,yes,No
FDA,ANDA090164,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,SANDOZ,INJECTABLE,INJECTION,Approved,01.06.2009,Discontinued,yes,No
FDA,ANDA090165,ARIPIPRAZOLE,ARIPIPRAZOLE,SQUARE PHARMS,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,28.08.2018,authorised,yes,No
FDA,ANDA090166,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,SANDOZ,INJECTABLE,INJECTION,Approved,27.05.2009,Discontinued,yes,No
FDA,ANDA090187,LEVETIRACETAM,LEVETIRACETAM,APOTEX INC,SOLUTION,ORAL,Approved,05.08.2011,Discontinued,yes,No
FDA,ANDA090197,POLYETHYLENE GLYCOL 3350; SODIUM CHLORIDE; SODIUM BICARBONATE; POTASSIUM CHLORIDE; BISACODYL,POLYETHYLENE GLYCOL 3350,NOVEL LABS INC,SOLUTION; ORAL AND TABLET; DELAYED RELEASE, DELAYED RELEASE;  ORAL AND TABLET; SOLUTION,Tentative Approval,27.05.2010,None (Tentative Approval),yes,No
FDA,ANDA090218,GLATOPA,GLATIRAMER ACETATE,SANDOZ,INJECTABLE,SUBCUTANEOUS,Approved,16.04.2015,authorised,yes,No
FDA,ANDA090228,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,FOSINOPRIL SODIUM,INVAGEN PHARMS,TABLET,ORAL,Approved,09.07.2009,authorised,yes,No
FDA,ANDA090243,VECURONIUM BROMIDE,VECURONIUM BROMIDE,MYLAN LABS LTD,INJECTABLE,INJECTION,Approved,11.05.2010,authorised,yes,No
FDA,ANDA090253,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,ACCORD HLTHCARE,CAPSULE,ORAL,Approved,04.05.2009,authorised,yes,No
FDA,ANDA090258,ALENDRONATE SODIUM,ALENDRONATE SODIUM,HANGZHOU BINJIANG,TABLET,ORAL,Approved,24.09.2009,authorised,yes,No
FDA,ANDA090269,CICLOPIROX,CICLOPIROX,TARO,SHAMPOO,TOPICAL,Approved,23.02.2011,authorised,yes,No
FDA,ANDA090315,MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,MIDAZOLAM HYDROCHLORIDE,STERISCIENCE SPECLTS,INJECTABLE,INJECTION,Approved,29.11.2010,authorised,yes,No
