Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Bleomycin sulfate,Blenoxane,09/17/1993,Treatment of malignant pleural effusion.,Designated/Approved,,,Treatment of malignant pleural effusion.,02/20/1996,02/20/2003,,Bristol-Myers Squibb Pharmaceutical Research Institute,P.O. Box 4000,,Princeton,New Jersey,' 08543 ' ,United States,76193.0
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,,BLINCYTO is indicated for the treatment of B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1% in adults and children.,03/29/2018,03/29/2025,For the treatment of B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease (MRD) greater than or equal to 0.1% in adults and children,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,' 91320 ' ,United States,255707.0
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,,treatment of CD19-positive Philadelphia chromosome-negative B-cell precursor acute lymphoblastic leukemia (ALL) in the consolidation phase of multiphase chemotherapy in adult and pediatric patients one month and older,06/14/2024,06/14/2031,treatment of CD19-positive Philadelphia chromosome-negative B-cell precursor acute lymphoblastic leukemia (ALL) in the consolidation phase of multiphase chemotherapy in adult and pediatric patients one month and older,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,' 91320 ' ,United States,255707.0
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,,treatment of relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL) in adults and children,2017-11-07 00:00:00,2024-11-07 00:00:00,treatment of Philadelphia chromosome-positive relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL) in adults and children,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,' 91320 ' ,United States,255707.0
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,,Treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).,2014-03-12 00:00:00,2021-03-12 00:00:00,Treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,' 91320 ' ,United States,255707.0
blinatumomab,Blincyto,05/16/2008,Treatment of acute lymphocytic leukemia,Designated/Approved,,,treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),08/30/2016,08/30/2023,treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL) in patients weighing less than 45 kg,"Amgen, Inc.",One Amgen Center Dr.,,Thousand Oaks,California,' 91320 ' ,United States,255707.0
bortezomib,Velcade,01/15/2003,Treatment of multiple myeloma,Designated/Approved,,,Treatment of multiple myeloma patients who have received at least two prior therapies and have demonstrated disease progression on the last therapy,05/13/2003,05/13/2010,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,163002.0
bortezomib,Velcade,01/15/2003,Treatment of multiple myeloma,Designated/Approved,,,Treatment of multiple myeloma patients who have received at least one prior therapy,03/25/2005,03/25/2012,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,163002.0
bortezomib,Velcade,05/30/2012,Treatment of mantle cell lymphoma.,Designated/Approved,,,Treatment of patients with mantle cell lymphoma.,2014-08-10 00:00:00,2021-08-10 00:00:00,Treatment of patients with mantle cell lymphoma who have not received at least 1 prior therapy,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,226106.0
bortezomib,Velcade,01/15/2003,Treatment of multiple myeloma,Designated/Approved,,,First-line therapy of multiple myeloma.,06/20/2008,06/20/2015,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,163002.0
bortezomib,Velcade,05/30/2012,Treatment of mantle cell lymphoma.,Designated/Approved,,,Treatment of patients with mantle cell lymphoma who have received at least 1 prior therapy.,2006-08-12 00:00:00,2013-08-12 00:00:00,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,226106.0
bosutinib,Bosulif,02/24/2009,Treatment of chronic myelogenous leukemia,Designated/Approved,,,"Treatment of adult patients with chronic, accelerated or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) with resistance, or intolerance to prior therapy",2012-04-09 00:00:00,2019-04-09 00:00:00,,PF PRISM C.V.,Rivium Westlaan 142,,Capelle aan den IJssel,,' 2909 LD ' ,Netherlands,274808.0
bosutinib,Bosulif,02/24/2009,Treatment of chronic myelogenous leukemia,Designated/Approved,,,"treatment of pediatric patients 1 year of age and older with chronic phase (CP) Philadelphia chromosome positive chronic myelogenous leukemia (Ph+ CML), newly-diagnosed or resistant or intolerant to prior therapy",09/26/2023,09/26/2030,"treatment of pediatric patients 1 year of age and older with chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukemia (Ph+ CML), newly-diagnosed or resistant or intolerant to prior therapy",PF PRISM C.V.,Rivium Westlaan 142,,Capelle aan den IJssel,,' 2909 LD ' ,Netherlands,274808.0
bosutinib,Bosulif,02/24/2009,Treatment of chronic myelogenous leukemia,Designated/Approved,,,BOSULIF is indicated for the treatment of adult patients with newly-diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukemia (Ph+CML).,12/19/2017,12/19/2024,Treatment of adult patients with newly-diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukemia (Ph+ CML).,PF PRISM C.V.,Rivium Westlaan 142,,Capelle aan den IJssel,,' 2909 LD ' ,Netherlands,274808.0
Botulinum toxin type A,Dysport,10/20/1999,Treatment of dynamic muscle contractures in pediatric cerebral palsy patients.,Designated/Approved,,,Treatment of lower limb spasticity in pediatric patients 2 years of age and older,07/29/2016,07/29/2023,Treatment of lower limb spasticity in pediatric cerebral palsy patients 2 years of age and older,"Ipsen Biopharmaceuticals, Inc.",650 East Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,128299.0
Botulinum toxin type B,Myobloc,01/16/1992,Treatment of cervical dystonia.,Designated/Approved,,,Treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.,2000-08-12 00:00:00,2007-08-12 00:00:00,,"Soltice Neurosciences, LLC",4010 Dupont Circle,Suite L-07,Louisville,Kentucky,' 40207 ' ,United States,64791.0
brentuximab vedotin,Adcetris,10/23/2008,"Treatment of peripheral T-cell lymphoma, including anaplastic large cell lymphoma, peripheral T-cell lymphoma not otherwise specified, angioimmunoblastic T-cell lymphoma, adult T-cell leukemia/lymphoma, enteropathy-associated T-cell lymphoma, and extranodal NK/T-cell lymphoma.",Designated/Approved,,,The treatment of patients with systemic anaplastic large cell lymphoma (sALCL) after failure of at least one prior multi-agent chemotherapy regimen,08/19/2011,08/19/2018,,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,268908.0
brentuximab vedotin,Adcetris,10/23/2008,"Treatment of peripheral T-cell lymphoma, including anaplastic large cell lymphoma, peripheral T-cell lymphoma not otherwise specified, angioimmunoblastic T-cell lymphoma, adult T-cell leukemia/lymphoma, enteropathy-associated T-cell lymphoma, and extranodal NK/T-cell lymphoma.",Designated/Approved,,,"ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone",11/16/2018,11/16/2025,"ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone",Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,268908.0
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,,Treatment of patients with classical Hodgkin lymphoma at high risk of relapse or progression as post-autologous hematopoietic stem cell transplantation (auto-HSCT) consolidation.,08/17/2015,08/17/2022,Treatment of patients with classical Hodgkin lymphoma at high risk of relapse or progression as post-autologous hematopoietic stem cell transplantation (auto-HSCT) consolidation.,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,235606.0
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,,"treatment of pediatric patients 2 years and older with previously untreated high risk classical Hodgkin lymphoma (cHL) in combination with doxorubicin, vincristine, etoposide, prednisone, and cyclophosphamide",2022-10-11 00:00:00,2029-10-11 00:00:00,treatment of pediatric patients 2 years and older with previously untreated high risk classical Hodgkin lymphoma (cHL),Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,235606.0
Brentuximab vedotin,Adcetris,2016-07-09 00:00:00,Treatment of primary cutaneous CD30-positive T-cell lymphoproliferative disorders,Designated/Approved,,,For adult patients with primary cutaneous anaplastic large cell lymphoma who have received prior systemic therapy,2017-09-11 00:00:00,2024-09-11 00:00:00,For adult patients with primary cutaneous anaplastic large cell lymphoma who have received prior systemic therapy,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,536516.0
brentuximab vedotin,Adcetris,11/19/2012,Treatment of mycosis fungoides,Designated/Approved,,,Treatment for adult patients with CD30-expressing mycosis fungoides who have received prior systemic therapy,2017-09-11 00:00:00,2024-09-11 00:00:00,Treatment for adult patients with CD30-expressing mycosis fungoides who have received prior systemic therapy,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,362611.0
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,,The treatment of patients with Hodgkin lymphoma after failure of autologous stem cell transplant (ASCT) or after failure of at least two prior multi-agent chemotherapy regimens in patients who are not ASCT candidates,08/19/2011,08/19/2018,,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,235606.0
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,,"ADCETRIS is indicated for the treatment of adult patients with previously untreated Stage III or IV classical Hodgkin lymphoma (cHL), in combination with chemotherapy.",03/20/2018,03/20/2025,"ADCETRIS is indicated for the treatment of adult patients with previously untreated Stage III or IV classical Hodgkin lymphoma (cHL), in combination with chemotherapy.",Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,' 98021 ' ,United States,235606.0
brigatinib,Alunbrig,04/28/2016,"Treatment of anaplastic lymphoma kinase-positive (ALK+), c-ros 1 oncogene positive (ROS1+), or epidermal growth factor receptor positive (EGFR+) non-small cell lung cancer (NSCLC).",Designated/Approved,,,ALUNBRIG (brigatinib) is indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.,05/22/2020,05/22/2027,"For the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test, not including patients who have progressed on or are intolerant to crizotinib.","Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,505415.0
brigatinib,Alunbrig,04/28/2016,"Treatment of anaplastic lymphoma kinase-positive (ALK+), c-ros 1 oncogene positive (ROS1+), or epidermal growth factor receptor positive (EGFR+) non-small cell lung cancer (NSCLC).",Designated/Approved,,,Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib,04/28/2017,04/28/2024,Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,505415.0
brincidofovir,Tembexa,2018-05-06 00:00:00,Treatment of smallpox,Designated/Approved,,,"Treatment of human smallpox disease caused by variola virus in adult and pediatric patients, including neonates",2021-04-06 00:00:00,2028-04-06 00:00:00,"Treatment of human smallpox disease caused by variola virus in adult and pediatric patients, including neonates",Emergent BioDefense Operations Lansing LLC,3500 North Martin Luther King Jr. Blvd.,,Lansing,Michigan,' 48906 ' ,United States,640518.0
