Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Antithrombin III (human),Thrombate III,11/26/1984,For replacement therapy in congenital deficiency of AT-III for prevention and treatment of thrombosis and pulmonary emboli.,Designated/Approved,,,,12/30/1991,12/30/1998,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,' 06516 ' ,United States,4084.0
Antithrombin III (human),ATnativ,1985-08-02 00:00:00,For the treatment of patients with hereditary antithrombin III deficiency in connection with surgical or obstetrical procedures or when they suffer from thromboembolism.,Designated/Approved,,,,12/13/1989,12/13/1996,,Pharmacia & Upjohn AB,Lindhagensgatan 133,,Stockholm,,' ' ,Sweden,5084.0
"Antivenin, crotalidae polyvalent immune Fab (ovine)",CroFab,1994-12-01 00:00:00,Treatment of envenomations inflicted by North American crotalid snakes.,Designated/Approved,,,Treatment of minimal and moderate North American Crotalidae envenomation,2000-02-10 00:00:00,2007-02-10 00:00:00,,"Protherics, Inc.","1207 17th Ave. S., Suite 103",,Nashville,Tennessee,' 37212 ' ,United States,78993.0
artesunate,,03/28/2006,Immediate treatment of malaria,Designated/Approved,,,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,05/26/2020,05/26/2027,For the initial treatment of severe malaria in adult and pediatric patients to always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,Amivas Inc.,"100 Tuscanney Drive, Suite B2",,Frederick,Maryland,' 21702 ' ,United States,221206.0
atezolizumab + bevacizumab,Tecentriq and Avastin,2018-08-01 00:00:00,Treatment of hepatocellular carcinoma (HCC),Designated/Approved,,,"TECENTRIQ, in combination with bevacizumab, for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.",05/29/2020,05/29/2027,TECENTRIQ for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.,"Genentech, Inc.",1 DNA Way,MS 451A,South San Francisco,California,' 94080 ' ,United States,619317.0
atezolizumab + bevacizumab,Tecentriq and Avastin,2018-08-01 00:00:00,Treatment of hepatocellular carcinoma (HCC),Designated/Approved,,,"AVASTIN, in combination with atezolizumab, for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.",05/29/2020,05/29/2027,AVASTIN for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.,"Genentech, Inc.",1 DNA Way,MS 451A,South San Francisco,California,' 94080 ' ,United States,619317.0
atidarsagene autotemcel,Lenmeldy,2018-08-03 00:00:00,Treatment of the Metachromatic Leukodystrophy (including pre-symptomatic metachromatic leukodystrophy),Designated/Approved,,,"treatment of children with pre-symptomatic late infantile (PSLI), pre-symptomatic early juvenile (PSEJ) or early symptomatic early juvenile (ESEJ) metachromatic leukodystrophy (MLD)",03/18/2024,03/18/2031,"treatment of children with pre-symptomatic late infantile (PSLI), pre-symptomatic early juvenile (PSEJ) or early symptomatic early juvenile (ESEJ) metachromatic leukodystrophy (MLD)",Orchard Therapeutics Ltd.,245 Hammersmith Road,,London,,' W6 8PW ' ,United Kingdom,631518.0
avatrombopag maleate,,2011-01-09 00:00:00,Treatment of idiopathic thrombocytopenic purpura,Designated/Approved,,,DOPTELET is indicated for the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia who have had an insufficient response to a previous treatment,06/26/2019,06/26/2026,For the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia who have had an insufficient response to a previous treatment,"Sobi, Inc.",240 Leigh Farm Road,Suite 245,Durham,North Carolina,' 27707 ' ,United States,325110.0
avutometinib; defactinib,Avmapki Fakzynja Co-Pack,2024-05-03 00:00:00,Treatment of low grade serous ovarian cancer (LGSOC),Designated/Approved,,,treatment of adult patients with KRAS-mutated recurrent low-grade serous ovarian cancer (LGSOC) who have received prior systemic therapy,2025-08-05 00:00:00,,,"Verastem, Inc.",117 Kendrick Street,Suite 500,Needham,Massachusetts,' 02494 ' ,United States,991323.0
axicabtagene ciloleucel,Yescarta,04/20/2016,Treatment of primary mediastinal B-cell lymphoma.,Designated/Approved,,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma",10/18/2017,10/18/2024,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy, treatment of adult patients with relapsed or refractory DLBCL arising from follicular lymphoma after two or more lines of systemic therapy, and treatment of adult patients with relapsed or refractory primary mediastinal B-cell lymphoma after two or more lines of systemic therapy (not including treatment of patients with primary central nervous system lymphoma)","Kite Pharma, inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,515915.0
