Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
immune globulin infusion (human),Gammagard Liquid,07/20/2006,Treatment of multifocal motor neuropathy,Designated/Approved,,,Maintenance therapy to improve muscle strength and disability in adult patients with Multifocal Motor Neuropathy (MMN).,06/22/2012,06/22/2019,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,224906.0
Immune Globulin Infusion 10% (Human) with Recombinant Human Hyaluronidase,HyQvia,03/31/2016,Treatment of chronic inflammatory demyelinating polyneuropathy,Designated/Approved,,,treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults,2024-12-01 00:00:00,2031-12-01 00:00:00,treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,514315.0
Immune Globulin Intravenous (Human),Octagam 10%,04/19/2017,Treatment of dermatomyositis,Designated/Approved,,,Treatment of dermatomyositis in adults,07/15/2021,07/15/2028,Treatment of dermatomyositis in adults,"OCTAPHARMA USA, Inc.",117 West Century Road,,Paramus,New Jersey,' 07652 ' ,United States,564716.0
immune globulin intravenous (human),Gammaplex,04/29/2011,Treatment of idiopathic thrombocytopenic purpura (also known as primary immune thrombocytopenia),Designated/Approved,,,Idiopathic thrombocytopenic purpura,2013-08-03 00:00:00,,,Bio Products Laboratory,Dagger Lane,Hertfordshire,England,,' ' ,United Kingdom,335211.0
"Immune globulin intravenous, human",Gamimune N,02/18/1993,Infection prophylaxis in pediatric patients affected with the human immunodeficiency virus.,Designated/Approved,,,"For prophylaxis of children with clinical or immunologic evidence of human immunodeficiency virus to decrease the frequency of serious and minor bacterial infections and the frequency of hospitalization, and to increase the time free of serious bacterial infections.",12/27/1993,12/27/2000,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,' 06516 ' ,United States,70592.0
"Immune Globulin Subcutaneous (Human), 20% Liquid",Hizentra,08/18/2014,Treatment of chronic inflammatory demyelinating polyneuropathy (CIDP),Designated/Approved,,,Indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment.,03/15/2018,03/15/2025,Indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment,CSL Behring,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,' 19406 ' ,United States,439914.0
inotuzumab ozogamicin,,03/25/2013,Treatment of B-cell acute lymphoblastic leukemia,Designated/Approved,,,Treatment of adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),08/17/2017,08/17/2024,Treatment of adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),"Wyeth Pharmaceuticals, LLC",P.O. Box 8299,,Philadelphia,Pennsylvania,' 19101 ' ,United States,391413.0
Interferon alfa-2a,Roferon A,1989-06-06 00:00:00,Treatment of chronic myelogenous leukemia.,Designated/Approved/Designation Withdrawn or Revoked,2024-12-09,,Treatment of chronic myelogenous leukemia.,10/19/1995,10/19/2002,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,' 07110 ' ,United States,36989.0
Interferon alfa-2a (recombinant),Roferon-A,12/14/1987,Treatment of AIDS related Kaposi's sarcoma.,Designated/Approved/Designation Withdrawn or Revoked,2024-12-09,,,11/21/1988,11/21/1995,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,' 07110 ' ,United States,25987.0
Iobenguane I 131,Azedra Ultratrace,01/18/2006,Treatment of neuroendocrine tumors,Designated/Approved,,,"AZEDRA is indicated for the treatment of adult and pediatric patients 12 years and older with iobenguane scan positive, unresectable, locally advanced or metastatic pheochromocytoma or paraganglioma who require systemic anticancer therapy.",07/30/2018,07/30/2025,"AZEDRA is indicated for the treatment of adult and pediatric patients 12 years and older with iobenguane scan positive, unresectable, locally advanced or metastatic pheochromocytoma or paraganglioma who require systemic anticancer therapy.","Progenics Pharmaceuticals, Inc.",One World Trade Center.,"47th Floor, Suite J",New York,New York,' 10007 ' ,United States,216205.0
Iobenguane Sulfate I 131,,11/14/1984,For use as a diagnostic adjunct in patients with pheochromocytoma.,Designated/Approved/Designation Withdrawn or Revoked,,,Adjunctive diagnostic agent in the localization of primary or metastatic pheochromocytomas.,03/25/1994,03/25/2001,,University of Michigan,UH B1 H410/0028,1500 E. Medical Center Drive,Ann Arbor,Michigan,' 48109 ' ,United States,2284.0
irinotecan liposome injection,,07/21/2011,Treatment of pancreatic cancer,Designated/Approved,,,"For use in combination with fluorouracil and leucovorin, for the treatment of patients with metastatic adenocarcinoma of the pancreas that has progressed following gemcitabine-based therapy",10/22/2015,10/22/2022,"For use in combination with 5-fluorouracil and leucovorin, for the treatment of patients with metastatic adenocarcinoma of the pancreas that has progressed following gemcitabine-based therapy","Ipsen Biopharmaceuticals, Inc.",One Main Street,,Cambridge,Massachusetts,' 02142 ' ,United States,344311.0
iron(III)-hexacyanoferrate(II),Radiogardase,2003-01-05 00:00:00,Treatment of patients with known or suspected internal contamination with radioactive or non-radioactive cesium or thallium,Designated/Approved,,,Treatment of patients with known or suspected internal contamination with radioactive cesium and/or radioactive or non-radioactive thallium to increase their rates of elimination,2003-02-10 00:00:00,2010-02-10 00:00:00,,"Heyl Chemisch-Pharmzeutische Fabrik GMBH & Co, KG",Goerzallee 253,D-14167,Berlin,,' ' ,Germany,169203.0
"Japanese encephalitis vaccine, inactivated, adsorbed",IXIARO,09/25/2012,Prevention of Japanese encephalitis virus in pediatric patients.,Designated/Approved,,,IXIARO is a vaccine indicated for the prevention of disease caused by Japanese encephalitis virus (JEV). IXIARO is approved for use in individuals 2 months of age and older.,05/17/2013,05/17/2020,"To extend the age range to include infants, children, and adolescents 2 months to less than 17 years of age for active immunization for the prevention of disease caused by Japanese encephalitis virus.",Intercell AG,Campus Vienna Biocenter 3,A-1030,Vienna,,' ' ,Austria,376112.0
lanreotide acetate,,2011-08-09 00:00:00,Treatment of carcinoid syndrome,Designated/Approved,,,"treatment of adults with carcinoid syndrome; when used, it reduces the frequency of short-acting somatostatin analog rescue therapy",09/15/2017,09/15/2024,"treatment of adults with carcinoid syndrome; when used, it reduces the frequency of short-acting somatostatin analog rescue therapy","Ipsen Biopharmaceuticals, Inc.",106 Allen Road,,Basking Ridge,New Jersey,' 07920 ' ,United States,347111.0
Lepirudin,Refluden,02/13/1997,Treatment of heparin-associated thrombocytopenia type II.,Designated/Approved,,,For anticoagulation in patients with heparin-induced thrombocytopenia and associated thromboembolic disease in order to prevent further thromboembolic complications.,1998-06-03 00:00:00,2005-06-03 00:00:00,,Hoechst Marion Roussel,Frankfurt am Main,P.O. Box 1140,Marburg,,' ' ,Germany,102796.0
Leuprolide acetate,Lupron Depot-Ped,07/25/1988,Treatment of central precocious puberty,Designated/Approved,,,treatment of pediatric patients with central precocious puberty (CPP),04/14/2023,,,AbbVie Endocrine Inc.,1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,28688.0
Leuprolide acetate,Lupron Injection,07/25/1988,Treatment of central precocious puberty,Designated/Approved,,,Treatment of children with central precocious puberty,04/16/1993,04/16/2000,,AbbVie Endocrine Inc.,1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,28688.0
Lidocaine patch 5%,Lidoderm Patch,10/24/1995,"For relief of allodynia (painful hypersensitivity), and chronic pain in postherpetic neuralgia.",Designated/Approved,,,,03/19/1999,03/19/2006,,"Teikoku Pharma USA, Inc.",745-D Camden Ave.,,Campbell,California,' 95008 ' ,United States,92395.0
lifileucel,Amtagvi,2015-09-06 00:00:00,Treatment of malignant melanoma Stages IIb to IV,Designated/Approved,,,"treatment of adult patients with unresectable or metastatic melanoma previously treated with a PD-1 blocking antibody, and if BRAF V600 mutation positive, a BRAF inhibitor with or without a MEK inhibitor",02/16/2024,02/16/2031,"treatment of adult patients with unresectable or metastatic melanoma previously treated with a PD-1 blocking antibody, and if BRAF V600 mutation positive, a BRAF inhibitor with or without a MEK inhibitor","Iovance Biotherapeutics, Inc.",825 Industrial Road,Suite 400,San Carlos,California,' 94070 ' ,United States,477215.0
liposomal amikacin,Arikayce,03/25/2013,Treatment of infections caused by non-tuberculous mycobacteria,Designated/Approved,,,Treatment of Mycobacterium avium complex (MAC) lung disease as part of a combination antibacterial drug regimen in patients who do not achieve negative sputum cultures after a minimum of 6 consecutive months of a multidrug background regimen therapy,09/28/2018,09/28/2025,Treatment of Mycobacterium avium complex (MAC) lung disease as part of a combination antibacterial drug regimen in patients who do not achieve negative sputum cultures after a minimum of 6 consecutive months of a multidrug background regimen therapy,Insmed Incorporated,10 Finderne Avenue,Building 10,Bridgewater,New Jersey,' 08807 ' ,United States,342011.0
lisocabtagene maraleucel,Breyanzi,2017-07-09 00:00:00,Treatment of follicular lymphoma (FL),Designated/Approved,,,"Treatment of adult patients with large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age. Limitations of Use: Breyanzi is not indicated for the treatment of patients with primary central nervous system (CNS) lymphoma.",06/24/2022,06/24/2029,"Treatment of adult patients with diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age (not including treatment of patients with primary central nervous system (CNS) lymphoma and excluding patients covered by the indication that received marketing approval on February 5, 2021 for Breyanzi)","Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Avenue N,,Seattle,Washington,' 98109 ' ,United States,600517.0
lisocabtagene maraleucel,Breyanzi,2016-04-10 00:00:00,Treatment of chronic lymphocytic leukemia,Designated/Approved,,,"treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) who have received at least 2 prior lines of therapy including, a Bruton tyrosine kinase (BTK) inhibitor and a B-cell lymphoma 2 (BCL-2) inhibitor",03/14/2024,03/14/2031,"treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) who have received at least 2 prior lines of therapy including, a Bruton tyrosine kinase (BTK) inhibitor and a B-cell lymphoma 2 (BCL-2) inhibitor","Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Avenue North,Suite 1200,Seattle,Washington,' 98109 ' ,United States,538816.0
lisocabtagene maraleucel,Breyanzi,2017-07-09 00:00:00,Treatment of follicular lymphoma (FL),Designated/Approved,,,treatment of adult patients with relapsed or refractory follicular lymphoma (FL) who have received 2 or more prior lines of systemic therapy,05/15/2024,05/15/2031,"treatment of adult patients with relapsed or refractory follicular lymphoma (FL) who have received 2 or more prior lines of systemic therapy, excluding patients with follicular lymphoma covered by the indications approved on February 5, 2021, and June 24, 2022","Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Avenue N,,Seattle,Washington,' 98109 ' ,United States,600517.0
lisocabtagene maraleucel,Breyanzi,2018-12-07 00:00:00,Treatment of primary mediastinal large B-cell lymphoma,Designated/Approved,,,"Treatment of adult patients with large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age. Limitations of Use: Breyanzi is not indicated for the treatment of patients with primary central nervous system (CNS) lymphoma.",06/24/2022,06/24/2029,"Treatment of adult patients with diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age (not including treatment of patients with primary central nervous system (CNS) lymphoma and excluding patients covered by the indication that received marketing approval on February 5, 2021 for Breyanzi)","Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Ave N,,Seattle,Washington,' 98109 ' ,United States,644018.0
lisocabtagene maraleucel,Breyanzi,04/27/2016,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B",2021-05-02 00:00:00,2028-05-02 00:00:00,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy; treatment of adult patients with relapsed or refractory primary mediastinal large B-cell lymphoma after two or more lines of systemic therapy; and treatment of adult patients with relapsed or refractory follicular lymphoma grade 3B after two or more lines of systemic therapy,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Avenue North,,Seattle,Washington,' 98109 ' ,United States,516115.0
lisocabtagene maraleucel,Breyanzi,2018-12-07 00:00:00,Treatment of primary mediastinal large B-cell lymphoma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B",2021-05-02 00:00:00,2028-05-02 00:00:00,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma) after two or more lines of systemic therapy; treatment of adult patients with relapsed or refractory primary mediastinal large B-cell lymphoma after two or more lines of systemic therapy; and treatment of adult patients with relapsed or refractory follicular lymphoma grade 3B after two or more lines of systemic therapy,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Ave N,,Seattle,Washington,' 98109 ' ,United States,644018.0
lisocabtagene maraleucel,Breyanzi,04/27/2016,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,"Treatment of adult patients with large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age. Limitations of Use: Breyanzi is not indicated for the treatment of patients with primary central nervous system (CNS) lymphoma.",06/24/2022,06/24/2029,"Treatment of adult patients with diffuse large B-cell lymphoma (DLBCL) , primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B who have refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy; or refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age (not including treatment of patients with primary central nervous system (CNS) lymphoma and excluding patients covered by the indication that received marketing approval on February 5, 2021 for Breyanzi)","Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Avenue North,,Seattle,Washington,' 98109 ' ,United States,516115.0
lisocabtagene maraleucel,Breyanzi,2020-01-04 00:00:00,Treatment of mantle cell lymphoma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least 2 prior lines of systemic therapy, including a Bruton tyrosine kinase (BTK) inhibitor",05/30/2024,05/30/2031,"treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least 2 prior lines of systemic therapy, including a Bruton tyrosine kinase (BTK) inhibitor","Juno Therapeutics, Inc.",400 Dexter Avenue N,400 Dexter Avenue N,Seattle,Washington,' 98109 ' ,United States,730920.0
lisocabtagene maraleucel,Breyanzi,2017-07-09 00:00:00,Treatment of follicular lymphoma (FL),Designated/Approved,,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B",2021-05-02 00:00:00,2028-05-02 00:00:00,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy; treatment of adult patients with relapsed or refractory primary mediastinal large B-cell lymphoma after two or more lines of systemic therapy; and treatment of adult patients with relapsed or refractory follicular lymphoma grade 3B after two or more lines of systemic therapy,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",400 Dexter Avenue N,,Seattle,Washington,' 98109 ' ,United States,600517.0
Lodoxamide tromethamine,Alomide Ophthalmic Solution,10/16/1991,Treatment of vernal keratoconjunctivitis.,Designated/Approved,,,"Treatment of ocular disorders referred to by the terms vernal keratoconjunctivitis, vernal conjunctivitis, vernal keratitis.",09/23/1993,09/23/2000,,"Alcon Laboratories, Inc.",6201 South Freeway,,Fort Worth,Texas,' 76134 ' ,United States,59791.0
Lorlatinib; lorlatinib,LORBRENA; Lorbrena,06/23/2015,Treatment of anaplastic lymphoma kinase (ALK)-positive or ROS1-positive non-small cell lung cancer,Designated/Approved,,,treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.,2021-03-03 00:00:00,2028-03-03 00:00:00,"Treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test, excluding patients whose disease has progressed on crizotinib and at least one other ALK inhibitor; or alectinib or ceritinib as the first ALK inhibitor therapy for metastatic disease.","Pfizer, Inc.",66 Hudson Boulevard East,,New York,New York,' 10001 ' ,United States,481015.0
Lorlatinib; lorlatinib,LORBRENA; Lorbrena,06/23/2015,Treatment of anaplastic lymphoma kinase (ALK)-positive or ROS1-positive non-small cell lung cancer,Designated/Approved,,,LORBRENA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease; or alectinib as the first ALK inhibitor therapy for metastatic disease; or ceritinib as the first ALK inhibitor therapy for metastatic disease.,2018-02-11 00:00:00,2025-02-11 00:00:00,LORBRENA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease; or alectinib as the first ALK inhibitor therapy for metastatic disease; or ceritinib as the first ALK inhibitor therapy for metastatic disease.,"Pfizer, Inc.",66 Hudson Boulevard East,,New York,New York,' 10001 ' ,United States,481015.0
lovotibeglogene autotemcel,Lyfgenia,02/26/2014,For the treatment of Sickle Cell Disease,Designated/Approved,,,treatment of patients 12 years of age or older with sickle cell disease and a history of vaso-occlusive events,2023-08-12 00:00:00,2030-08-12 00:00:00,treatment of patients 12 years of age or older with sickle cell disease and a history of vaso-occlusive events,bluebird bio Inc.,60 Binney Street,,Cambridge,Massachusetts,' 02142 ' ,United States,420413.0
lutetium Lu 177 dotatate,,2009-12-01 00:00:00,Treatment of gastro-entero-pancreatic neuroendocrine tumors,Designated/Approved,,,"Treatment of somatostatin receptor positive GEP-NETs including foregut, midgut, and hindgut neuroendocrine tumors in adults",01/26/2018,01/26/2025,"Treatment of somatostatin receptor positive GEP-NETs including foregut, midgut, and hindgut neuroendocrine tumors in adults",Advanced Accelerator Applications,57 East Willow Street,,Millburn,New Jersey,' 07041 ' ,United States,271008.0
macimorelin acetate,Macrelin,05/14/2007,Diagnosis of growth hormone deficiency,Designated/Approved,,,For the diagnosis of adult growth hormone deficiency,12/20/2017,12/20/2024,For the diagnosis of adult growth hormone deficiency.,Aeterna Zentaris GmbH,WeismilllerstraBe 50,,Frankfurt am Main,,' 60314 ' ,Germany,225506.0
Mafenide acetate solution,Sulfamylon solution,07/18/1990,For use as an adjunctive topical antimicrobial agent to control bacterial infection when used under moist dressings over meshed autografts on excised burn wounds.,Designated/Approved,,,,1998-05-06 00:00:00,2005-05-06 00:00:00,,"Mylan Laboratories, Inc.",781 Chestnut Ridge Road,P.O. Box 4310,Morgantown,West Virginia,' 26504 ' ,United States,47890.0
mebendazole,VERMOX 500 mg chewable tablets,2014-03-09 00:00:00,"Treatment of single or mixed gastrointestinal infestations by Trichuris trichiura (whipworm), Ascaris lumbricoides (large roundworm), and Ancylostoma duodenale and Nectar americanus (hookworm).",Designated/Approved,,,treatment of patients one year of age and older withgastrointestinal infections caused by Ascaris lumbricoides (roundworm) and Trichuris trichiura (whipworm),10/19/2016,,,"Janssen Pharmaceutical Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,' 08869 ' ,United States,397013.0
Melphalan,Alkeran For Injection,02/24/1992,Treatment of patients with multiple myeloma for whom oral therapy is inappropriate.,Designated/Approved,,,For the palliative treatment of patients with multiple myeloma for whom oral melphalan is not appropriate.,11/18/1992,11/18/1999,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,60991.0
melphalan flufenamide,Pepaxto,03/16/2015,"Treatment of plasma cell myeloma, also referred to as multiple myeloma",Designated/Approved,,,"Treatment, in combination with dexamethasone, of adult patients with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy and whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one CD-38 directed monoclonal antibody (Indication withdrawn)",02/26/2021,02/23/2024,"Treatment of adult patients with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy and whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one CD-38 directed monoclonal antibody (Indication withdrawn)",Oncopeptides AB,Vastra Tradgardsgatan 15,,Stockholm,,' ' ,Sweden,465314.0
Midodrine HCl,Amatine,06/21/1985,Treatment of patients with symptomatic orthostatic hypotension.,Designated/Approved,,,Treatment of symptomatic orthostatic hypotension.,1996-06-09 00:00:00,2003-06-09 00:00:00,,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,7585.0
Morphine sulfate concentrate (preservative free),Infumorph,1990-12-07 00:00:00,For use in microinfusion devices for intraspinal administration in the treatment of intractable chronic pain.,Designated/Approved,,,For intrathecal or epidural infusion in the treatment of tractable chronic pain. It was developed for use in continuous microinfusion devices and may require dilution before use as directed.,07/19/1991,07/19/1998,,"Elkins-Sinn, Inc.",2 Esterbrook Lane,,Cherry Hill,New Jersey,' 08003 ' ,United States,18587.0
moxidectin,,09/29/2010,Treatment of onchocerciasis volvulus in children and adults,Designated/Approved,,,treatment of onchocerciasis due to Onchocerca volvulus in adult and pediatric patients aged 4 years and older and weighing at least 13 kg,2025-07-02 00:00:00,,,Medicines Development for Global Health Limited,"Level 1, 18 Kevanagh Street",Southbank VIC 3006,Melbourne,,' ' ,Australia,316510.0
moxidectin,,09/29/2010,Treatment of onchocerciasis volvulus in children and adults,Designated/Approved,,,Moxidectin Tablets are indicated for the treatment of onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older,06/13/2018,06/13/2025,Moxidectin Tablets are indicated for the treatment of onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older,Medicines Development for Global Health Limited,"Level 1, 18 Kevanagh Street",Southbank VIC 3006,Melbourne,,' ' ,Australia,316510.0
multi-vitamin infusion without vitamin K,M.V.I.-12,2004-08-03 00:00:00,Prevention of vitamin deficiency and thromboembolic complications in people receiving home parenteral nutrition and warfarin-type anticoagulant therapy,Designated/Approved,,,Prevention of vitamin deficiency and thrombormbolic complications in people receiving home parenteral nutrition who also receive warfarin-type anticoagulant therapy,2004-09-09 00:00:00,2011-09-09 00:00:00,,Mayne Pharma (USA) Inc.,Mack-Cali Centre II,Second Floor,Paramus,New Jersey,' 07652 ' ,United States,182003.0
Nafarelin acetate,Synarel Nasal Solution,07/20/1988,Treatment of central precocious puberty.,Designated/Approved,,,Treatment of central precocious puberty (gonadotropin-dependent precocious puberty) in children of both sexes.,02/26/1992,02/26/1999,,"Syntex (USA), Inc.",3401 Hillview Avenue,,Palo Alto,California,' 94303 ' ,United States,29888.0
Naltrexone HCl,Trexan,1985-11-03 00:00:00,For blockade of the pharmacological effects of exogenously administered opioids as an adjunct to the maintenance of the opioid-free state in detoxified formerly opioid-dependent individuals.,Designated/Approved,,,,11/30/1984,11/30/1991,,DuPont Pharmaceuticals,E.I. Du Pont De Nemours & Co.,,Wilmington,Delaware,' 19880 ' ,United States,6085.0
necitumumab,,11/20/2015,Treatment of squamous non-small cell lung cancer,Designated/Approved,,,"Use in combination with gemcitabine and cisplatin, for first-line treatment of patients with metastatic, squamous, non-small cell lung cancer. Limitation of Use: PORTRAZZA is not indicated for treatment of non-squamous non-small cell lung cancer.",11/24/2015,11/24/2022,"Use in combination with gemcitabine and cisplatin, for first-line treatment of patients with metastatic, squamous, non-small cell lung cancer. PORTRAZZA is not indicated for treatment of non-squamous, non-small cell lung cancer",Eli Lilly and Company,33 ImClone Drive,,Branchburg,New Jersey,' 08876 ' ,United States,418213.0
Nitisinone; Nitisinone,Orfadin; Orfadin,05/16/1995,Treatment of tyrosinemia type 1.,Designated/Approved,,,Adjunctive therapy to dietary restriction of tyrosine and phenylalanine in the treatment of hereditary tyrosinemia type 1,01/18/2002,01/18/2009,,Swedish Orphan Biovitrum AB (publ),Tomtebodav䧥n 23A,,Stockholm,,' SE-11276 ' ,Sweden,89095.0
Nitisinone; Nitisinone,Orfadin; Orfadin,05/16/1995,Treatment of tyrosinemia type 1.,Designated/Approved,,,Treatment of hereditary tyrosinemia type 1 in combination with dietary restriction of tyrosine and phenylalanine.,04/22/2016,,,Swedish Orphan Biovitrum AB (publ),Tomtebodav䧥n 23A,,Stockholm,,' SE-11276 ' ,Sweden,89095.0
nitric oxide,,06/18/2012,Treatment of persistent pulmonary hypertension in newborns,Designated/Approved,,,GENOSYL is indicated to improve oxygenation and reduce the need for extracorporeal membrane oxygenation in term and near-term (>34 weeks gestation) neonates with hypoxic respiratory failure associated with clinical or echocardiographic evidence of pulmonary hypertension in conjunction with ventilatory support and other appropriate agents.,12/20/2019,,,VERO BIOTECH,"387 Technology Circle, Suite 125",,Atlanta,Georgia,' 30313 ' ,United States,368512.0
