Generic Name;Trade Name;Date Designated;Orphan Designation;Orphan Designation Status;Date Designation Withdrawn or Revoked;FDA Orphan Approval Status;Approved Labeled Indication;Marketing Approval Date;Exclusivity End Date;Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present);Sponsor Company;Sponsor Address 1;Sponsor Address 2;Sponsor City;Sponsor State;Sponsor Zip;Sponsor Country;CF Grid Key
sodium nitrite and sodium thiosulfate;Nithiodote;04.09.08;Treatment of known or suspected cyanide poisoning;Designated/Approved;;;For sequential use for the treatment of cyanide poisoning that is judged to be life-threatening;01/14/2011;01/14/2018;;Hope Pharmaceuticals;16416 North 92nd Street;Suite 125;Scottsdale;Arizona;' 85260 ' ;United States;244207
sodium oxybate;Lumryz;01.08.18;Treatment of narcolepsy;Designated/Approved;;;Treatment of cataplexy or excessive daytime sleepiness (EDS) in adults with narcolepsy;05.01.23;05.01.30;Treatment of cataplexy or excessive daytime sleepiness (EDS) in adults with narcolepsy;Flamel Ireland Limited dba Avadel Ireland;10 Earlsfort Terrace;;Dublin;Dublin;' ' ;Ireland;530216
sodium oxybate;Xyrem;11.07.94;Treatment of narcolepsy.;Designated/Approved;;;Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy.;10/26/2018;10/26/2025;Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in pediatric patients 7 years of age and older with narcolepsy.;Jazz Pharmaceuticals Ireland Limited;5th Floor Waterloo Exchange;Waterloo Road;Dublin 4;;' D04 E5W7 ' ;Ireland;85894
sodium oxybate;Xyrem;11.07.94;Treatment of narcolepsy.;Designated/Approved;;;Treatment of excessive daytime sleepiness in patients with narcolepsy;11/18/2005;11/18/2012;;Jazz Pharmaceuticals Ireland Limited;5th Floor Waterloo Exchange;Waterloo Road;Dublin 4;;' D04 E5W7 ' ;Ireland;85894
sodium oxybate;Xyrem;11.07.94;Treatment of narcolepsy.;Designated/Approved;;;Treatment of cataplexy associated with narcolepsy;07/17/2002;07/17/2009;;Jazz Pharmaceuticals Ireland Limited;5th Floor Waterloo Exchange;Waterloo Road;Dublin 4;;' D04 E5W7 ' ;Ireland;85894
sodium oxybate;Lumryz;01.08.18;Treatment of narcolepsy;Designated/Approved;;;treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy;10/16/2024;10/16/2031;treatment of cataplexy or excessive daytime sleepiness (EDS) in pediatric patients 7 years of age and older with narcolepsy;Flamel Ireland Limited dba Avadel Ireland;10 Earlsfort Terrace;;Dublin;Dublin;' ' ;Ireland;530216
sodium phenylbutyrate;Buphenyl;11/22/1993;Treatment of urea cycle disorders: carbamylphosphate synthetase deficiency, ornithine transcarbamylase deficiency, and arginiosuccinic acid synthetase deficiency.;Designated/Approved;;;Adjunctive therapy in the chronic managment of patients with urea cycle disorders involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase, or argininosuccinic acid synthetase.;04/30/1996;04/30/2003;;Medicis Pharmaceutical Corp.;8125 N. Hayden Road;;Scottsdale;Alaska;' 85258 ' ;United States;77893
sodium phenylbutyrate;Pheburane;06.06.13;Treatment of urea cycle disorders;Designated/Approved;;;As adjunctive therapy to standard of care, which includes dietary management, for the chronic management of adult and pediatric patients with urea cycle disorders (UCDs), involving deficiencies of carbamylphosphate synthetase (CPS), ornithine transcarbamylase (OTC) or argininosuccinic acid synthetase (AS);06/17/2022;;;Medunik Canada Inc;950 Boulevard Mich謥-Bohec;;Blainville;;' ' ;Canada;372112
sodium phenylbutyrate and taurursodiol;Relyvrio;07/27/2017;Treatment of amyotrophic lateral sclerosis (ALS);Designated/Approved;;;Treatment of amyotrophic lateral sclerosis (ALS) in adults;09/29/2022;09/29/2029;Treatment of amyotrophic lateral sclerosis (ALS) in adults;Amylyx Pharmaceuticals, Inc.;43 Thorndike St.;;Cambridge;Massachusetts;' 02141 ' ;United States;588117
sodium sulfate, potassium sulfate, and magnesium sulfate;SUPREP Bowel Prep Kit;10/31/2012;For cleansing of the colon in preparation for colonoscopic diagnosis of colonic disease in children and adolescents;Designated/Approved;;;for cleansing of the colon as a preparation for colonoscopy in adult and pediatric patients 12 years of age and older;08.05.20;08.05.27;for cleansing of the colon as a preparation for colonoscopy in pediatric patients 12 years of age and older.;Braintree Laboratories, Inc.;60 Columbian Street West;PO Box 850929;Braintree;Massachusetts;' 02185 ' ;United States;379212
sodium thiosulfate;Pedmark;03/17/2004;Prevention of platinum-induced ototoxicity in pediatric patients;Designated/Approved;;;To reduce the risk of ototoxicity associated with cisplatin in pediatric patients 1 month of age and older with localized, non-metastatic solid tumors;09/20/2022;09/20/2029;To reduce the risk of ototoxicity associated with cisplatin in pediatric patients 1 month of age and older with localized, non-metastatic solid tumors;Fennec Pharmaceuticals, Inc.;PO Box 13628;68 T.W. Alexander Drive;Research Triangle Park;North Carolina;' 27709 ' ;United States;177303
sofosbuvir;Sovaldi;10/25/2016;Treatment of pediatric chronic hepatitis C virus infection;Designated/Approved;;;SOVALDI is indicated for the treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 3 years of age and older without cirrhosis or with compensated cirrhosis for use in combination with ribavirin;08/28/2019;08/28/2026;For the treatment of chronic hepatitis C virus (HCV) genotype 2 or 3 infection in pediatric patients between 3 years of age and 12 years of age or weighing 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin.;Gilead Sciences, Inc.;333 Lakeside Drive;;Foster City;California;' 94404 ' ;United States;541716
sofosbuvir;Sovaldi;10/25/2016;Treatment of pediatric chronic hepatitis C virus infection;Designated/Approved;;;Treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 12 years of age and older or weighing at least 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin;04.07.17;04.07.24;Treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 12 years of age and older or weighing at least 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin;Gilead Sciences, Inc.;333 Lakeside Drive;;Foster City;California;' 94404 ' ;United States;541716
sofosbuvir;Sovaldi;10/25/2016;Treatment of pediatric chronic hepatitis C virus infection;Designated/Approved;;;SOVALDI is indicated for the treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 3 years of age and older without cirrhosis or with compensated cirrhosis for use in combination with ribavirin;08/28/2019;;;Gilead Sciences, Inc.;333 Lakeside Drive;;Foster City;California;' 94404 ' ;United States;541716
sofosbuvir and velpatasvir;Epclusa;02/22/2017;Treatment of pediatric chronic hepatitis C virus (HCV) infection;Designated/Approved;;;"EPCLUSA is indicated for the treatment of adults and pediatric patients 6 years of age and older or weighing at least 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin.";03/19/2020;03/19/2027;"For the treatment of pediatric patients 6 years of age and older or weighing at least 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin.";Gilead Sciences, Inc.;333 Lakeside Drive;;Foster City;California;' 94404 ' ;United States;554816
sofosbuvir and velpatasvir;Epclusa;02/22/2017;Treatment of pediatric chronic hepatitis C virus (HCV) infection;Designated/Approved;;;treatment of adults and pediatric patients 3 years of age and older with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, or with decompensated cirrhosis for use in combination with ribavirin;06.10.21;06.10.28;"treatment of pediatric patients 3 years of age to less than 6 years of age weighing less than 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin";Gilead Sciences, Inc.;333 Lakeside Drive;;Foster City;California;' 94404 ' ;United States;554816
Solriamfetol;Sunosi;08/20/2012;Treatment of narcolepsy;Designated/Approved;;;SUNOSI is indicated to improve wakefulness in adult patients with excessive daytime sleepiness associated with narcolepsy;06/17/2019;06/17/2026;To improve wakefulness in adult patients with excessive daytime sleepiness associated with narcolepsy;Axsome Malta, Ltd.;78 Mill Street, Zone 5, Central Business District;;Qormi;;' CBD 5090 ' ;Malta;375112
somapacitan-beco;Sogroya;07.10.87;1. Treatment of growth failure in children due to inadequate growth hormone secretion 2. Treatment of short stature associated with Turner's syndrome;Designated/Approved;;;Treatment of pediatric patients aged 2.5 years and older who have growth failure due to inadequate secretion of endogenous growth hormone (GH);04/28/2023;;;Novo Nordisk Pharmaceuticals;100 Overlook Center;Suite 200;Princeton;New Jersey;' 08540 ' ;United States;13386
Somatrem for injection;Protropin;12.09.85;1. Long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion (prevalence 15,000) 2. Treatment of short stature associated with Turner's syndrome (prevalence 8000).;Designated/Approved/Designation Withdrawn or Revoked;09.09.24;;;10/17/1985;10/17/1992;;Genentech, Inc.;460 Point San Bruno Boulevard;;South San Francisco;California;' 94080 ' ;United States;10785
somatrogon-ghla;Ngenla;09/29/2010;Treatment of growth hormone deficiency;Designated/Approved;;;treatment of pediatric patients aged 3 years and older who have growth failure due to an inadequate secretion of endogenous growth hormone;06/27/2023;06/27/2030;treatment of pediatric patients aged 3 years and older who have growth failure due to an inadequate secretion of endogenous growth hormone;Pfizer Ireland Pharmaceuticals;Operations Support Group Building;;Ringaskiddy;Co. Cork;' ' ;Ireland;313410
Somatropin;Nutropin;03.06.87;For use in the long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion.;Designated/Approved;;;;10/17/1985;10/17/1992;;Genentech, Inc.;460 Point San Bruno Boulevard;;South San Francisco;California;' 94080 ' ;United States;12586
Somatropin;Humatrope;05.08.90;Treatment of short stature associated with Turner syndrome.;Designated/Approved;;;Treatment of short stature associated with Turner syndrome in patients whose epiphyses are not closed.;12/30/1996;12/30/2003;;Eli Lilly and Company;Lilly Corporate Center;;Indianapolis;Indiana;' 46285 ' ;United States;45090
Somatropin;Norditropin;08.09.06;Treatment of short stature in patients with Noonan syndrome;Designated/Approved;;;Treatment of short stature in patients with Noonan syndrome;05/31/2007;05/31/2014;;Novo Nordisk Inc.;100 College Road West;;Princeton;New Jersey;' 08540 ' ;United States;226606
Somatropin;Genotropin;09.06.94;Treatment of adults with growth hormone deficiency.;Designated/Approved;;;;10/31/1997;10/31/2004;;Pharmacia & Upjohn;7000 Portage Road;;Kalamazoo;Michigan;' 49001 ' ;United States;83594
Somatropin;Humatrope;12/15/2005;Treatment of short stature in pediatric patients with short stature homeobox-containing gene (SHOX) deficiency;Designated/Approved;;;Treatment of short stature or growth failure in children with SHOX (short stature homeobox-containing gene) deficiency whose epiphyses are not closed;11.01.06;11.01.13;;Eli Lilly and Company;Lilly Corporate Center;;Indianapolis;Indiana;' 46285 ' ;United States;211205
Somatropin (r-DNA);Zorbtive;03.06.95;For use alone or in combination with glutamine in the treatment of short bowel syndrome.;Designated/Approved;;;Treatment of short bowel syndrome in patients receiving specialized nutritional support;12.01.03;12.01.10;;EMD Serono, Inc.;One Technology Place;;Rockland;Massachusetts;' 02370 ' ;United States;80394
Somatropin (rDNA origin);Nutropin Depot;10/28/1999;Long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion.;Designated/Approved;;;Long-term treatment of growth failure due to a lack of adequate endogenous growth hormone secetion for once- or twice-a-month administration.;12/22/1999;;;Genentech, Inc.;1 DNA Way;;South San Francisco;California;' 94080 ' ;United States;115098
Somatropin (rDNA origin);Saizen;03.06.87;Treatment of idiopathic or organic growth hormone deficiency in children with growth failure.;Designated/Approved;;;Long term treatment of children with growth failure due to inadequate secretion of endogenous growth hormone.;10.08.96;;;EMD Serono, Inc.;One Technology Place;;Rockland;Massachusetts;' 02370 ' ;United States;15486
Somatropin (rDNA origin) injection;Norditropin;07.10.87;1. Treatment of growth failure in children due to inadequate growth hormone secretion 2. Treatment of short stature associated with Turner's syndrome;Designated/Approved;;;Long-term treatment of children who have growth failure due to inadequate secretion of endogenous growth hormone.;06/20/2000;;;Novo Nordisk Pharmaceuticals;100 Overlook Center;Suite 200;Princeton;New Jersey;' 08540 ' ;United States;13386
Somatropin for injection;Nutropin;03/23/1989;Treatment of short stature associated with Turner's syndrome.;Designated/Approved;;;Treatment of growth failure associated with Turner syndrome.;12/30/1996;12/30/2003;;Genentech, Inc.;460 Point San Bruno Boulevard;;South San Francisco;California;' 94080 ' ;United States;12686
Somatropin for injection;Serostim;11/15/1991;Treatment of AIDS-associated catabolism/weight loss.;Designated/Approved;;;Treatment of AIDS wasting or cachexia.;08/23/1996;08/23/2003;;EMD Serono, Inc.;One Technology Place;;Rockland;Massachusetts;' 02370 ' ;United States;60491
Somatropin for injection;Nutropin;11/18/1996;As replacement therapy for growth hormone deficiency in adults after epiphyseal closure.;Designated/Approved;;;;12/15/1997;12/15/2004;;Genentech, Inc.;460 Point San Bruno Boulevard;;South San Francisco;California;' 94080 ' ;United States;100396
Somatropin for injection;Nutropin;08.04.89;Treatment of growth retardation associated with chronic renal failure.;Designated/Approved;;;Treatment of children with growth failure associated with chronic renal insufficency.;11/17/1993;11/17/2000;;Genentech, Inc.;460 Point San Bruno Boulevard;;South San Francisco;California;' 94080 ' ;United States;34989
Somatropin for injection;Humatrope;06.12.86;For the long-term treatment of children who have growth failure due to inadequate secretion of normal endogenous growth hormone.;Designated/Approved;;;;03.08.87;03.08.94;;Eli Lilly and Company;Lilly Corporate Center;;Indianapolis;Indiana;' 46285 ' ;United States;11285
