,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
7149,ANDA078020,VALSARTAN AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,TABLET,ORAL,Approved,21.09.2012,2012.0,authorised,yes,No,Mylan,Small molecule,Diseases of the circulatory system,<Hypertension>,<Hypertension>,,,,"1 INDICATIONS AND USAGE Valsartan and hydrochlorothiazide tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes, including hydrochlorothiazide and the angiotensin II receptor blocker (ARB) class to which valsartan principally belongs. There are no controlled trials demonstrating risk reduction with valsartan and hydrochlorothiazide tablets. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than 1 drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality have also been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (e.g., patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. Add-On Therapy: Valsartan and hydrochlorothiazide tablets may be used in patients whose blood pressure is not adequately controlled on monotherapy. Replacement Therapy: Valsartan and hydrochlorothiazide tablets may be substituted for the titrated components. Initial Therapy: Valsartan and hydrochlorothiazide tablets may be used as initial therapy in patients who are likely to need multiple drugs to achieve blood pressure goals. The choice of valsartan and hydrochlorothiazide tablets as initial therapy for hypertension should be based on an assessment of potential benefits and risks. Patients with stage 2 hypertension are at a relatively high risk for cardiovascular events (such as strokes, heart attacks, and heart failure), kidney failure, and vision problems, so prompt treatment is clinically relevant. The decision to use a combination as initial therapy should be individualized and should be shaped by considerations such as baseline blood pressure, the target goal, and the incremental likelihood of achieving goal with a combination compared to monotherapy. Individual blood pressure goals may vary based upon the patient’s risk. Data from the high dose multifactorial trial [see Clinical Studies (14.1) ] provides estimates of the probability of reaching a target blood pressure with valsartan and hydrochlorothiazide tablets compared to valsartan or hydrochlorothiazide monotherapy. The figures below provide estimates of the likelihood of achieving systolic or diastolic blood pressure control with valsartan and hydrochlorothiazide tablets 320/25 mg, based upon baseline systolic or diastolic blood pressure. The curve of each treatment group was estimated by logistic regression modeling. The estimated likelihood at the right tail of each curve is less reliable due to small numbers of subjects with high baseline blood pressures. For example, a patient with a baseline blood pressure of 160/100 mmHg has about a 41% likelihood of achieving a goal of < 140 mmHg (systolic) and 60% likelihood of achieving < 90 mmHg (diastolic) on valsartan alone and the likelihood of achieving these goals on HCTZ alone is about 50% (systolic) or 57% (diastolic). The likelihood of achieving these goals on valsartan and hydrochlorothiazide tablets rises to about 84% (systolic) or 80% (diastolic). The likelihood of achieving these goals on placebo is about 23% (systolic) or 36% (diastolic). Valsartan and hydrochlorothiazide tablets are the combination tablet of valsartan, an angiotensin II receptor blocker (ARB) and hydrochlorothiazide (HCTZ), a diuretic. Valsartan and hydrochlorothiazide tablets are indicated for the treatment of hypertension, to lower blood pressure: In patients not adequately controlled with monotherapy ( 1 ) As initial therapy in patients likely to need multiple drugs to achieve their blood pressure goals ( 1 ) Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. Figure 1: Probability of Achieving Systolic Blood Pressure less than 140 mmHg at Week 8 Figure 2: Probability of Achieving Diastolic Blood Pressure less than 90 mmHg at Week 8 Figure 3: Probability of Achieving Systolic Blood Pressure less than 130 mmHg at Week 8 Figure 4: Probability of Achieving Diastolic Blood Pressure less than 80 mmHg at Week 8",,,,No,FDA
7150,ANDA078021,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,AUROBINDO PHARMA,TABLET,ORAL,Approved,17.07.2007,2007.0,authorised,yes,No,Aurobindo,Small molecule,,,,,,,,,,,No,FDA
7151,ANDA078022,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,EXTROVIS,capsule,ORAL,Approved,15.02.2007,2007.0,Discontinued,yes,No,Extrovis,Small molecule,,,,,,,,,,,No,FDA
7152,ANDA078023,ROSIGLITAZONE,ROSIGLITAZONE MALEATE,WATSON LABS,TABLET,ORAL,conditional marketing authorisation,31.01.2007,2007.0,None (conditional marketing authorisation),yes,No,Watson,Small molecule,,,,,,,,,,,No,FDA
7153,ANDA078024,CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,CIPROFLOXACIN,BAXTER HLTHCARE CORP,INJECTABLE,INJECTION,Approved,18.03.2008,2008.0,Discontinued,yes,No,Baxter,Small molecule,,,,,,,,,,,No,FDA
7154,ANDA078026,PAROXETINE HYDROCHLORIDE,PAROXETINE HYDROCHLORIDE,ROXANE,TABLET,ORAL,Approved,29.06.2007,2007.0,Discontinued,yes,No,Roxane,Small molecule,,,,,,,,,,,No,FDA
7155,ANDA078027,ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,TEVA PHARMS USA,TABLET,ORAL,Approved,07.07.2015,2015.0,authorised,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
7156,ANDA078030,STAVUDINE,STAVUDINE,CIPLA LTD,solution,ORAL,Approved,20.03.2009,2009.0,Discontinued,yes,No,CIPLA,Small molecule,,,,,,,,,,,No,FDA
7157,ANDA078031,DICLOFENAC SODIUM,DICLOFENAC SODIUM,SANDOZ,solution; drops,OPHTHALMIC,Approved,06.02.2008,2008.0,authorised,yes,No,Sandoz,Small molecule,,,,,,,,,,,No,FDA
7158,ANDA078032,ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,PRINSTON INC,TABLET,ORAL,Approved,28.08.2015,2015.0,authorised,yes,No,PRINSTON,Small molecule,,,,,,,,,,,No,FDA
7159,ANDA078033,OXANDROLONE,OXANDROLONE,UPSHER SMITH LABS,TABLET,ORAL,Approved,22.03.2007,2007.0,Discontinued,yes,No,Upsher Smith,Small molecule,,,,,,,,,,,No,FDA
