,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
7112,ANDA077973,BICALUTAMIDE,BICALUTAMIDE,SYNTHON PHARMS,TABLET,ORAL,Approved,06.07.2009,2009.0,Discontinued,yes,No,SYNTHON,Small molecule,,,,,,,,,,,No,FDA
7113,ANDA077974,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,SUN PHARM INDS LTD,TABLET,ORAL,Approved,09.07.2007,2007.0,Discontinued,yes,No,SUN,Small molecule,,,,,,,,,,,No,FDA
7114,ANDA077975,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,SUN PHARM INDUSTRIES,tablet,ORAL,Approved,11.12.2009,2009.0,Discontinued,yes,No,SUN,Small molecule,,,,,,,,,,,No,FDA
7115,ANDA077976,CROMOLYN SODIUM,CROMOLYN SODIUM,HH AND P,spray,NASAL,Approved,07.09.2007,2007.0,Discontinued,yes,No,HH AND P,Small molecule,,,,,,,,,,,No,FDA
7116,ANDA077977,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,SUN PHARM INDS LTD,TABLET,ORAL,Approved,06.02.2007,2007.0,Discontinued,yes,No,SUN,Small molecule,,,,,,,,,,,No,FDA
7117,ANDA077979,ALPRAZOLAM,ALPRAZOLAM,ANI PHARMS,tablet,ORAL,Approved,28.02.2007,2007.0,Discontinued,yes,No,ANI,Small molecule,,,,,,,,,,,No,FDA
7118,ANDA077980,LAMIVUDINE,LAMIVUDINE,CIPLA LIMITED,SOLUTION,ORAL,conditional marketing authorisation,22.06.2006,2006.0,None (conditional marketing authorisation),yes,No,Cipla,Small molecule,,,,,,,,,,,No,FDA
7119,ANDA077981,ZIDOVUDINE,ZIDOVUDINE,CIPLA LTD,SOLUTION,ORAL,Approved,26.06.2008,2008.0,authorised,yes,No,CIPLA,Small molecule,,,,,,,,,,,No,FDA
7120,ANDA077982,ALENDRONATE SODIUM,ALENDRONATE SODIUM,APOTEX,TABLET,ORAL,Approved,04.08.2008,2008.0,Discontinued,yes,No,Apotex,Small molecule,,,,,,,,,,,No,FDA
7121,ANDA077983,GEMCITABINE HYDROCHLORIDE,GEMCITABINE HYDROCHLORIDE,TEVA PHARMS,INJECTABLE,INJECTION,Approved,25.01.2011,2011.0,Discontinued,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
7122,ANDA077985,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,SENORES PHARMS,TABLET,ORAL,Approved,23.04.2007,2007.0,Discontinued,yes,No,SENORES,Small molecule,,,,,,,,,,,No,FDA
7123,ANDA077987,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,GLENMARK PHARMS LTD,TABLET,ORAL,Approved,11.05.2007,2007.0,authorised,yes,No,Glenmark,Small molecule,"Diseases of the circulatory system; Endocrine, nutritional, and metabolic diseases",<Coronary Disease>; <Primary Hyperlipidemia>; <Heterozygous Familial Hypercholesterolemia>; <Dysbetalipoproteinemia>; <Hypertriglyceridemia>,<Coronary Disease>; <Primary Hyperlipidemia>; <Heterozygous Familial Hypercholesterolemia>; <Dysbetalipoproteinemia>; <Hypertriglyceridemia>,,,,"1 INDICATIONS AND USAGE Pravastatin sodium tablets are indicated: To reduce the risk of myocardial infarction, myocardial revascularization procedures, and cardiovascular mortality in adults with elevated low-density lipoprotein cholesterol (LDL-C) without clinically evident coronary heart disease (CHD). To reduce the risk of coronary death, myocardial infarction, myocardial revascularization procedures, stroke or transient ischemic attack, and slow the progression of coronary atherosclerosis in adults with clinically evident CHD. As an adjunct to diet to reduce LDL-C in adults with primary hyperlipidemia. As an adjunct to diet to reduce LDL-C in pediatric patients ages 8 years and older with heterozygous familial hypercholesterolemia (HeFH). As an adjunct to diet for the treatment of adults with: Primary dysbetalipoproteinemia. Hypertriglyceridemia. Pravastatin sodium tablets are an HMG-CoA reductase inhibitor (statin) indicated ( 1 ): To reduce the risk of myocardial infarction, myocardial revascularization procedures, and cardiovascular mortality in adults with elevated low-density lipoprotein cholesterol (LDL-C) without clinically evident coronary heart disease (CHD). To reduce the risk of coronary death, myocardial infarction, myocardial revascularization procedures, stroke or transient ischemic attack, and slow the progression of coronary atherosclerosis in adults with clinically evident CHD. As an adjunct to diet to reduce LDL-C in adults with primary hyperlipidemia. As an adjunct to diet to reduce LDL-C in pediatric patients ages 8 years and older with heterozygous familial hypercholesterolemia (HeFH). As an adjunct to diet for the treatment of adults with: Primary dysbetalipoproteinemia. Hypertriglyceridemia.",,,,No,FDA
7124,ANDA077988,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,FLUCONAZOLE,WOODWARD,INJECTABLE,INJECTION,Approved,26.05.2010,2010.0,Discontinued,yes,No,Woodward,Small molecule,,,,,,,,,,,No,FDA
7125,ANDA077989,FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,HIKMA,INJECTABLE,INJECTION,Approved,06.08.2007,2007.0,authorised,yes,No,Hikma,Small molecule,,,,,,,,,,,No,FDA
7126,ANDA077990,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,YUNG SHIN PHARM,TABLET,ORAL,Approved,23.04.2007,2007.0,Discontinued,yes,No,Yung Shin,Small molecule,,,,,,,,,,,No,FDA
7127,ANDA077991,CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,PLD ACQUISITIONS,tablet,ORAL,Approved,05.03.2008,2008.0,authorised,yes,No,Not Reported,Small molecule,,,,,,,,,,,No,FDA
7128,ANDA077992,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,ENDO OPERATIONS,SYRUP,ORAL,Approved,12.12.2006,2006.0,Discontinued,yes,No,Endo,Small molecule,,,,,,,,,,,No,FDA
7129,ANDA077993,OLANZAPINE,OLANZAPINE,ROXANE,TABLET,ORAL,conditional marketing authorisation,29.09.2006,2006.0,None (conditional marketing authorisation),yes,No,Roxane,Small molecule,,,,,,,,,,,No,FDA
7130,ANDA077994,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,SANDOZ,INJECTABLE,INJECTION,Approved,27.02.2008,2008.0,Discontinued,yes,No,Sandoz,Small molecule,,,,,,,,,,,No,FDA
7131,ANDA077995,BICALUTAMIDE,BICALUTAMIDE,KUDCO IRELAND,TABLET,ORAL,Approved,06.07.2009,2009.0,Discontinued,yes,No,Not Reported,Small molecule,,,,,,,,,,,No,FDA
7132,ANDA077996,ALPRAZOLAM,ALPRAZOLAM,IMPAX LABS INC,tablet,ORAL,Approved,31.01.2007,2007.0,Discontinued,yes,No,Impax,Small molecule,,,,,,,,,,,No,FDA
7133,ANDA077997,CAFFEINE CITRATE,CAFFEINE CITRATE,FRESENIUS KABI USA,SOLUTION,INTRAVENOUS,Approved,20.07.2007,2007.0,authorised,yes,No,Fresenius,Small molecule,,,,,,,,,,,No,FDA
7134,ANDA077998,CARBOPLATIN,CARBOPLATIN,NORVIUM BIOSCIENCE,INJECTABLE,INTRAVENOUS,Approved,24.04.2007,2007.0,Discontinued,yes,No,Norvium,Small molecule,,,,,,,,,,,No,FDA
7135,ANDA077999,FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,PLD ACQUISITIONS LLC,tablet,ORAL,conditional marketing authorisation,25.02.2010,2010.0,None (conditional marketing authorisation),yes,No,Not Reported,Small molecule,,,,,,,,,,,No,FDA
7136,ANDA078002,CAFFEINE CITRATE,CAFFEINE CITRATE,FRESENIUS KABI USA,SOLUTION,ORAL,Approved,31.01.2008,2008.0,authorised,yes,No,Fresenius,Small molecule,,,,,,,,,,,No,FDA
7137,ANDA078003,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,IVAX SUB TEVA PHARMS,capsule; pellet,ORAL,Approved,26.01.2015,2015.0,Discontinued,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
7138,ANDA078004,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,ACME LABS,TABLET,ORAL,Approved,17.05.2012,2012.0,authorised,yes,No,ACME,Small molecule,,,,,,,,,,,No,FDA
7139,ANDA078005,OXCARBAZEPINE,OXCARBAZEPINE,ANI PHARMS,TABLET,ORAL,Approved,11.12.2007,2007.0,authorised,yes,No,ANI,Small molecule,Diseases of the nervous system,<Seizures>,<Seizures>,,,,"1 INDICATIONS & USAGE Oxcarbazepine Tablets are indicated for use as monotherapy or adjunctive therapy in the treatment of partial-onset seizures in adults and as monotherapy in the treatment of partial-onset seizures in pediatric patients aged 4 years and above, and as adjunctive therapy in pediatric patients aged 2 years and above with partial-onset seizures. Oxcarbazepine Tablets are indicated for: Adults: Monotherapy or adjunctive therapy in the treatment of partial-onset seizures Pediatrics Monotherapy in the treatment of partial-onset seizures in children 4 to 16 years Adjunctive therapy in the treatment of partial-onset seizures in children 2 to 16 years (1)",,,,No,FDA
7140,ANDA078007,TORSEMIDE,TORSEMIDE,HIKMA,SOLUTION,INTRAVENOUS,Approved,11.06.2008,2008.0,Discontinued,yes,No,Hikma,Small molecule,,,,,,,,,,,No,FDA
7141,ANDA078008,MELOXICAM,MELOXICAM,AUROBINDO PHARMA,TABLET,ORAL,Approved,02.10.2006,2006.0,authorised,yes,No,Aurobindo,Small molecule,,,,,,,,,,,No,FDA
7142,ANDA078009,LAMOTRIGINE,LAMOTRIGINE,ZYDUS PHARMS USA INC,TABLET; suspension,ORAL,Approved,22.01.2009,2009.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
7143,ANDA078010,FUROSEMIDE,FUROSEMIDE,IPCA LABS LTD,TABLET,ORAL,Approved,18.09.2006,2006.0,authorised,yes,No,IPCA,Small molecule,Diseases of the circulatory system; Diseases of the digestive system; Diseases of the genitourinary system,<Edema>; <Heart Failure>; <Liver Cirrhosis>; <Kidney Diseases>; <Nephrotic Syndrome>; <Hypertension>,<Edema>; <Heart Failure>; <Liver Cirrhosis>; <Kidney Diseases>; <Nephrotic Syndrome>; <Hypertension>,,,,"INDICATIONS AND USAGE Edema Furosemide tablets are indicated in adults and pediatric patients for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome. Furosemide is particularly useful when an agent with greater diuretic potential is desired. Hypertension Furosemide tablets may be used in adults for the treatment of hypertension alone or in combination with other antihypertensive agents. Hypertensive patients who cannot be adequately controlled with thiazides will probably also not be adequately controlled with furosemide alone.",,,,No,FDA
7144,ANDA078011,VINORELBINE TARTRATE,VINORELBINE TARTRATE,ACTAVIS TOTOWA,INJECTABLE,INJECTION,Approved,22.07.2009,2009.0,authorised,yes,No,Actavis,Small molecule,,,,,,,,,,,No,FDA
7145,ANDA078012,GEMFIBROZIL,GEMFIBROZIL,EPIC PHARMA LLC,TABLET,ORAL,Approved,26.03.2007,2007.0,authorised,yes,No,EPIC,Small molecule,,,,,,,,,,,No,FDA
7146,ANDA078014,ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE,ONDANSETRON HYDROCHLORIDE,TARO PHARMS IRELAND,INJECTABLE,INJECTION,Approved,21.03.2008,2008.0,Discontinued,yes,No,Taro,Small molecule,,,,,,,,,,,No,FDA
7147,ANDA078015,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,SANDOZ,CAPSULE,ORAL,Approved,27.04.2010,2010.0,authorised,yes,No,Sandoz,Small molecule,Diseases of the genitourinary system,<Prostatic Hyperplasia>,<Prostatic Hyperplasia>,,,,"1 INDICATIONS AND USAGE Tamsulosin hydrochloride capsules, USP are indicated for the treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) [see Clinical Studies ( 14 ) ]. Tamsulosin hydrochloride capsules, USP are not indicated for the treatment of hypertension. • Tamsulosin hydrochloride capsule, USP is an alpha 1 adrenoceptor antagonist indicated for treatment of the signs and symptoms of benign prostatic hyperplasia ( 1 ) • Tamsulosin hydrochloride capsules, USP are not indicated for the treatment of hypertension ( 1 )",,,,No,FDA
7148,ANDA078016,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,MYLAN PHARMS INC,TABLET,ORAL,conditional marketing authorisation,30.10.2006,2006.0,Discontinued,yes,No,Mylan,Small molecule,,,,,,,,,,,No,FDA
