Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form
ORAL,MARKETED,65751,APPROVED,11.04.2000,2000,RIVA-CLONAZEPAM,LABORATOIRE RIVA INC.,Riva,02242077,CLONAZEPAM,Small molecule,TABLET
ORAL,MARKETED,65752,APPROVED,11.04.2000,2000,RIVA-CLONAZEPAM,LABORATOIRE RIVA INC.,Riva,02242078,CLONAZEPAM,Small molecule,TABLET
ORAL,MARKETED,65753,APPROVED,04.04.2000,2000,RIVA-CYCLOBENZAPRINE,LABORATOIRE RIVA INC.,Riva,02242079,CYCLOBENZAPRINE HYDROCHLORIDE,Small molecule,TABLET
OPHTHALMIC,MARKETED,65756,MARKETED,01.06.2002,2002,PRESERVATIVE-FREE THERA TEARS LUBRICANT EYE DROPS,MEDTECH PRODUCTS INC,MEDTECH,02242082,CARBOXYMETHYLCELLULOSE SODIUM,Other,DROPS
ORAL,MARKETED,65768,APPROVED,11.04.2000,2000,RIVA-ATENOLOL,LABORATOIRE RIVA INC.,Riva,02242093,ATENOLOL,Small molecule,TABLET
ORAL,MARKETED,65769,APPROVED,11.04.2000,2000,RIVA-ATENOLOL,LABORATOIRE RIVA INC.,Riva,02242094,ATENOLOL,Small molecule,TABLET
ORAL,MARKETED,65791,APPROVED,13.04.2000,2000,EXELON,KNIGHT THERAPEUTICS INC.,Knight,02242115,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE
ORAL,MARKETED,65792,APPROVED,13.04.2000,2000,EXELON,KNIGHT THERAPEUTICS INC.,Knight,02242116,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE
ORAL,MARKETED,65793,APPROVED,13.04.2000,2000,EXELON,KNIGHT THERAPEUTICS INC.,Knight,02242117,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE
ORAL,MARKETED,65794,APPROVED,13.04.2000,2000,EXELON,KNIGHT THERAPEUTICS INC.,Knight,02242118,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),Small molecule,CAPSULE
INTRAVASCULAR,MARKETED,65799,APPROVED,19.04.2000,2000,ISOVUE MULTIPACK-370,BRACCO IMAGING CANADA,Bracco,02242121,IOPAMIDOL,Small molecule,LIQUID
INTRAVASCULAR,MARKETED,65800,APPROVED,19.04.2000,2000,ISOVUE MULTIPACK-300,BRACCO IMAGING CANADA,Bracco,02242122,IOPAMIDOL,Small molecule,LIQUID
ORAL,MARKETED,65823,APPROVED,09.05.2000,2000,CELLCEPT,HOFFMANN-LA ROCHE LIMITED,Roche,02242145,MYCOPHENOLATE MOFETIL,Small molecule,POWDER FOR SUSPENSION
RECTAL,MARKETED,65824,APPROVED,03.05.2000,2000,SALOFALK,ABBVIE CORPORATION,AbbVie,02242146,MESALAZINE,Small molecule,SUPPOSITORY
ORAL,MARKETED,65828,APPROVED,20.04.2000,2000,RIVA-BACLOFEN,LABORATOIRE RIVA INC.,Riva,02242150,BACLOFEN,Small molecule,TABLET
ORAL,MARKETED,65829,APPROVED,20.04.2000,2000,RIVA-BACLOFEN,LABORATOIRE RIVA INC.,Riva,02242151,BACLOFEN,Small molecule,TABLET
ORAL,MARKETED,65841,APPROVED,03.05.2000,2000,KADIAN,BGP PHARMA ULC,BGP,02242163,MORPHINE SULFATE,Small molecule,CAPSULE (SUSTAINED-RELEASE)
ORAL,MARKETED,65897,APPROVED,11.05.2000,2000,SUDAFED SINUS ADVANCE,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,Johnson & Johnson,02242217,IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,Small molecule,TABLET
TOPICAL,MARKETED,65907,MARKETED,01.06.2002,2002,DORMER 211 SPF 30,DORMER LABORATORIES INC.,Dormer,02242226,TITANIUM DIOXIDE; OXYBENZONE; AVOBENZONE; OCTINOXATE; OCTISALATE,Other,CREAM
OPHTHALMIC,MARKETED,65975,APPROVED,13.06.2000,2000,TIMOLOL MALEATE-EX,SANDOZ CANADA INCORPORATED,Sandoz,02242275,TIMOLOL (TIMOLOL MALEATE),Small molecule,SOLUTION (EXTENDED RELEASE)
OPHTHALMIC,MARKETED,65976,APPROVED,13.06.2000,2000,TIMOLOL MALEATE-EX,SANDOZ CANADA INCORPORATED,Sandoz,02242276,TIMOLOL (TIMOLOL MALEATE),Small molecule,SOLUTION (EXTENDED RELEASE)
ORAL,MARKETED,65982,APPROVED,19.05.2000,2000,ENTROPHEN,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,02242281,ACETYLSALICYLIC ACID,Small molecule,TABLET (DELAYED-RELEASE)
ORAL,MARKETED,66031,MARKETED,01.06.2001,2001,PMS-DIGOXIN,PHARMASCIENCE INC,Pharmascience,02242320,DIGOXIN,Small molecule,SOLUTION
OPHTHALMIC,MARKETED,66035,APPROVED,29.05.2000,2000,ZADITOR,LABORATOIRES THEA,Thea,02242324,KETOTIFEN (KETOTIFEN FUMARATE),Small molecule,SOLUTION
INTRAVENOUS,MARKETED,66036,APPROVED,12.06.2000,2000,AMIODARONE HYDROCHLORIDE FOR INJECTION,SANDOZ CANADA INCORPORATED,Sandoz,02242325,AMIODARONE HYDROCHLORIDE,Small molecule,SOLUTION
ORAL,MARKETED,66076,APPROVED,13.06.2000,2000,CHILDREN'S MOTRIN,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,Johnson & Johnson,02242365,IBUPROFEN,Small molecule,SUSPENSION
INTRAVENOUS,MARKETED,66078,APPROVED,31.05.2000,2000,VISUDYNE,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM,02242367,VERTEPORFIN,Small molecule,POWDER FOR SOLUTION
OPHTHALMIC,MARKETED,66081,MARKETED,01.12.2004,2004,SOOTHE DRY EYES,BAUSCH & LOMB INC,Bausch & Lomb,02242370,PROPYLENE GLYCOL; GLYCERINE,Small molecule,SOLUTION
ORAL,MARKETED,66187,APPROVED,11.07.2000,2000,LOSEC MUPS,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM,02242462,OMEPRAZOLE (OMEPRAZOLE MAGNESIUM),Small molecule,TABLET (DELAYED-RELEASE)
ORAL,MARKETED,66188,MARKETED,30.06.2000,2000,MYLAN-ACYCLOVIR,MYLAN PHARMACEUTICALS ULC,Mylan,02242463,ACYCLOVIR,Small molecule,TABLET
ORAL,MARKETED,66189,MARKETED,30.06.2000,2000,MYLAN-ACYCLOVIR,MYLAN PHARMACEUTICALS ULC,Mylan,02242464,ACYCLOVIR,Small molecule,TABLET
NASAL,MARKETED,66190,APPROVED,18.07.2000,2000,DESMOPRESSIN SPRAY,AA PHARMA INC,AA,02242465,DESMOPRESSIN ACETATE,Peptides and proteins,"SPRAY, METERED DOSE"
ORAL,MARKETED,66193,MARKETED,12.12.2001,2001,RIVACOCET,LABORATOIRE RIVA INC.,Riva,02242468,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,Small molecule,TABLET
INTRAVENOUS,MARKETED,66196,APPROVED,14.07.2000,2000,CORVERT,PFIZER CANADA ULC,Pfizer,02242470,IBUTILIDE FUMARATE,Small molecule,SOLUTION
ORAL,MARKETED,66198,MARKETED,30.06.2000,2000,DOSTINEX,PFIZER CANADA ULC,Pfizer,02242471,CABERGOLINE,Small molecule,TABLET
ORAL,MARKETED,66199,APPROVED,07.07.2000,2000,PMS-AMIODARONE,PHARMASCIENCE INC,Pharmascience,02242472,AMIODARONE HYDROCHLORIDE,Small molecule,TABLET
ORAL,MARKETED,66208,APPROVED,05.07.2000,2000,TEVA-ZOPICLONE,TEVA CANADA LIMITED,Teva,02242481,ZOPICLONE,Small molecule,TABLET
INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,66221,MARKETED,12.12.2000,2000,MORPHINE SULFATE INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,02242484,MORPHINE SULFATE,Small molecule,LIQUID
INTRAVENOUS,MARKETED,66245,APPROVED,21.07.2000,2000,ONE-ALPHA,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM,02242502,ALFACALCIDOL,Small molecule,SOLUTION
NASAL,MARKETED,66247,APPROVED,01.08.2000,2000,BUTORPHANOL NASAL SPRAY,AA PHARMA INC,AA,02242504,BUTORPHANOL TARTRATE,Small molecule,SOLUTION
ORAL,MARKETED,66270,APPROVED,21.07.2000,2000,ADVIL PEDIATRIC DROPS,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,GlaxoSmithKline,02242522,IBUPROFEN,Small molecule,DROPS
INTRAVENOUS,MARKETED,66277,MARKETED,07.11.2000,2000,MULTI-12/K1 PEDIATRIC,SANDOZ CANADA INCORPORATED,Sandoz,02242529,VITAMIN D; VITAMIN K1; ASCORBIC ACID (ASCORBIC ACID); VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE); VITAMIN B12 (CYANOCOBALAMIN); VITAMIN B1 (THIAMINE HYDROCHLORIDE); VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE); DEXPANTHENOL; BIOTIN; NICOTINAMIDE; VITAMIN A; FOLIC ACID; PYRIDOXINE HYDROCHLORIDE,Small molecule,LIQUID
INHALATION,MARKETED,66284,MARKETED,13.07.2000,2000,OXYGEN USP,ONTARIO HOME OXYGEN AND RESPIRATORY SERVICE INC.,ONTARIO HOME OXYGEN AND RESPIRATORY SERVICE,02242542,OXYGEN,Other,GAS
