Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form
SUBCUTANEOUS,MARKETED,94650,APPROVED,04.11.2020,2020,AMGEVITA,AMGEN CANADA INC,Amgen,02459302,ADALIMUMAB,Biologics,SOLUTION
SUBCUTANEOUS,MARKETED,94651,APPROVED,04.11.2020,2020,AMGEVITA,AMGEN CANADA INC,Amgen,02459310,ADALIMUMAB,Biologics,SOLUTION
INTRAVENOUS,MARKETED,94652,APPROVED,25.11.2016,2016,DOTAREM,GUERBET,Guerbet,02459329,GADOTERATE MEGLUMINE,Small molecule,SOLUTION
TOPICAL,MARKETED,94656,APPROVED,25.11.2016,2016,ULTRA-LIGHT REFRESHING UV LOTION,VICHY CANADA,Vichy,02459353,OCTISALATE; OCTOCRYLENE; HOMOSALATE; DROMETRIZOLE TRISILOXANE; AVOBENZONE; OXYBENZONE,Small molecule,LOTION
ORAL,MARKETED,94657,APPROVED,30.11.2016,2016,ODAN-FLUOXETINE,ODAN LABORATORIES LTD,ODAN,02459361,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),Small molecule,SOLUTION
ORAL,MARKETED,94662,APPROVED,07.12.2016,2016,FOSINOPRIL,SANIS HEALTH INC,Sanis,02459388,FOSINOPRIL SODIUM,Small molecule,TABLET
ORAL,MARKETED,94663,APPROVED,07.12.2016,2016,FOSINOPRIL,SANIS HEALTH INC,Sanis,02459396,FOSINOPRIL SODIUM,Small molecule,TABLET
ORAL,MARKETED,94664,APPROVED,14.12.2016,2016,REVLIMID,BRISTOL-MYERS SQUIBB CANADA,Bristol-Myers Squibb,02459418,LENALIDOMIDE,Small molecule,CAPSULE
INTRAVENOUS,MARKETED,94667,APPROVED,02.12.2016,2016,PEMETREXED DISODIUM FOR INJECTION,TEVA CANADA LIMITED,Teva,02459434,PEMETREXED (PEMETREXED DISODIUM),Small molecule,POWDER FOR SOLUTION
ORAL,MARKETED,94669,APPROVED,05.12.2016,2016,MAR-ENALAPRIL,MARCAN PHARMACEUTICALS INC,Marcan,02459450,ENALAPRIL MALEATE,Small molecule,TABLET
ORAL,MARKETED,94670,APPROVED,05.12.2016,2016,MAR-ENALAPRIL,MARCAN PHARMACEUTICALS INC,Marcan,02459469,ENALAPRIL MALEATE,Small molecule,TABLET
INTRAUTERINE,MARKETED,94684,APPROVED,14.12.2016,2016,KYLEENA,BAYER INC,Bayer,02459523,LEVONORGESTREL,Small molecule,INSERT (EXTENDED-RELEASE)
SUBCUTANEOUS,MARKETED,94695,APPROVED,12.12.2016,2016,OMNITROPE,SANDOZ CANADA INCORPORATED,Sandoz,02459647,SOMATROPIN,Peptides and proteins,SOLUTION
OTIC,MARKETED,94696,APPROVED,08.12.2016,2016,OTIXAL,MEDEXUS PHARMACEUTICALS INC.,Medexus,02459655,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE); FLUOCINOLONE ACETONIDE,Small molecule,SOLUTION
INTRAVENOUS,MARKETED,94698,APPROVED,12.12.2016,2016,STELARA I.V.,JANSSEN INC,Janssen,02459671,USTEKINUMAB,Biologics,SOLUTION
ORAL,MARKETED,94699,APPROVED,13.12.2016,2016,ORFADIN,SWEDISH ORPHAN BIOVITRUM AB (PUBL),Swedish Orphan Biovitrum,02459698,NITISINONE,Small molecule,CAPSULE
ORAL,MARKETED,94700,APPROVED,13.12.2016,2016,ORFADIN,SWEDISH ORPHAN BIOVITRUM AB (PUBL),Swedish Orphan Biovitrum,02459701,NITISINONE,Small molecule,CAPSULE
ORAL,MARKETED,94701,APPROVED,13.12.2016,2016,ORFADIN,SWEDISH ORPHAN BIOVITRUM AB (PUBL),Swedish Orphan Biovitrum,02459728,NITISINONE,Small molecule,CAPSULE
ORAL,MARKETED,94702,APPROVED,13.12.2016,2016,ORFADIN,SWEDISH ORPHAN BIOVITRUM AB (PUBL),Swedish Orphan Biovitrum,02459736,NITISINONE,Small molecule,CAPSULE
SUBCUTANEOUS,MARKETED,94710,APPROVED,15.12.2016,2016,REPATHA,AMGEN CANADA INC,Amgen,02459779,EVOLOCUMAB,Biologics,SOLUTION
SUBCUTANEOUS,MARKETED,94711,APPROVED,15.12.2016,2016,XOLAIR,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02459787,OMALIZUMAB,Biologics,SOLUTION
SUBCUTANEOUS,MARKETED,94712,APPROVED,15.12.2016,2016,XOLAIR,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02459795,OMALIZUMAB,Biologics,SOLUTION
ORAL,MARKETED,94713,APPROVED,07.03.2018,2018,AURO-PERINDOPRIL,AURO PHARMA INC,Auro,02459817,PERINDOPRIL ERBUMINE,Small molecule,TABLET
ORAL,MARKETED,94714,APPROVED,07.03.2018,2018,AURO-PERINDOPRIL,AURO PHARMA INC,Auro,02459825,PERINDOPRIL ERBUMINE,Small molecule,TABLET
ORAL,MARKETED,94715,APPROVED,07.03.2018,2018,AURO-PERINDOPRIL,AURO PHARMA INC,Auro,02459833,PERINDOPRIL ERBUMINE,Small molecule,TABLET
INHALATION; INTRAVENOUS; ORAL,MARKETED,94721,APPROVED,19.12.2016,2016,ACETYLCYSTEINE SOLUTION USP,HIKMA CANADA LIMITED,Hikma,02459906,ACETYLCYSTEINE,Small molecule,SOLUTION
INTRAVENOUS,MARKETED,94724,APPROVED,21.12.2016,2016,KYPROLIS,AMGEN CANADA INC,Amgen,02459930,CARFILZOMIB,Small molecule,POWDER FOR SOLUTION
INTRAVENOUS,MARKETED,94725,APPROVED,20.12.2016,2016,KYPROLIS,AMGEN CANADA INC,Amgen,02459949,CARFILZOMIB,Small molecule,POWDER FOR SOLUTION
ORAL,MARKETED,94726,APPROVED,20.12.2016,2016,AURO-FLECAINIDE,AURO PHARMA INC,Auro,02459957,FLECAINIDE ACETATE,Small molecule,TABLET
ORAL,MARKETED,94727,APPROVED,20.12.2016,2016,AURO-FLECAINIDE,AURO PHARMA INC,Auro,02459965,FLECAINIDE ACETATE,Small molecule,TABLET
ORAL,MARKETED,94728,APPROVED,23.12.2016,2016,LANCORA,SERVIER CANADA INC,Servier,02459973,IVABRADINE (IVABRADINE HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,94729,APPROVED,23.12.2016,2016,LANCORA,SERVIER CANADA INC,Servier,02459981,IVABRADINE (IVABRADINE HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,94732,APPROVED,10.07.2018,2018,AURO-ARIPIPRAZOLE,AURO PHARMA INC,Auro,02460025,ARIPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94733,APPROVED,10.07.2018,2018,AURO-ARIPIPRAZOLE,AURO PHARMA INC,Auro,02460033,ARIPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94734,APPROVED,10.07.2018,2018,AURO-ARIPIPRAZOLE,AURO PHARMA INC,Auro,02460041,ARIPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94735,APPROVED,10.07.2018,2018,AURO-ARIPIPRAZOLE,AURO PHARMA INC,Auro,02460068,ARIPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94736,APPROVED,10.07.2018,2018,AURO-ARIPIPRAZOLE,AURO PHARMA INC,Auro,02460076,ARIPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94737,APPROVED,10.07.2018,2018,AURO-ARIPIPRAZOLE,AURO PHARMA INC,Auro,02460084,ARIPIPRAZOLE,Small molecule,TABLET
INTRAMUSCULAR,MARKETED,94743,APPROVED,15.01.2019,2019,TEVA-FULVESTRANT INJECTION,TEVA CANADA LIMITED,Teva,02460130,FULVESTRANT,Small molecule,SOLUTION
ORAL,MARKETED,94747,APPROVED,26.07.2017,2017,AURO-TENOFOVIR,AURO PHARMA INC,Auro,02460173,TENOFOVIR DISOPROXIL FUMARATE,Small molecule,TABLET
INTRAMUSCULAR,MARKETED,94749,APPROVED,03.01.2017,2017,DYSPORT THERAPEUTIC,IPSEN BIOPHARMACEUTICALS CANADA INC,Ipsen,02460203,ABOBOTULINUMTOXINA,Biologics,POWDER FOR SOLUTION
ORAL,MARKETED,94755,APPROVED,05.01.2017,2017,MICTORYL,DUCHESNAY INC,Duchesnay,02460262,PROPIVERINE HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY)
ORAL,MARKETED,94756,APPROVED,05.01.2017,2017,MICTORYL,DUCHESNAY INC,Duchesnay,02460270,PROPIVERINE HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY)
ORAL,MARKETED,94757,APPROVED,05.01.2017,2017,MICTORYL PEDIATRIC,DUCHESNAY INC,Duchesnay,02460289,PROPIVERINE HYDROCHLORIDE,Small molecule,TABLET
ORAL,MARKETED,94758,APPROVED,03.01.2017,2017,COMFILAX,CELLCHEM PHARMACEUTICALS INC.,CELLCHEM,02460297,POLYETHYLENE GLYCOL 3350,Other,POWDER FOR SOLUTION
TOPICAL,MARKETED,94759,APPROVED,03.01.2017,2017,NO7 LIFT & LUMINATE TRIPLE ACTION DAY CREAM,THE BOOTS COMPANY PLC,Boots,02460300,OCTISALATE; AVOBENZONE; OCTOCRYLENE,Small molecule,CREAM
TOPICAL,MARKETED,94764,APPROVED,04.01.2017,2017,TIMELESS ILLUMINATING MAKEUP BROAD SPECTRUM SPF 30,MERLE NORMAN COSMETICS INC,Merle Norman,02460327,OCTINOXATE; OXYBENZONE,Small molecule,EMULSION
SUBCUTANEOUS,MARKETED,94767,APPROVED,06.01.2017,2017,ILARIS,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02460351,CANAKINUMAB,Biologics,SOLUTION
SUBCUTANEOUS,MARKETED,94775,APPROVED,06.01.2017,2017,FIASP,NOVO NORDISK CANADA INC,Novo Nordisk,02460408,INSULIN ASPART,Peptides and proteins,SOLUTION
SUBCUTANEOUS,MARKETED,94776,APPROVED,06.01.2017,2017,FIASP,NOVO NORDISK CANADA INC,Novo Nordisk,02460416,INSULIN ASPART,Peptides and proteins,SOLUTION
SUBCUTANEOUS,MARKETED,94777,APPROVED,06.01.2017,2017,FIASP,NOVO NORDISK CANADA INC,Novo Nordisk,02460424,INSULIN ASPART,Peptides and proteins,SOLUTION
NASAL,MARKETED,94795,APPROVED,11.01.2017,2017,24HR NASAL ALLERGY RELIEF,APOTEX INC,Apotex,02460513,FLUTICASONE PROPIONATE,Small molecule,"SPRAY, METERED DOSE"
SUBCUTANEOUS,MARKETED,94797,APPROVED,12.01.2017,2017,KEVZARA,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02460548,SARILUMAB,Biologics,SOLUTION
NASAL,MARKETED,94800,APPROVED,10.01.2017,2017,EXTRA MOISTURIZING NASAL SPRAY,JUNO OTC INC,JUNO,02460572,OXYMETAZOLINE HYDROCHLORIDE,Small molecule,"SPRAY, METERED DOSE"
NASAL,MARKETED,94802,APPROVED,10.01.2017,2017,NASAL CONGESTION SPRAY,JUNO OTC INC,Juno,02460599,OXYMETAZOLINE HYDROCHLORIDE,Small molecule,"SPRAY, METERED DOSE"
INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,94803,APPROVED,31.01.2017,2017,HYDROMORPHONE HYDROCHLORIDE INJECTION,STERIMAX INC,Sterimax,02460602,HYDROMORPHONE HYDROCHLORIDE,Small molecule,SOLUTION
INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,94804,APPROVED,31.01.2017,2017,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10,STERIMAX INC,Sterimax,02460610,HYDROMORPHONE HYDROCHLORIDE,Small molecule,SOLUTION
INTRASPINAL,MARKETED,94807,APPROVED,13.01.2017,2017,BUPIVACAINE HYDROCHLORIDE IN DEXTROSE INJECTION USP,STERIMAX INC,Sterimax,02460645,BUPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
ORAL,MARKETED,94808,APPROVED,13.01.2017,2017,APO-METFORMIN ER,APOTEX INC,Apotex,02460653,METFORMIN HYDROCHLORIDE,Small molecule,TABLET (EXTENDED-RELEASE)
SUBCUTANEOUS,MARKETED,94809,APPROVED,17.01.2017,2017,GLATECT,PHARMASCIENCE INC,Pharmascience,02460661,GLATIRAMER ACETATE,Peptides and proteins,SOLUTION
INTRAVENOUS,MARKETED,94822,MARKETED,04.10.2016,2016,[F-18]-FLUDEOXYGLUCOSE (FDG) INJECTION,SYLVIA FEDORUK CANADIAN CENTRE FOR NUCLEAR INNOVATION,Not Reported,02460734,FLUDEOXYGLUCOSE 18F,Other,SOLUTION
ORAL,MARKETED,94824,APPROVED,20.01.2017,2017,GLN-EZETIMIBE,GLENMARK PHARMACEUTICALS CANADA INC.,Glenmark,02460750,EZETIMIBE,Small molecule,TABLET
TOPICAL,MARKETED,94837,APPROVED,20.07.2017,2017,OLAY AGE DEFYING CLASSIC,PROCTER & GAMBLE INC,Procter & Gamble,02460882,OCTINOXATE; ZINC OXIDE,Other,LOTION
ORAL,MARKETED,94840,APPROVED,26.01.2017,2017,VIBERZI,ABBVIE CORPORATION,AbbVie,02460890,ELUXADOLINE,Small molecule,TABLET
ORAL,MARKETED,94841,APPROVED,26.01.2017,2017,VIBERZI,ABBVIE CORPORATION,AbbVie,02460904,ELUXADOLINE,Small molecule,TABLET
ORAL,MARKETED,94843,APPROVED,26.01.2017,2017,PHENYTOIN SODIUM,AA PHARMA INC,AA,02460912,PHENYTOIN SODIUM,Small molecule,CAPSULE
ORAL,MARKETED,94844,APPROVED,30.01.2017,2017,SANDOZ ESOMEPRAZOLE,SANDOZ CANADA INCORPORATED,Sandoz,02460920,ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE),Small molecule,TABLET (DELAYED-RELEASE)
ORAL,MARKETED,94845,APPROVED,30.01.2017,2017,SANDOZ ESOMEPRAZOLE,SANDOZ CANADA INCORPORATED,Sandoz,02460939,ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE),Small molecule,TABLET (DELAYED-RELEASE)
INTRAVENOUS,MARKETED,94846,APPROVED,18.04.2017,2017,CASPOFUNGIN FOR INJECTION,JUNO PHARMACEUTICALS CORP.,Juno,02460947,CASPOFUNGIN (CASPOFUNGIN ACETATE),Peptides and proteins,POWDER FOR SOLUTION
INTRAVENOUS,MARKETED,94847,APPROVED,18.04.2017,2017,CASPOFUNGIN FOR INJECTION,JUNO PHARMACEUTICALS CORP.,Juno,02460955,CASPOFUNGIN (CASPOFUNGIN ACETATE),Biologics,POWDER FOR SOLUTION
TOPICAL,MARKETED,94854,APPROVED,26.01.2017,2017,COMPLETE* DRY TOUCH SUNSCREEN/ÉCRAN SOLAIRE,OMBRELLE CANADA,Not Reported,02461048,DROMETRIZOLE TRISILOXANE; HOMOSALATE; OCTISALATE; AVOBENZONE; OCTOCRYLENE,Small molecule,LOTION
TOPICAL,MARKETED,94857,APPROVED,26.01.2017,2017,COMPLETE* DRY TOUCH,OMBRELLE CANADA,Not Reported,02461072,OCTISALATE; HOMOSALATE; OCTOCRYLENE; AVOBENZONE; DROMETRIZOLE TRISILOXANE,Small molecule,LOTION
ORAL,MARKETED,94861,APPROVED,26.07.2017,2017,PMS-EMTRICITABINE-TENOFOVIR,PHARMASCIENCE INC,Pharmascience,02461110,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,Small molecule,TABLET
TOPICAL,MARKETED,94867,APPROVED,31.01.2017,2017,OLAY COMPLETE 30 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 30 SENSITIVE,PROCTER & GAMBLE INC,Procter & Gamble,02461188,OCTOCRYLENE; ZINC OXIDE; OCTISALATE; OCTINOXATE,Other,LOTION
TOPICAL,MARKETED,94870,APPROVED,31.01.2017,2017,OLAY COMPLETE NORMAL 15 UVA/UVB 365 DAILY MOISTURIZING CREAM WITH SPF,PROCTER & GAMBLE INC,Procter & Gamble,02461196,HOMOSALATE; OCTISALATE; AVOBENZONE; OCTOCRYLENE,Small molecule,CREAM
TOPICAL,MARKETED,94873,APPROVED,31.01.2017,2017,OLAY COMPLETE 15 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 15 SENSITIVE,PROCTER & GAMBLE INC,Procter & Gamble,02461242,ZINC OXIDE; OCTINOXATE,Other,LOTION
TOPICAL,MARKETED,94874,APPROVED,31.01.2017,2017,OLAY COMPLETE 15 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 15 NORMAL,PROCTER & GAMBLE INC,Procter & Gamble,02461234,AVOBENZONE; OCTOCRYLENE; HOMOSALATE; OCTISALATE,Small molecule,LOTION
TOPICAL,MARKETED,94877,APPROVED,31.01.2017,2017,OLAY COMPLETE 15 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 15 COMBINATION/OILY,PROCTER & GAMBLE INC,Procter & Gamble,02461269,HOMOSALATE; OCTISALATE; AVOBENZONE; OCTOCRYLENE,Small molecule,LOTION
ORAL,MARKETED,94881,APPROVED,01.05.2017,2017,PMS-OLMESARTAN,PHARMASCIENCE INC,Pharmascience,02461307,OLMESARTAN MEDOXOMIL,Small molecule,TABLET
ORAL,MARKETED,94882,APPROVED,01.05.2017,2017,PMS-OLMESARTAN,PHARMASCIENCE INC,Pharmascience,02461315,OLMESARTAN MEDOXOMIL,Small molecule,TABLET
ORAL,MARKETED,94883,APPROVED,07.02.2017,2017,SANDOZ GLICLAZIDE MR,SANDOZ CANADA INCORPORATED,Sandoz,02461323,GLICLAZIDE,Small molecule,TABLET (EXTENDED-RELEASE)
ORAL,MARKETED,94884,APPROVED,07.02.2017,2017,SANDOZ GLICLAZIDE MR,SANDOZ CANADA INCORPORATED,Sandoz,02461331,GLICLAZIDE,Small molecule,TABLET (EXTENDED-RELEASE)
TOPICAL,MARKETED,94885,APPROVED,01.02.2017,2017,HEAD & SHOULDERS PYRITHIONE ZINC DANDRUFF SHAMPOO DEEP MOISTURE 2IN1,PROCTER & GAMBLE INC,Procter & Gamble,02461358,PYRITHIONE ZINC,Small molecule,SHAMPOO
INTRAMUSCULAR; INTRAVENOUS,MARKETED,94899,APPROVED,03.02.2017,2017,FUROSEMIDE INJECTION USP,STERIMAX INC,Sterimax,02461404,FUROSEMIDE,Small molecule,SOLUTION
ORAL,MARKETED,94902,APPROVED,26.07.2017,2017,MYLAN-EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE,MYLAN PHARMACEUTICALS ULC,Mylan,02461412,TENOFOVIR DISOPROXIL FUMARATE; EFAVIRENZ; EMTRICITABINE,Small molecule,TABLET
INTRAVENOUS,MARKETED,94903,APPROVED,07.02.2017,2017,ONDANSETRON INJECTION BP,AURO PHARMA INC,Auro,02461420,ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE),Small molecule,SOLUTION
ORAL,MARKETED,94908,APPROVED,07.02.2017,2017,MINT-KETOROLAC,MINT PHARMACEUTICALS INC,MINT,02461455,KETOROLAC TROMETHAMINE,Small molecule,TABLET
ORAL,MARKETED,94909,APPROVED,10.02.2017,2017,ODEFSEY,GILEAD SCIENCES CANADA INC,Gilead,02461463,TENOFOVIR ALAFENAMIDE (TENOFOVIR ALAFENAMIDE HEMIFUMARATE); EMTRICITABINE; RILPIVIRINE (RILPIVIRINE HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,94913,APPROVED,11.10.2017,2017,ACCEL-SEVELAMER,ACCEL PHARMA INC,ACCEL,02461501,SEVELAMER CARBONATE,Small molecule,TABLET
SUBCUTANEOUS,MARKETED,94916,APPROVED,10.02.2017,2017,BASAGLAR,ELI LILLY CANADA INC,Eli Lilly,02461528,INSULIN GLARGINE,Peptides and proteins,SOLUTION
ORAL,MARKETED,94917,APPROVED,17.02.2017,2017,MINT-INDOMETHACIN,MINT PHARMACEUTICALS INC,MINT,02461536,INDOMETHACIN,Small molecule,CAPSULE
ORAL,MARKETED,94918,APPROVED,26.06.2017,2017,APO-DEFERASIROX,APOTEX INC,Apotex,02461544,DEFERASIROX,Small molecule,TABLET FOR SUSPENSION
ORAL,MARKETED,94919,APPROVED,26.06.2017,2017,APO-DEFERASIROX,APOTEX INC,Apotex,02461552,DEFERASIROX,Small molecule,TABLET FOR SUSPENSION
ORAL,MARKETED,94920,APPROVED,26.06.2017,2017,APO-DEFERASIROX,APOTEX INC,Apotex,02461560,DEFERASIROX,Small molecule,TABLET FOR SUSPENSION
ORAL,MARKETED,94931,APPROVED,01.05.2017,2017,JAMP OLMESARTAN,JAMP PHARMA CORPORATION,JAMP,02461641,OLMESARTAN MEDOXOMIL,Small molecule,TABLET
ORAL,MARKETED,94932,APPROVED,01.05.2017,2017,JAMP OLMESARTAN,JAMP PHARMA CORPORATION,JAMP,02461668,OLMESARTAN MEDOXOMIL,Small molecule,TABLET
SUBCUTANEOUS,MARKETED,94943,APPROVED,16.02.2017,2017,CUVITRU,TAKEDA CANADA INC,Takeda,02461692,IMMUNOGLOBULIN (HUMAN),Biologics,SOLUTION
INTRAMUSCULAR; INTRAVENOUS,MARKETED,94948,APPROVED,16.02.2017,2017,LEVOTHYROXINE SODIUM FOR INJECTION,AVIR PHARMA INC.,AVIR,02461714,LEVOTHYROXINE SODIUM,Peptides and proteins,POWDER FOR SOLUTION
INTRAMUSCULAR; INTRAVENOUS,MARKETED,94949,APPROVED,16.02.2017,2017,LEVOTHYROXINE SODIUM FOR INJECTION,AVIR PHARMA INC.,AVIR,02461722,LEVOTHYROXINE SODIUM,Peptides and proteins,POWDER FOR SOLUTION
ORAL,MARKETED,94950,APPROVED,16.02.2017,2017,REXULTI,OTSUKA PHARMACEUTICAL CO LTD,Otsuka,02461749,BREXPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94951,APPROVED,16.02.2017,2017,REXULTI,OTSUKA PHARMACEUTICAL CO LTD,Otsuka,02461757,BREXPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94952,APPROVED,16.02.2017,2017,REXULTI,OTSUKA PHARMACEUTICAL CO LTD,Otsuka,02461765,BREXPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94953,APPROVED,16.02.2017,2017,REXULTI,OTSUKA PHARMACEUTICAL CO LTD,Otsuka,02461773,BREXPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94954,APPROVED,16.02.2017,2017,REXULTI,OTSUKA PHARMACEUTICAL CO LTD,Otsuka,02461781,BREXPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94955,APPROVED,16.02.2017,2017,REXULTI,OTSUKA PHARMACEUTICAL CO LTD,Otsuka,02461803,BREXPIPRAZOLE,Small molecule,TABLET
ORAL,MARKETED,94956,APPROVED,17.02.2017,2017,MINT-INDOMETHACIN,MINT PHARMACEUTICALS INC,MINT,02461811,INDOMETHACIN,Small molecule,CAPSULE
ORAL,MARKETED,94960,APPROVED,09.03.2017,2017,APO-ERLOTINIB,APOTEX INC,Apotex,02461862,ERLOTINIB (ERLOTINIB HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,94961,APPROVED,09.03.2017,2017,APO-ERLOTINIB,APOTEX INC,Apotex,02461870,ERLOTINIB (ERLOTINIB HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,94962,APPROVED,09.03.2017,2017,APO-ERLOTINIB,APOTEX INC,Apotex,02461889,ERLOTINIB (ERLOTINIB HYDROCHLORIDE),Small molecule,TABLET
INTRAVENOUS; INTRAMUSCULAR,MARKETED,94965,APPROVED,24.02.2017,2017,ONCASPAR,SERVIER CANADA INC,Servier,02461900,PEGASPARGASE,Biologics,SOLUTION
INTRAVENOUS,MARKETED,94968,APPROVED,22.02.2017,2017,NEURACEQ,ISOLOGIC INNOVATIVE RADIOPHARMACEUTICALS LTD.,ISOLOGIC,02461927,FLORBETABEN (18F),Small molecule,SOLUTION
TOPICAL,MARKETED,94970,APPROVED,24.02.2017,2017,FUTURE SOLUTION LX TOTAL PROTECTIVE CREAM E,SHISEIDO AMERICAS CORPORATION DIST,Shiseido,02461943,AVOBENZONE; OXYBENZONE; OCTINOXATE; OCTOCRYLENE,Small molecule,CREAM
ORAL,MARKETED,94973,APPROVED,03.03.2017,2017,SANDOZ LEVETIRACETAM,SANDOZ CANADA INCORPORATED,Sandoz,02461986,LEVETIRACETAM,Small molecule,TABLET
ORAL,MARKETED,94974,APPROVED,03.03.2017,2017,SANDOZ LEVETIRACETAM,SANDOZ CANADA INCORPORATED,Sandoz,02461994,LEVETIRACETAM,Small molecule,TABLET
ORAL,MARKETED,94975,APPROVED,03.03.2017,2017,SANDOZ LEVETIRACETAM,SANDOZ CANADA INCORPORATED,Sandoz,02462001,LEVETIRACETAM,Small molecule,TABLET
ORAL,MARKETED,94976,APPROVED,03.03.2017,2017,SANDOZ LEVETIRACETAM,SANDOZ CANADA INCORPORATED,Sandoz,02462028,LEVETIRACETAM,Small molecule,TABLET
ORAL,MARKETED,94980,APPROVED,01.09.2020,2020,DROSPIRENONE AND ETHINYL ESTRADIOL TABLETS USP,GLENMARK PHARMACEUTICALS CANADA INC.,Glenmark,02462060,DROSPIRENONE; ETHINYL ESTRADIOL,Small molecule,TABLET
TOPICAL,MARKETED,94981,APPROVED,02.03.2017,2017,MARCELLE REVIVAL+ SKIN RENEWAL ANTI-AGING DAY CREAM SPF 15,GROUPE MARCELLE INC,Marcelle,02462079,OXYBENZONE; ENSULIZOLE; OCTINOXATE,Small molecule,CREAM
TOPICAL,MARKETED,94986,APPROVED,07.03.2017,2017,SPF 50 BROAD SPECTRUM KIDS,"BU BRANDS, INC.",BU BRANDS,02462125,OCTOCRYLENE; HOMOSALATE; OCTINOXATE; AVOBENZONE; OCTISALATE,Small molecule,SPRAY
ORAL,MARKETED,94989,APPROVED,09.03.2017,2017,BIO-FLUCONAZOLE,BIOMED PHARMA,Biomed,02462168,FLUCONAZOLE,Small molecule,CAPSULE
TOPICAL,MARKETED,94990,APPROVED,08.03.2017,2017,SPF/FPS 50 BROAD SPECTRUM ALCOHOL FREE SUNSCREEN,"BU BRANDS, INC.",BU BRANDS,02462176,AVOBENZONE; HOMOSALATE; OCTISALATE; OCTOCRYLENE; OCTINOXATE,Small molecule,SPRAY
TOPICAL,MARKETED,94991,APPROVED,08.03.2017,2017,SPF/FPS 30 BROAD SPECTRUM ALCOHOL FREE SUNSCREEN,"BU BRANDS, INC.",BU BRANDS,02462184,AVOBENZONE; OCTOCRYLENE; OCTISALATE; OCTINOXATE,Small molecule,SPRAY
ORAL,MARKETED,94992,APPROVED,15.03.2017,2017,MINT-CLONIDINE,MINT PHARMACEUTICALS INC,Mint,02462192,CLONIDINE HYDROCHLORIDE,Small molecule,TABLET
ORAL,MARKETED,94993,APPROVED,15.03.2017,2017,MINT-CLONIDINE,MINT PHARMACEUTICALS INC,MINT,02462206,CLONIDINE HYDROCHLORIDE,Small molecule,TABLET
INTRAVENOUS,MARKETED,94995,APPROVED,10.03.2017,2017,ONDANSETRON INJECTION USP,STERIMAX INC,Sterimax,02462257,ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE),Small molecule,SOLUTION
TOPICAL,MARKETED,94999,APPROVED,08.03.2017,2017,HEAD & SHOULDERS PYRITHIONE ZINC DANDRUFF SHAMPOO DEEP MOISTURE,PROCTER & GAMBLE INC,Procter & Gamble,02462249,PYRITHIONE ZINC,Small molecule,SHAMPOO
