Marketing_authorisation_number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Referral,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Agency
anda212060,"1 indications and usage heparin sodium injection is indicated for: prophylaxis and treatment of venous thrombosis and pulmonary embolism; prevention of postoperative deep venous thrombosis and pulmonary embolism in patients undergoing major abdominothoracic surgery or who, for other reasons, are at risk of developing thromboembolic disease; atrial fibrillation with embolization; treatment of acute and chronic consumptive coagulopathies (disseminated intravascular coagulation); prevention of clotting in arterial and cardiac surgery; prophylaxis and treatment of peripheral arterial embolism. anticoagulant use in blood transfusions, extracorporeal circulation, and dialysis procedures. heparin sodium injection is an anticoagulant indicated for ( 1 ) prophylaxis and treatment of venous thrombosis and pulmonary embolism prevention of postoperative deep venous thrombosis and pulmonary embolism in patients undergoing major abdominothoracic surgery or who, for other reasons, are at risk of developing thromboembolic disease atrial fibrillation with embolization treatment of acute and chronic consumptive coagulopathies (disseminated intravascular coagulation) prevention of clotting in arterial and cardiac surgery prophylaxis and treatment of peripheral arterial embolism use as an anticoagulant in blood transfusions, extracorporeal circulation, and dialysis procedures",fda,heparin sodium preservative free,heparin sodium,nanjing king-friend,injection,injection,approved,02.04.2020,2020,authorised,yes,no,no,nanjing king-friend,,diseases of the circulatory system; diseases of the blood and blood-forming organs,<venous thrombosis>; <pulmonary embolism>; <deep venous thrombosis>; <thromboembolism>; <atrial fibrillation>; <disseminated intravascular coagulation>; <peripheral arterial embolism>,FDA
anda212061,,fda,heparin sodium,heparin sodium,nanjing king-friend,injection,injection,approved,15.07.2020,2020,authorised,yes,no,no,nanjing king-friend,,,,FDA
anda212062,,fda,tadalafil,tadalafil,torrent,tablet,oral,approved,26.03.2019,2019,authorised,yes,no,no,torrent,,,,FDA
anda212066,,fda,efinaconazole,efinaconazole,aurobindo pharma ltd,solution,topical,approved,29.03.2021,2021,discontinued,yes,no,no,aurobindo,,,,FDA
anda212067,,fda,baclofen,baclofen,unichem,tablet,oral,approved,09.07.2020,2020,authorised,yes,no,no,unichem,,,,FDA
anda212070,"indications and usage 14.6% sodium chloride injection, usp additive solution is indicated for parenteral restoration of sodium ion in patients with restricted oral intake. sodium replacement is specifically indicated in patients with hyponatremia or low salt syndrome. 14.6% sodium chloride additive solution may also be added to compatible carbohydrate solutions such as dextrose in water to provide electrolytes.",fda,sodium chloride 14.6%; sodium chloride 23.4%,sodium chloride,fresenius kabi usa,solution,intravenous,approved,28.04.2021,2021,authorised,yes,no,no,fresenius,,"endocrine, nutritional, and metabolic diseases",<hyponatremia>,FDA
anda212071,"indications and usage cupric chloride injection, usp 0.4 mg/ml is indicated for use as a supplement to intravenous solutions given for total parenteral nutrition (tpn). administration helps to maintain copper serum levels and to prevent depletion of endogenous stores and subsequent deficiency symptoms.",fda,cupric chloride,cupric chloride,exela pharma,injection,injection,approved,31.10.2022,2022,authorised,yes,no,no,exela,,"endocrine, nutritional, and metabolic diseases",not reported,FDA
anda212077,,fda,pirfenidone,pirfenidone,sciegen pharms inc,capsule,oral,approved,01.08.2022,2022,authorised,yes,no,no,sciegen,,,,FDA
anda212078,,fda,pirfenidone,pirfenidone,sciegen pharms inc,tablet,oral,approved,01.08.2022,2022,authorised,yes,no,no,sciegen,,,,FDA
anda212080,,fda,loteprednol etabonate,loteprednol etabonate,sentiss,gel,ophthalmic,approved,10.02.2021,2021,authorised,yes,no,no,sentiss,,,,FDA
anda212081,1 indications and usage icatibant injection is indicated for the treatment of acute attacks of hereditary angioedema (hae) in adults 18 years of age and older. icatibant injection is a bradykinin b2 receptor antagonist indicated for treatment of acute attacks of hereditary angioedema (hae) in adults 18 years of age and older. ( 1 ),fda,icatibant acetate,icatibant acetate,nang kuang pharm co,injection,subcutaneous,approved,16.12.2020,2020,authorised,yes,no,no,nang kuang,,diseases of the blood and blood-forming organs,"<angioedema, hereditary>",FDA
anda212082,,fda,"butalbital, acetaminophen and caffeine",acetaminophen,lannett co inc,capsule,oral,approved,17.12.2019,2019,authorised,yes,no,no,lannett,,,,FDA
anda212083,,fda,"butalbital, acetaminophen and caffeine",acetaminophen,lannett co inc,capsule,oral,approved,17.12.2019,2019,authorised,yes,no,no,lannett,,,,FDA
anda212086,,fda,fentanyl citrate,fentanyl citrate,fresenius kabi usa,injection,injection,approved,01.09.2020,2020,authorised,yes,no,no,fresenius,,,,FDA
anda212087,,fda,mycophenolate mofetil,mycophenolate mofetil,concord biotech ltd,tablet,oral,approved,31.07.2020,2020,authorised,yes,no,no,concord,,,,FDA
anda212088,uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect,fda,esomeprazole magnesium,esomeprazole magnesium,mylan,tablet,oral,approved,25.06.2020,2020,authorised,yes,no,no,mylan,,diseases of the digestive system,<heartburn>,FDA
anda212089,,fda,acetazolamide,acetazolamide,aurobindo pharma ltd,tablet,oral,approved,30.05.2025,2025,,yes,no,no,aurobindo,,,,FDA
anda212091,,fda,lurasidone hydrochloride,lurasidone hydrochloride,chartwell rx,tablet,oral,approved,28.12.2020,2020,authorised,yes,no,no,chartwell,,,,FDA
anda212092,,fda,clobazam,clobazam,chartwell molecular,tablet,oral,approved,30.10.2019,2019,discontinued,yes,no,no,chartwell,,,,FDA
anda212093,"1 indications and usage methadone hydrochloride contains methadone, an opioid agonist indicated for the: detoxification treatment of opioid addiction (heroin or other morphine-like drugs). maintenance treatment of opioid addiction (heroin or other morphine-like drugs), in conjunction with appropriate social and medical services. limitations of use methadone products used for the treatment of opioid addiction in detoxification or maintenance programs are subject to the conditions for distribution and use required under 21 cfr, title 42, sec 8 [see dosage and administration ( 2.1 )] . methadone hydrochloride is an opioid agonist indicated for the: detoxification treatment of opioid addiction (heroin or other morphine-like drugs). ( 1 ) maintenance treatment of opioid addiction (heroin or other morphine-like drugs), in conjunction with appropriate social and medical services. ( 1 ) limitations of use methadone products used for the treatment of opioid addiction in detoxification or maintenance programs are subject to the conditions for distribution and use required under 21 cfr, title 42, sec. 8. ( 2.1 )",fda,methadone hydrochloride,methadone hydrochloride,lannett co inc,concentrate,oral,approved,02.11.2020,2020,authorised,yes,no,no,lannett,,mental and behavioural disorders,<opioid-related disorders>,FDA
