Marketing_authorisation_number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Referral,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Agency
anda212024,,fda,levorphanol tartrate,levorphanol tartrate,specgx llc,tablet,oral,approved,13.12.2019,2019,authorised,yes,no,no,specgx,,,,FDA
anda212025,,fda,apomorphine hydrochloride,apomorphine hydrochloride,trupharma,injection,subcutaneous,approved,23.02.2022,2022,authorised,yes,no,no,trupharma,,,,FDA
anda212026,,fda,propranolol hydrochloride,propranolol hydrochloride,amta,capsule,oral,approved,06.01.2020,2020,authorised,yes,no,no,not reported,,,,FDA
anda212027,,fda,efinaconazole,efinaconazole,alembic pharmaceuticals limited,solution,topical,conditional marketing authorisation,07.04.2021,2021,none (conditional marketing authorisation),yes,no,no,alembic,,,,FDA
anda212033,,fda,naproxen sodium,naproxen sodium,yichang humanwell,tablet,oral,approved,30.08.2019,2019,authorised,yes,no,no,humanwell,,,,FDA
anda212034,,fda,clofarabine,clofarabine,accord hlthcare,solution,intravenous,approved,22.02.2019,2019,authorised,yes,no,no,accord,,,,FDA
anda212037,"1 indications and usage dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate extended-release capsules, a cns stimulant, is indicated for the treatment of attention deficit hyperactivity disorder (adhd). (1) children (ages 6-12): efficacy was established in one 3-week outpatient, controlled trial and one analogue classroom, controlled trial in children with adhd. ( 14 ) adolescents (ages 13-17): efficacy was established in one 4-week controlled trial in adolescents with adhd. ( 14 ) adults: efficacy was established in one 4-week controlled trial in adults with adhd. ( 14 ) 1.1 attention deficit hyperactivity disorder dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate extended-release capsules are indicated for the treatment of attention deficit hyperactivity disorder (adhd). the efficacy of dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate extended-release capsules in the treatment of adhd was established on the basis of two controlled trials in children aged 6 to 12, one controlled trial in adolescents aged 13 to 17, and one controlled trial in adults who met dsm-iv ® criteria for adhd [see clinical studies (14) ] . a diagnosis of adhd (dsm-iv ® ) implies the presence of hyperactive-impulsive or inattentive symptoms that caused impairment and were present before age 7 years. the symptoms must cause clinically significant impairment, e.g., in social, academic, or occupational functioning, and be present in two or more settings, e.g., school (or work) and at home. the symptoms must not be better accounted for by another mental disorder. for the inattentive type, at least six of the following symptoms must have persisted for at least 6 months: lack of attention to details/careless mistakes; lack of sustained attention; poor listener; failure to follow through on tasks; poor organization; avoids tasks requiring sustained mental effort; loses things; easily distracted; forgetful. for the hyperactive-impulsive type, at least six of the following symptoms must have persisted for at least 6 month: fidgeting/squirming; leaving seat; inappropriate running/climbing; difficulty with quiet activities; ""on the go;"" excessive talking; blurting answers; can't wait turn; intrusive. the combined type requires both inattentive and hyperactive-impulsive criteria to be met. special diagnostic considerations specific etiology of this syndrome is unknown, and there is no single diagnostic test. adequate diagnosis requires the use not only of medical but of special psychological, educational, and social resources. learning may or may not be impaired. the diagnosis must be based upon a complete history and evaluation of the patient and not solely on the presence of the required number of dsm-iv ® characteristics. need for comprehensive treatment program dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate extended-release capsules are indicated as an integral part of a total treatment program for adhd that may include other measures (psychological, educational, social) for patients with this syndrome. drug treatment may not be indicated for all patients with this syndrome. stimulants are not intended for use in the patient who exhibits symptoms secondary to environmental factors and/or other primary psychiatric disorders, including psychosis. appropriate educational placement is essential and psychosocial intervention is often helpful. when remedial measures alone are insufficient, the decision to prescribe stimulant medication will depend upon the physician's assessment of the chronicity and severity of the child's symptoms. lo ng-term use the effectiveness of dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate extended-release capsules for long-term use, i.e., for more than 3 weeks in children and 4 weeks in adolescents and adults, has not been systematically evaluated in controlled trials. therefore, the physician who elects to use dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate extended-release capsules for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient.",fda,"dextroamp saccharate, amp aspartate, dextroamp sulfate and amp sulfate",amphetamine aspartate,elite labs inc,capsule,oral,approved,11.12.2019,2019,authorised,yes,no,no,elite,,mental and behavioural disorders,<attention deficit disorder with hyperactivity>,FDA
anda212040,,fda,ertapenem sodium,ertapenem sodium,gland,injection,intramuscular; intravenous,approved,26.03.2021,2021,authorised,yes,no,no,gland,,,,FDA
anda212041,,fda,lisinopril,lisinopril,sciegen pharms inc,tablet,oral,approved,15.09.2020,2020,authorised,yes,no,no,sciegen,,,,FDA
anda212044,,fda,amantadine hydrochloride,amantadine hydrochloride,rubicon,capsule,oral,approved,21.05.2020,2020,authorised,yes,no,no,rubicon,,,,FDA
anda212046,"indications and usage dihydroergotamine mesylate injection, usp is indicated for the acute treatment of migraine headaches with or without aura and the acute treatment of cluster headache episodes.",fda,dihydroergotamine mesylate,dihydroergotamine mesylate,provepharm sas,injection,injection,approved,07.01.2020,2020,authorised,yes,no,no,provepharm,,diseases of the nervous system,<migraine disorders>; <cluster headache>,FDA
anda212047,,fda,chlorzoxazone,chlorzoxazone,appco,tablet,oral,approved,27.01.2023,2023,authorised,yes,no,no,not reported,,,,FDA
anda212050,,fda,colesevelam hydrochloride,colesevelam hydrochloride,inventia,tablet,oral,approved,04.12.2020,2020,authorised,yes,no,no,inventia,,,,FDA
anda212051,,fda,sildenafil citrate,sildenafil citrate,chartwell rx,tablet,oral,approved,22.03.2019,2019,authorised,yes,no,no,chartwell,,,,FDA
anda212053,,fda,chlorzoxazone,chlorzoxazone,chartwell rx,tablet,oral,approved,14.09.2020,2020,discontinued,yes,no,no,chartwell,,,,FDA
anda212056,,fda,nicotine polacrilex,nicotine polacrilex,p and l,troche/lozenge,oral,approved,26.07.2019,2019,authorised,yes,no,no,not reported,,,,FDA
anda212057,"use reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking",fda,nicotine polacrilex,nicotine polacrilex,p and l,troche/lozenge,oral,approved,14.05.2020,2020,authorised,yes,no,no,not reported,,mental and behavioural disorders,<substance withdrawal syndrome>,FDA
anda212058,,fda,dicyclomine hydrochloride,dicyclomine hydrochloride,praxgen pharms,injection,injection,approved,26.04.2019,2019,discontinued,yes,no,no,praxgen,,,,FDA
anda212059,,fda,rosuvastatin calcium,rosuvastatin calcium,zhejiang yongtai,tablet,oral,approved,04.11.2019,2019,authorised,yes,no,no,yongtai,,,,FDA
