drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
maribavir,TGA,Swissmedic,295,9.69119579500657,2022-09-27,2023-07-19,TGA -> Swissmedic
mavacamten,TGA,Swissmedic,222,7.293035479632063,2022-09-15,2023-04-25,TGA -> Swissmedic
mavacamten,Swissmedic,EMA,1,0.0328515111695138,2023-04-25,2023-04-26,Swissmedic -> EMA
melatonin,TGA,EMA,3162,103.87647831800263,2009-11-28,2018-07-26,TGA -> EMA
mepolizumab,EMA,TGA,123,4.040735873850197,2015-09-24,2016-01-25,EMA -> TGA
methotrexate,TGA,EMA,310,10.183968462549277,2015-08-18,2016-06-23,TGA -> EMA
midostaurin,EMA,TGA,291,9.559789750328514,2017-07-20,2018-05-07,EMA -> TGA
migalastat,EMA,TGA,495,16.26149802890933,2016-04-01,2017-08-09,EMA -> TGA
miglustat,TGA,EMA,2549,83.73850197109067,2010-02-03,2017-01-26,TGA -> EMA
mirabegron,EMA,TGA,343,11.268068331143231,2012-10-18,2013-09-26,EMA -> TGA
mirikizumab,EMA,TGA,180,5.913272010512483,2023-03-30,2023-09-26,EMA -> TGA
mirikizumab,TGA,Swissmedic,65,2.135348226018397,2023-09-26,2023-11-30,TGA -> Swissmedic
mobocertinib,Swissmedic,TGA,43,1.4126149802890933,2022-06-01,2022-07-14,Swissmedic -> TGA
mogamulizumab,EMA,TGA,839,27.562417871222074,2018-09-20,2021-01-06,EMA -> TGA
mogamulizumab,TGA,Swissmedic,238,7.818659658344283,2021-01-06,2021-09-01,TGA -> Swissmedic
mosunetuzumab,EMA,Swissmedic,293,9.625492772667542,2022-04-22,2023-02-09,EMA -> Swissmedic
nalmefene,EMA,TGA,903,29.664914586070957,2012-12-13,2015-06-04,EMA -> TGA
nelarabine,EMA,TGA,6060,199.0801576872536,2007-08-22,2024-03-25,EMA -> TGA
nevirapine,EMA,TGA,5171,169.87516425755584,1997-10-22,2011-12-19,EMA -> TGA
nilotinib,TGA,EMA,4689,154.0407358738502,2011-08-26,2024-06-27,TGA -> EMA
nintedanib,EMA,TGA,2281,74.93429697766096,2014-09-25,2020-12-23,EMA -> TGA
niraparib,EMA,TGA,652,21.419185282522996,2017-09-14,2019-06-28,EMA -> TGA
nirsevimab,EMA,TGA,433,14.224704336399475,2022-09-15,2023-11-22,EMA -> TGA
nirsevimab,TGA,Swissmedic,30,0.9855453350854139,2023-11-22,2023-12-22,TGA -> Swissmedic
nitisinone,TGA,EMA,2442,80.2233902759527,2010-10-15,2017-06-22,TGA -> EMA
nitisinone,EMA,Swissmedic,1677,55.09198423127464,2017-06-22,2022-01-24,EMA -> Swissmedic
nivolumab,EMA,TGA,259,8.508541392904073,2015-04-23,2016-01-07,EMA -> TGA
nonacog beta pegol,EMA,TGA,893,29.33639947437582,2017-03-23,2019-09-02,EMA -> TGA
nonacog gamma,TGA,EMA,266,8.73850197109067,2014-01-30,2014-10-23,TGA -> EMA
